"年月日［西暦］","地区","町丁目","世帯数","人口男［人］","人口女［人］","人口合計［人］"
20110101,"芝地区総合支所管内","芝一丁目",747,612,577,1189
20110101,"芝地区総合支所管内","芝二丁目",1532,1230,1310,2540
20110101,"芝地区総合支所管内","芝三丁目",1821,1396,1523,2919
20110101,"芝地区総合支所管内","芝四丁目",1136,862,959,1821
20110101,"芝地区総合支所管内","芝五丁目",1984,1364,1670,3034
20110101,"芝地区総合支所管内","海岸一丁目",1089,921,877,1798
20110101,"芝地区総合支所管内","東新橋一丁目",720,636,730,1366
20110101,"芝地区総合支所管内","東新橋二丁目",149,106,88,194
20110101,"芝地区総合支所管内","新橋一丁目",27,18,16,34
20110101,"芝地区総合支所管内","新橋二丁目",98,74,72,146
20110101,"芝地区総合支所管内","新橋三丁目",157,146,126,272
20110101,"芝地区総合支所管内","新橋四丁目",227,187,179,366
20110101,"芝地区総合支所管内","新橋五丁目",303,247,235,482
20110101,"芝地区総合支所管内","新橋六丁目",517,370,321,691
20110101,"芝地区総合支所管内","西新橋一丁目",150,126,126,252
20110101,"芝地区総合支所管内","西新橋二丁目",207,177,159,336
20110101,"芝地区総合支所管内","西新橋三丁目",330,186,260,446
20110101,"芝地区総合支所管内","三田一丁目",2010,1646,1903,3549
20110101,"芝地区総合支所管内","三田二丁目",1868,1589,1900,3489
20110101,"芝地区総合支所管内","三田三丁目",898,672,726,1398
20110101,"芝地区総合支所管内","浜松町一丁目",771,663,626,1289
20110101,"芝地区総合支所管内","浜松町二丁目",183,150,148,298
20110101,"芝地区総合支所管内","芝大門一丁目",409,313,348,661
20110101,"芝地区総合支所管内","芝大門二丁目",475,350,405,755
20110101,"芝地区総合支所管内","芝公園一丁目",131,98,97,195
20110101,"芝地区総合支所管内","芝公園二丁目",415,281,293,574
20110101,"芝地区総合支所管内","芝公園三丁目",135,115,134,249
20110101,"芝地区総合支所管内","芝公園四丁目",56,37,29,66
20110101,"芝地区総合支所管内","虎ノ門一丁目",169,132,168,300
20110101,"芝地区総合支所管内","虎ノ門二丁目",60,51,36,87
20110101,"芝地区総合支所管内","虎ノ門三丁目",685,536,616,1152
20110101,"芝地区総合支所管内","虎ノ門四丁目",357,210,324,534
20110101,"芝地区総合支所管内","虎ノ門五丁目",193,172,198,370
20110101,"芝地区総合支所管内","愛宕一丁目",35,34,35,69
20110101,"芝地区総合支所管内","愛宕二丁目",147,125,126,251
20110201,"芝地区総合支所管内","芝一丁目",762,621,591,1212
20110201,"芝地区総合支所管内","芝二丁目",1535,1244,1313,2557
20110201,"芝地区総合支所管内","芝三丁目",1823,1395,1523,2918
20110201,"芝地区総合支所管内","芝四丁目",1146,867,965,1832
20110201,"芝地区総合支所管内","芝五丁目",1987,1366,1674,3040
20110201,"芝地区総合支所管内","海岸一丁目",1106,931,881,1812
20110201,"芝地区総合支所管内","東新橋一丁目",725,637,731,1368
20110201,"芝地区総合支所管内","東新橋二丁目",148,104,89,193
20110201,"芝地区総合支所管内","新橋一丁目",27,18,16,34
20110201,"芝地区総合支所管内","新橋二丁目",98,74,72,146
20110201,"芝地区総合支所管内","新橋三丁目",158,146,126,272
20110201,"芝地区総合支所管内","新橋四丁目",227,186,179,365
20110201,"芝地区総合支所管内","新橋五丁目",299,242,234,476
20110201,"芝地区総合支所管内","新橋六丁目",512,364,320,684
20110201,"芝地区総合支所管内","西新橋一丁目",149,127,124,251
20110201,"芝地区総合支所管内","西新橋二丁目",207,175,161,336
20110201,"芝地区総合支所管内","西新橋三丁目",328,188,258,446
20110201,"芝地区総合支所管内","三田一丁目",2008,1652,1908,3560
20110201,"芝地区総合支所管内","三田二丁目",1860,1578,1896,3474
20110201,"芝地区総合支所管内","三田三丁目",896,674,732,1406
20110201,"芝地区総合支所管内","浜松町一丁目",771,662,626,1288
20110201,"芝地区総合支所管内","浜松町二丁目",187,152,148,300
20110201,"芝地区総合支所管内","芝大門一丁目",401,310,344,654
20110201,"芝地区総合支所管内","芝大門二丁目",472,346,405,751
20110201,"芝地区総合支所管内","芝公園一丁目",131,97,97,194
20110201,"芝地区総合支所管内","芝公園二丁目",411,280,289,569
20110201,"芝地区総合支所管内","芝公園三丁目",134,115,133,248
20110201,"芝地区総合支所管内","芝公園四丁目",55,37,28,65
20110201,"芝地区総合支所管内","虎ノ門一丁目",172,133,168,301
20110201,"芝地区総合支所管内","虎ノ門二丁目",53,45,35,80
20110201,"芝地区総合支所管内","虎ノ門三丁目",687,539,617,1156
20110201,"芝地区総合支所管内","虎ノ門四丁目",351,205,323,528
20110201,"芝地区総合支所管内","虎ノ門五丁目",193,174,196,370
20110201,"芝地区総合支所管内","愛宕一丁目",35,34,36,70
20110201,"芝地区総合支所管内","愛宕二丁目",146,121,127,248
20110301,"芝地区総合支所管内","芝一丁目",777,632,600,1232
20110301,"芝地区総合支所管内","芝二丁目",1541,1248,1308,2556
20110301,"芝地区総合支所管内","芝三丁目",1826,1393,1528,2921
20110301,"芝地区総合支所管内","芝四丁目",1153,868,974,1842
20110301,"芝地区総合支所管内","芝五丁目",1990,1364,1673,3037
20110301,"芝地区総合支所管内","海岸一丁目",1114,931,887,1818
20110301,"芝地区総合支所管内","東新橋一丁目",721,631,727,1358
20110301,"芝地区総合支所管内","東新橋二丁目",144,104,87,191
20110301,"芝地区総合支所管内","新橋一丁目",26,17,16,33
20110301,"芝地区総合支所管内","新橋二丁目",98,75,71,146
20110301,"芝地区総合支所管内","新橋三丁目",156,145,125,270
20110301,"芝地区総合支所管内","新橋四丁目",227,187,177,364
20110301,"芝地区総合支所管内","新橋五丁目",304,246,236,482
20110301,"芝地区総合支所管内","新橋六丁目",515,367,320,687
