"科目","金額[百万円]"
"年度","2019"
"決算日","20200331"
"資産の部 固定資産","3515459"
"資産の部 固定資産 有形固定資産","3376001"
"資産の部 固定資産 有形固定資産 事業用資産","649168"
"資産の部 固定資産 有形固定資産 事業用資産 土地","431356"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","39"
"資産の部 固定資産 有形固定資産 事業用資産 建物","355633"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-151579"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","17137"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-10809"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","7390"
"資産の部 固定資産 有形固定資産 インフラ資産","2725172"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633870"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1414"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-720"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","105221"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-14612"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4268"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2607"
"資産の部 固定資産 無形固定資産","3052"
"資産の部 固定資産 無形固定資産 ソフトウェア","3037"
"資産の部 固定資産 無形固定資産 その他","15"
"資産の部 固定資産 投資その他の資産","136406"
"資産の部 固定資産 投資その他の資産 投資及び出資金","403"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","325"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","14"
"資産の部 固定資産 投資その他の資産 長期延滞債権","3210"
"資産の部 固定資産 投資その他の資産 長期貸付金","667"
"資産の部 固定資産 投資その他の資産 基金","133014"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","133014"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-887"
"資産の部 流動資産","78302"
"資産の部 流動資産 現金預金","20308"
"資産の部 流動資産 未収金","2728"
"資産の部 流動資産 短期貸付金","484"
"資産の部 流動資産 基金","53934"
"資産の部 流動資産 基金 財政調整基金","53934"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","1"
"資産の部 流動資産 その他","865"
"資産の部 流動資産 徴収不能引当金","-17"
"資産の部 繰延資産","-"
"資産の部 資産合計","3593761"
"負債の部 固定負債","18473"
"負債の部 固定負債 地方債等","1954"
"負債の部 固定負債 長期未払金","2649"
"負債の部 固定負債 退職手当引当金","13789"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","82"
"負債の部 流動負債","9674"
"負債の部 流動負債 1年内償還予定地方債等","327"
"負債の部 流動負債 未払金","911"
"負債の部 流動負債 未払費用","1"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1032"
"負債の部 流動負債 預り金","7371"
"負債の部 流動負債 その他","32"
"負債の部 負債合計","28147"
"純資産の部 固定資産等形成分","3569876"
"純資産の部 余剰分（不足分）","-4265"
"純資産の部 他団体出資等分","2"
"純資産の部 純資産合計","3565614"
"負債及び純資産合計","3593761"

"連結会計財務書類（貸借対照表）(令和2年3月31日現在)","Ver202003"
