国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和5年中の増減
総数,0,13000,総数,2461,2748,33014,13676,4544,951,1053,2141,1429,2970,699,95,65781
総数,1,13100,区部,2213,2726,27967,9525,4031,902,1124,2052,1209,2357,588,-213,54481
総数,1,13200,市部,240,5,5229,3996,494,39,-109,84,187,600,98,291,11154
総数,2,13300,郡部,11,23,-13,28,3,16,29,8,31,4,15,24,179
総数,2,13350,島部,-3,-6,-169,127,16,-6,9,-3,2,9,-2,-7,-33
総数,1,13100,区部,2213,2726,27967,9525,4031,902,1124,2052,1209,2357,588,-213,54481
総数,4,13101,千代田区,66,38,181,115,39,19,24,-1,-1,54,55,53,642
総数,4,13102,中央区,89,117,444,73,146,31,10,2,-2,81,113,82,1186
総数,4,13103,港区,100,164,850,253,201,20,74,115,56,139,69,34,2075
総数,4,13104,新宿区,162,188,554,331,232,182,131,121,108,157,31,22,2219
総数,4,13105,文京区,127,137,478,329,209,46,91,142,29,147,106,63,1904
総数,4,13106,台東区,171,185,850,362,176,174,211,150,144,221,115,86,2845
総数,4,13107,墨田区,158,253,1142,295,299,179,202,105,38,141,82,58,2952
総数,4,13108,江東区,260,131,1525,725,406,132,119,68,108,185,60,9,3728
総数,4,13109,品川区,88,200,1908,473,189,63,67,34,145,157,154,83,3561
総数,4,13110,目黒区,84,104,694,351,80,6,-84,115,43,-35,31,-9,1380
総数,4,13111,大田区,136,278,3749,672,254,-26,35,230,531,-109,37,-400,5387
総数,4,13112,世田谷区,-9,135,2385,692,186,-171,-24,115,86,113,-127,-20,3361
総数,4,13113,渋谷区,109,67,537,124,91,49,20,100,43,68,33,34,1275
総数,4,13114,中野区,118,191,1484,497,159,53,59,80,-103,141,13,-50,2642
総数,4,13115,杉並区,162,172,2055,673,193,15,86,51,-39,58,11,-102,3335
総数,4,13116,豊島区,107,202,658,299,62,149,111,93,-7,90,-16,121,1869
総数,4,13117,北区,122,191,1047,274,150,74,59,193,71,37,36,-28,2226
総数,4,13118,荒川区,40,98,487,81,86,149,98,33,12,32,37,48,1201
総数,4,13119,板橋区,63,-35,2160,679,261,125,32,186,-46,159,-122,51,3513
総数,4,13120,練馬区,-2,-56,1410,471,121,-44,-60,144,-29,125,-80,-153,1847
総数,4,13121,足立区,82,71,1599,570,237,-47,59,-27,82,211,99,8,2944
総数,4,13122,葛飾区,84,16,1121,482,80,-119,-190,36,85,142,-83,-70,1584
総数,4,13123,江戸川区,-104,-121,649,704,174,-157,-6,-33,-145,43,-66,-133,805
総数,1,13200,市部,240,5,5229,3996,494,39,-109,84,187,600,98,291,11154
総数,4,13201,八王子市,-6,-104,753,977,113,17,15,45,-13,161,82,16,2056
総数,4,13202,立川市,32,-23,302,130,35,39,23,55,15,44,47,68,767
総数,4,13203,武蔵野市,66,52,433,144,33,-35,-11,-2,-8,52,-37,-2,685
総数,4,13204,三鷹市,42,-20,320,182,-54,57,-21,-1,47,14,-37,21,550
総数,4,13205,青梅市,13,-12,-9,24,22,8,-12,-9,-33,53,16,42,103
総数,4,13206,府中市,-64,54,369,456,84,-84,-39,-53,291,27,27,-17,1051
総数,4,13207,昭島市,-18,-20,-3,55,43,13,-10,-12,-41,-20,-33,-23,-69
総数,4,13208,調布市,7,-15,487,213,3,-59,-17,-66,-21,-4,1,-28,501
総数,4,13209,町田市,118,75,650,286,133,114,0,126,-32,140,115,85,1810
総数,4,13210,小金井市,5,22,238,175,-27,-41,-16,-18,5,26,-12,7,364
総数,4,13211,小平市,32,-22,-13,346,31,-1,-17,-11,-13,23,-24,39,370
総数,4,13212,日野市,49,-30,293,88,76,-12,-17,35,22,41,36,48,629
総数,4,13213,東村山市,-18,-31,50,104,-5,-10,-18,-16,-30,34,10,32,102
総数,4,13214,国分寺市,-18,31,406,114,52,-6,3,-14,13,22,-18,9,594
総数,4,13215,国立市,6,2,115,147,-31,9,-29,13,9,-25,41,14,271
総数,4,13218,福生市,-3,1,45,35,28,-24,21,34,22,1,6,40,206
総数,4,13219,狛江市,11,9,134,53,-36,-33,-22,-6,3,-1,-30,-33,49
総数,4,13220,東大和市,22,9,-27,34,21,14,-3,-24,-7,-15,-14,-21,-11
総数,4,13221,清瀬市,-43,1,38,25,0,11,-14,-9,-1,7,-39,30,6
総数,4,13222,東久留米市,-26,-2,32,-27,-27,-25,2,42,27,10,-37,-1,-32
総数,4,13223,武蔵村山市,-9,22,-3,46,14,10,-14,-13,-15,19,10,29,96
総数,4,13224,多摩市,36,-16,198,81,24,10,-7,2,-21,-15,3,-9,286
総数,4,13225,稲城市,21,9,123,103,-10,37,30,-14,-10,40,14,-16,327
総数,4,13227,羽村市,10,11,8,57,15,-12,6,10,34,29,19,4,191
総数,4,13228,あきる野市,13,6,-48,1,24,24,47,-27,2,11,25,13,91
総数,4,13229,西東京市,-38,-4,338,147,-67,18,11,17,-58,-74,-73,-56,161
総数,1,13550,町村部,8,17,-182,155,19,10,38,5,33,13,13,17,146
総数,2,13300,郡部,11,23,-13,28,3,16,29,8,31,4,15,24,179
総数,4,13303,瑞穂町,16,3,-17,14,-3,23,23,-2,23,7,14,27,128
総数,4,13305,日の出町,-2,12,2,12,5,-12,-3,3,4,-5,2,-4,14
総数,4,13307,檜原村,1,1,-1,-4,-1,1,2,0,1,0,-1,0,-1
総数,4,13308,奥多摩町,-4,7,3,6,2,4,7,7,3,2,0,1,38
総数,2,13350,島部,-3,-6,-169,127,16,-6,9,-3,2,9,-2,-7,-33
総数,3,13360,大島支庁,-5,-7,-69,36,7,-12,8,-7,3,4,-5,1,-46
総数,4,13361,大島町,0,-6,-31,11,1,-9,3,-8,1,4,-4,0,-38
総数,4,13362,利島村,0,-3,-7,3,0,0,0,0,2,0,-2,1,-6
総数,4,13363,新島村,-3,2,-20,24,2,-1,3,1,1,2,0,2,13
総数,4,13364,神津島村,-2,0,-11,-2,4,-2,2,0,-1,-2,1,-2,-15
総数,3,13380,三宅支庁,2,1,-21,30,6,4,-3,-1,-4,-1,-3,-4,6
総数,4,13381,三宅村,3,1,-23,24,4,4,-3,1,-4,-1,-2,-3,1
総数,4,13382,御蔵島村,-1,0,2,6,2,0,0,-2,0,0,-1,-1,5
総数,3,13400,八丈支庁,0,2,-73,46,2,-1,9,1,-2,3,3,4,-6
総数,4,13401,八丈町,0,1,-59,39,2,-2,8,1,-5,7,4,4,0
総数,4,13402,青ヶ島村,0,1,-14,7,0,1,1,0,3,-4,-1,0,-6
総数,3,13420,小笠原支庁,0,-2,-6,15,1,3,-5,4,5,3,3,-8,13
総数,4,13421,小笠原村,0,-2,-6,15,1,3,-5,4,5,3,3,-8,13
