国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和5年中の増減
総数,0,13000,総数,-7842,-5256,-4759,-3243,-3075,-2462,-2595,-3462,-3776,-3902,-4011,-4521,-48904
総数,1,13100,区部,-4519,-3023,-2828,-1699,-1496,-1074,-1293,-1779,-1993,-2098,-2032,-2455,-26289
総数,1,13200,市部,-3180,-2152,-1825,-1452,-1461,-1314,-1198,-1588,-1688,-1702,-1881,-1935,-21376
総数,2,13300,郡部,-111,-51,-72,-59,-94,-54,-70,-71,-71,-83,-79,-89,-904
総数,2,13350,島部,-32,-30,-34,-33,-24,-20,-34,-24,-24,-19,-19,-42,-335
総数,1,13100,区部,-4519,-3023,-2828,-1699,-1496,-1074,-1293,-1779,-1993,-2098,-2032,-2455,-26289
総数,4,13101,千代田区,23,5,2,13,20,9,12,32,12,8,11,3,150
総数,4,13102,中央区,75,62,55,46,56,72,65,52,60,91,71,16,721
総数,4,13103,港区,-9,29,35,37,76,121,69,65,66,85,95,65,734
総数,4,13104,新宿区,-149,-85,-93,-33,-52,-36,-66,-35,-65,-46,-68,-78,-806
総数,4,13105,文京区,-42,-6,-48,-1,18,61,62,14,1,20,29,-21,87
総数,4,13106,台東区,-103,-70,-87,-31,-55,-38,-6,-72,-50,-42,-36,-67,-657
総数,4,13107,墨田区,-92,-74,-24,-47,-58,-6,-14,-9,-78,-23,-45,-90,-560
総数,4,13108,江東区,-194,-110,-60,-31,-48,-17,-58,-28,-34,-74,-93,-60,-807
総数,4,13109,品川区,-141,-70,-49,-21,-24,46,-8,-33,-14,-63,-10,-24,-411
総数,4,13110,目黒区,-67,-64,-44,-16,-2,27,6,-9,-1,-34,-17,-34,-255
総数,4,13111,大田区,-407,-218,-265,-212,-164,-106,-162,-231,-273,-237,-241,-217,-2733
総数,4,13112,世田谷区,-287,-190,-326,-62,-64,-136,-36,-121,-58,-109,-193,-175,-1757
総数,4,13113,渋谷区,-25,-32,-16,13,-8,-4,21,9,20,-1,-37,-2,-62
総数,4,13114,中野区,-152,-87,-99,-75,-24,-40,-51,-27,-78,-34,-68,-58,-793
総数,4,13115,杉並区,-289,-194,-154,-68,-45,-64,-7,-119,-93,-107,-84,-174,-1398
総数,4,13116,豊島区,-141,-44,-97,-53,-11,-38,-19,-63,-49,-54,-64,-70,-703
総数,4,13117,北区,-255,-226,-194,-101,-73,-59,-56,-132,-145,-137,-70,-118,-1566
総数,4,13118,荒川区,-120,-95,-76,-69,-37,-50,-62,-63,-76,-64,-77,-68,-857
総数,4,13119,板橋区,-395,-241,-224,-180,-209,-150,-123,-167,-224,-258,-247,-255,-2673
総数,4,13120,練馬区,-384,-295,-217,-166,-167,-90,-157,-140,-169,-198,-76,-226,-2285
総数,4,13121,足立区,-594,-429,-375,-253,-338,-303,-329,-383,-370,-359,-391,-281,-4405
総数,4,13122,葛飾区,-385,-280,-262,-175,-178,-167,-164,-209,-207,-214,-245,-256,-2742
