国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,令和5年中の増減
総数,0,13000,総数,2737,910,8248,10704,2569,5119,5898,-1909,7970,11273,2224,-1028,54715
総数,1,13100,区部,2668,977,7058,9191,2288,4428,5626,-1036,6922,9630,1909,-897,48764
総数,1,13200,市部,77,-71,1178,1502,272,684,261,-866,1043,1629,307,-134,5882
総数,2,13300,郡部,-8,9,9,21,5,3,11,-3,-1,13,2,0,61
総数,2,13350,島部,0,-5,3,-10,4,4,0,-4,6,1,6,3,8
総数,1,13100,区部,2668,977,7058,9191,2288,4428,5626,-1036,6922,9630,1909,-897,48764
総数,4,13101,千代田区,56,55,84,89,30,56,40,17,90,80,24,-50,571
総数,4,13102,中央区,178,99,139,99,92,53,84,46,143,87,65,-29,1056
総数,4,13103,港区,362,246,273,244,131,77,-33,110,148,238,63,-299,1560
総数,4,13104,新宿区,203,-78,899,1711,183,560,870,-291,1187,1145,109,1,6499
総数,4,13105,文京区,38,3,203,318,30,75,-2,-158,302,382,58,-77,1172
総数,4,13106,台東区,88,32,189,419,124,188,289,40,216,387,79,36,2087
総数,4,13107,墨田区,61,82,196,254,61,148,152,2,163,309,-5,15,1438
総数,4,13108,江東区,170,158,293,266,104,308,301,12,148,342,119,-21,2200
総数,4,13109,品川区,45,89,163,128,71,39,-1,-32,155,180,20,-106,751
総数,4,13110,目黒区,51,-42,58,240,13,-20,-16,-111,120,103,-45,-131,220
総数,4,13111,大田区,58,48,209,268,194,264,146,0,-14,411,151,35,1770
総数,4,13112,世田谷区,124,24,393,338,83,169,27,-285,273,216,63,-100,1325
総数,4,13113,渋谷区,21,18,122,152,20,2,6,-35,145,124,-10,-163,402
総数,4,13114,中野区,80,9,436,558,41,271,410,-85,429,631,49,57,2886
総数,4,13115,杉並区,137,-15,414,327,28,212,214,-201,380,363,20,-66,1813
総数,4,13116,豊島区,82,-42,439,962,72,236,588,-141,609,824,108,-21,3716
総数,4,13117,北区,54,-67,308,434,66,207,423,-127,406,550,141,20,2415
総数,4,13118,荒川区,3,18,146,409,122,135,301,18,144,509,130,13,1948
総数,4,13119,板橋区,83,61,278,548,91,271,436,71,364,571,173,97,3044
総数,4,13120,練馬区,84,-49,230,362,48,155,216,-112,321,406,76,-77,1660
総数,4,13121,足立区,182,109,278,417,202,277,394,144,325,481,174,122,3105
総数,4,13122,葛飾区,175,66,329,580,252,284,418,65,375,511,217,57,3329
総数,4,13123,江戸川区,333,153,979,68,230,461,363,17,493,780,130,-210,3797
総数,1,13200,市部,77,-71,1178,1502,272,684,261,-866,1043,1629,307,-134,5882
総数,4,13201,八王子市,-25,-63,199,228,38,100,81,-207,262,215,43,-35,836
総数,4,13202,立川市,-8,1,55,10,22,38,30,-67,-18,24,25,-9,103
総数,4,13203,武蔵野市,4,10,39,20,17,52,22,-45,46,46,-16,-1,194
総数,4,13204,三鷹市,-7,-3,108,82,-2,-45,-63,-6,161,88,-38,-18,257
総数,4,13205,青梅市,7,8,18,33,29,30,43,-27,24,32,19,-2,214
総数,4,13206,府中市,-17,-18,30,215,11,21,-80,-71,30,262,34,6,423
総数,4,13207,昭島市,51,29,164,58,34,55,55,32,29,87,42,43,679
