国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和5年中の死亡数
総数,0,13000,総数,15468,11901,12040,9900,11088,10204,10470,11808,11131,11909,11500,11691,139110
総数,1,13100,区部,10072,7873,8061,6554,7306,6750,6985,7915,7379,7891,7540,7643,91969
総数,1,13200,市部,5219,3924,3843,3234,3635,3352,3361,3773,3630,3888,3840,3897,45596
総数,2,13300,郡部,125,69,91,76,115,73,86,85,90,102,94,102,1108
総数,2,13350,島部,52,35,45,36,32,29,38,35,32,28,26,49,437
総数,1,13100,区部,10072,7873,8061,6554,7306,6750,6985,7915,7379,7891,7540,7643,91969
総数,4,13101,千代田区,34,39,35,36,34,39,32,43,35,47,34,38,446
総数,4,13102,中央区,108,73,87,84,91,65,78,112,94,86,95,119,1092
総数,4,13103,港区,220,150,149,138,146,127,140,153,138,140,138,146,1785
総数,4,13104,新宿区,318,254,276,207,225,228,236,246,235,250,235,249,2959
総数,4,13105,文京区,199,140,168,135,156,119,120,161,149,129,143,168,1787
総数,4,13106,台東区,212,184,189,132,191,161,141,206,170,184,173,190,2133
総数,4,13107,墨田区,280,239,221,217,220,197,200,214,247,221,235,258,2749
総数,4,13108,江東区,506,393,368,320,390,318,371,409,363,390,415,388,4631
総数,4,13109,品川区,420,305,307,264,285,244,291,331,271,324,285,267,3594
総数,4,13110,目黒区,235,209,198,151,194,165,177,174,169,215,188,188,2263
総数,4,13111,大田区,807,607,656,560,576,511,578,684,641,625,627,604,7476
総数,4,13112,世田谷区,777,637,827,507,594,680,566,683,550,659,639,649,7768
総数,4,13113,渋谷区,180,160,150,124,150,124,100,158,147,150,170,124,1737
総数,4,13114,中野区,360,259,272,231,238,217,227,216,269,258,254,230,3031
総数,4,13115,杉並区,600,463,450,358,413,400,352,440,402,442,406,460,5186
総数,4,13116,豊島区,296,190,228,191,189,189,189,228,204,209,217,227,2557
総数,4,13117,北区,456,386,377,286,310,276,283,346,336,357,285,309,4007
総数,4,13118,荒川区,251,213,211,182,180,199,187,212,204,194,204,196,2433
総数,4,13119,板橋区,655,487,515,425,495,459,480,497,479,546,516,531,6085
総数,4,13120,練馬区,804,643,588,518,598,521,578,631,572,644,556,620,7273
総数,4,13121,足立区,955,736,714,561,673,621,679,754,717,721,700,605,8436
総数,4,13122,葛飾区,645,485,480,389,424,406,402,472,446,483,473,460,5565
総数,4,13123,江戸川区,754,621,595,538,534,484,578,545,541,617,552,617,6976
総数,1,13200,市部,5219,3924,3843,3234,3635,3352,3361,3773,3630,3888,3840,3897,45596
総数,4,13201,八王子市,825,600,554,464,540,476,448,536,520,573,525,544,6605
総数,4,13202,立川市,232,163,173,143,171,147,152,187,172,144,170,179,2033
総数,4,13203,武蔵野市,170,109,106,101,110,107,112,120,102,126,119,109,1391
総数,4,13204,三鷹市,207,152,148,115,157,134,134,130,140,152,156,166,1791
総数,4,13205,青梅市,238,157,160,121,155,162,127,155,138,157,180,175,1925
総数,4,13206,府中市,267,219,207,156,203,163,176,205,179,199,214,231,2419
総数,4,13207,昭島市,143,126,100,108,104,95,108,105,97,112,103,105,1306
総数,4,13208,調布市,244,177,191,153,171,171,181,187,203,189,217,198,2282
総数,4,13209,町田市,562,390,382,368,402,368,378,436,428,422,407,427,4970
総数,4,13210,小金井市,124,87,80,78,81,69,93,97,79,90,80,91,1049
総数,4,13211,小平市,227,167,171,156,156,143,154,173,159,160,177,161,2004
総数,4,13212,日野市,231,167,183,147,141,122,132,151,160,185,168,145,1932
総数,4,13213,東村山市,200,163,152,124,154,135,132,135,157,157,146,168,1823
総数,4,13214,国分寺市,135,108,89,84,101,103,88,111,92,95,92,91,1189
総数,4,13215,国立市,77,73,67,43,47,49,49,67,54,84,69,77,756
総数,4,13218,福生市,71,71,54,46,68,57,48,55,48,68,53,65,704
総数,4,13219,狛江市,94,80,87,65,66,67,69,85,71,87,68,63,902
総数,4,13220,東大和市,115,88,79,69,69,67,68,74,75,78,83,75,940
総数,4,13221,清瀬市,109,69,93,68,72,80,47,81,80,87,89,88,963
総数,4,13222,東久留米市,158,128,120,99,119,102,99,119,123,140,129,110,1446
総数,4,13223,武蔵村山市,83,62,73,65,66,60,66,63,76,75,71,76,836
総数,4,13224,多摩市,156,157,155,112,122,130,137,130,122,122,128,157,1628
総数,4,13225,稲城市,91,61,75,50,40,52,55,58,56,71,62,68,739
総数,4,13227,羽村市,71,57,54,47,56,53,42,59,40,45,50,53,627
総数,4,13228,あきる野市,121,105,99,75,110,80,86,89,83,102,111,104,1165
総数,4,13229,西東京市,268,188,191,177,154,160,180,165,176,168,173,171,2171
総数,1,13550,町村部,177,104,136,112,147,102,124,120,122,130,120,151,1545
総数,2,13300,郡部,125,69,91,76,115,73,86,85,90,102,94,102,1108
総数,4,13303,瑞穂町,48,29,34,36,55,24,33,36,32,49,41,43,460
総数,4,13305,日の出町,44,21,38,22,34,31,32,24,32,34,28,31,371
総数,4,13307,檜原村,12,5,5,6,12,5,3,8,6,4,6,9,81
総数,4,13308,奥多摩町,21,14,14,12,14,13,18,17,20,15,19,19,196
総数,2,13350,島部,52,35,45,36,32,29,38,35,32,28,26,49,437
総数,3,13360,大島支庁,29,15,22,20,18,12,16,19,13,20,11,30,225
総数,4,13361,大島町,18,5,14,14,15,8,9,8,9,11,6,23,140
総数,4,13362,利島村,0,1,0,1,0,0,0,0,0,0,0,0,2
総数,4,13363,新島村,9,4,5,5,3,3,3,7,2,3,4,4,52
総数,4,13364,神津島村,2,5,3,0,0,1,4,4,2,6,1,3,31
総数,3,13380,三宅支庁,3,2,1,3,4,10,4,3,3,4,3,3,43
総数,4,13381,三宅村,3,2,1,3,4,10,4,3,2,4,3,3,42
総数,4,13382,御蔵島村,0,0,0,0,0,0,0,0,1,0,0,0,1
総数,3,13400,八丈支庁,19,17,20,13,10,7,15,10,15,4,12,15,157
総数,4,13401,八丈町,18,17,20,13,10,7,15,10,15,4,12,15,156
総数,4,13402,青ヶ島村,1,0,0,0,0,0,0,0,0,0,0,0,1
総数,3,13420,小笠原支庁,1,1,2,0,0,0,3,3,1,0,0,1,12
総数,4,13421,小笠原村,1,1,2,0,0,0,3,3,1,0,0,1,12
日本人,0,13000,総数,15353,11810,11921,9810,10993,10121,10386,11710,11035,11807,11420,11608,137974
日本人,1,13100,区部,9986,7795,7957,6476,7224,6683,6919,7842,7306,7815,7472,7575,91050
日本人,1,13200,市部,5191,3911,3828,3222,3622,3336,3343,3748,3607,3862,3828,3882,45380
日本人,2,13300,郡部,125,69,91,76,115,73,86,85,90,102,94,102,1108
日本人,2,13350,島部,51,35,45,36,32,29,38,35,32,28,26,49,436
日本人,1,13100,区部,9986,7795,7957,6476,7224,6683,6919,7842,7306,7815,7472,7575,91050
日本人,4,13101,千代田区,34,39,35,36,34,37,32,41,32,46,34,38,438
日本人,4,13102,中央区,108,73,86,81,90,64,76,112,93,85,95,116,1079
日本人,4,13103,港区,216,146,146,136,142,123,139,151,135,140,138,142,1754
日本人,4,13104,新宿区,313,252,269,202,218,224,230,243,233,247,230,248,2909
日本人,4,13105,文京区,199,136,167,131,153,117,116,161,148,128,142,167,1765
日本人,4,13106,台東区,210,179,184,130,189,160,141,205,168,182,172,189,2109
日本人,4,13107,墨田区,279,235,219,215,219,193,199,210,244,221,233,253,2720
日本人,4,13108,江東区,502,388,365,316,386,314,369,407,357,388,413,386,4591
日本人,4,13109,品川区,418,303,303,262,284,243,286,326,270,323,281,266,3565
日本人,4,13110,目黒区,234,209,198,149,192,165,176,173,167,215,188,183,2249
日本人,4,13111,大田区,804,603,650,557,569,507,576,679,638,620,623,597,7423
日本人,4,13112,世田谷区,774,635,820,502,588,676,564,680,548,656,634,644,7721
日本人,4,13113,渋谷区,180,158,149,122,149,119,97,158,144,149,169,122,1716
日本人,4,13114,中野区,357,258,270,231,236,217,225,214,267,254,253,228,3010
日本人,4,13115,杉並区,597,460,449,355,409,397,350,438,398,439,405,459,5156
日本人,4,13116,豊島区,290,186,218,185,187,186,189,224,201,207,214,225,2512
日本人,4,13117,北区,451,384,376,280,307,275,278,342,334,352,280,309,3968
日本人,4,13118,荒川区,246,209,205,178,174,193,184,205,200,189,200,192,2375
日本人,4,13119,板橋区,648,486,509,421,492,457,476,493,476,542,511,528,6039
日本人,4,13120,練馬区,799,639,581,515,595,520,575,625,566,637,552,618,7222
日本人,4,13121,足立区,943,723,701,555,664,613,672,746,709,708,687,594,8315
日本人,4,13122,葛飾区,638,478,471,383,419,401,396,467,442,479,470,457,5501
日本人,4,13123,江戸川区,746,616,586,534,528,482,573,542,536,608,548,614,6913
