国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,令和5年中の転出者数
総数,0,13000,総数,24639,28058,68312,46077,29641,28192,29251,27642,26484,27736,25057,26554,387643
総数,1,13100,区部,19277,21748,51249,35761,23073,21989,22932,21317,20668,21898,19625,20983,300520
総数,1,13200,市部,5281,6224,16635,10151,6470,6115,6256,6216,5739,5754,5361,5497,85699
総数,2,13300,郡部,41,48,132,68,63,47,36,40,36,55,42,36,644
総数,2,13350,島部,40,38,296,97,35,41,27,69,41,29,29,38,780
総数,1,13100,区部,19277,21748,51249,35761,23073,21989,22932,21317,20668,21898,19625,20983,300520
総数,4,13101,千代田区,135,144,492,345,161,160,154,184,164,140,103,138,2320
総数,4,13102,中央区,360,385,928,706,380,422,422,426,447,390,326,385,5577
総数,4,13103,港区,502,526,1243,958,576,660,606,560,578,569,483,591,7852
総数,4,13104,新宿区,850,935,2771,1776,923,916,967,1000,913,908,854,907,13720
総数,4,13105,文京区,368,475,1575,992,470,473,458,410,442,441,372,424,6900
総数,4,13106,台東区,463,546,1099,856,605,546,554,525,535,526,512,572,7339
総数,4,13107,墨田区,622,674,1534,1132,745,685,650,662,747,662,655,674,9442
総数,4,13108,江東区,894,1083,2557,1907,1140,1123,1111,1101,1030,1055,973,1052,15026
総数,4,13109,品川区,909,979,2058,1562,1083,975,1064,1025,895,986,858,912,13306
総数,4,13110,目黒区,579,642,1519,1148,668,615,758,683,605,645,566,673,9101
総数,4,13111,大田区,1744,1889,3937,3013,2203,2046,2245,1886,1479,2209,1767,2152,26570
総数,4,13112,世田谷区,1796,2006,4415,3189,2022,1931,1995,1849,1693,1845,1731,1707,26179
総数,4,13113,渋谷区,443,483,1016,823,518,484,572,453,482,487,439,468,6668
総数,4,13114,中野区,744,778,1831,1340,882,789,835,730,968,800,745,777,11219
総数,4,13115,杉並区,952,1119,2758,1997,1221,1151,1150,1077,1122,1130,985,1069,15731
総数,4,13116,豊島区,709,739,2007,1374,825,779,807,740,830,806,723,728,11067
総数,4,13117,北区,764,897,2165,1788,981,908,969,928,856,975,834,899,12964
総数,4,13118,荒川区,417,485,1064,808,505,436,449,471,452,488,431,407,6413
総数,4,13119,板橋区,1193,1462,3048,2058,1408,1290,1393,1236,1362,1345,1266,1315,18376
総数,4,13120,練馬区,1319,1466,3895,2439,1516,1492,1586,1480,1343,1513,1322,1392,20763
総数,4,13121,足立区,1365,1544,3044,2098,1582,1453,1504,1492,1408,1501,1376,1416,19783
総数,4,13122,葛飾区,779,976,2172,1488,1082,1019,1091,887,910,988,942,916,13250
総数,4,13123,江戸川区,1370,1515,4121,1964,1577,1636,1592,1512,1407,1489,1362,1409,20954
総数,1,13200,市部,5281,6224,16635,10151,6470,6115,6256,6216,5739,5754,5361,5497,85699
総数,4,13201,八王子市,706,922,2420,1207,817,784,789,745,754,763,646,704,11257
総数,4,13202,立川市,225,264,790,468,313,250,273,276,257,251,203,223,3793
総数,4,13203,武蔵野市,190,218,615,482,229,268,244,234,229,213,233,203,3358
