階層コード,地域コード,地域,人口総数／平成29年12月１日,人口総数／平成29年11月１日,人口総数／平成28年12月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13639352,13637291,13532409,2061,0.02,106943,0.79
1,13100,区部,9398032,9395206,9304783,2826,0.03,93249,1
1,13200,市部,4157251,4157966,4142913,-715,-0.02,14338,0.35
1,13300,郡部,57973,58036,58359,-63,-0.11,-386,-0.66
1,13350,島部,26096,26083,26354,13,0.05,-258,-0.98
,,,,,,,,,
住民基本台帳による世帯と人口_平成29年12月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
