階層コード,地域コード,地域,人口総数／平成29年2月１日,人口総数／平成29年１月１日,人口総数／平成28年2月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13532863,13530053,13420188,2810,0.02,112675,0.84
1,13100,区部,9306500,9302962,9211133,3538,0.04,95367,1.04
1,13200,市部,4141797,4142500,4123728,-703,-0.02,18069,0.44
1,13300,郡部,58267,58284,58602,-17,-0.03,-335,-0.57
1,13350,島部,26299,26307,26725,-8,-0.03,-426,-1.59
,,,,,,,,,
住民基本台帳による世帯と人口_平成29年2月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
