"選挙名称","届出番号","党派名","候補者名","6:08 確定[人]","22:30[人]"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1","社会民主党","社会民主党","1,633","1,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 1","社会民主党","吉田　ただとも","53","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 2","社会民主党","福島　みずほ","643","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 3","社会民主党","ますぐち　敏行","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 4","社会民主党","田山　英次","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 5","社会民主党","かつら川　悟","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 6","社会民主党","伊藤　よしき","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","1- 7","社会民主党","しいの　隆","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2","国民怒りの声","国民怒りの声","1,189","500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 1","国民怒りの声","小林　節","498.755","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 2","国民怒りの声","円　より子","73","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 3","国民怒りの声","橋本　べん","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 4","国民怒りの声","渡辺　良弘","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 5","国民怒りの声","杉本　志乃","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 6","国民怒りの声","吉田　あき子","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 7","国民怒りの声","あらき　大樹","6","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 8","国民怒りの声","大西　サチエ","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 9","国民怒りの声","立川　みつあき","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","2- 10","国民怒りの声","平野　道子","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3","おおさか維新の会","おおさか維新の会","7,588","5,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 1","おおさか維新の会","片山　とらのすけ","262.423","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 2","おおさか維新の会","あらと　英夫","6","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 3","おおさか維新の会","石井　あきら","39.196","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 4","おおさか維新の会","いしい　みつこ","159.803","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 5","おおさか維新の会","うさみ　孝二","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 6","おおさか維新の会","梅村　さとし","45","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 7","おおさか維新の会","ギブ　剛","31","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 8","おおさか維新の会","串田　誠一","6","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 9","おおさか維新の会","さかい　良和","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 10","おおさか維新の会","島　さとし","75","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 11","おおさか維新の会","鈴木　こうじ","10.400","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 12","おおさか維新の会","鈴木　のぞむ","15.600","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 13","おおさか維新の会","高橋　英明","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 14","おおさか維新の会","中谷　ひろゆき","9","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 15","おおさか維新の会","ヒグチ　俊一","20","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 16","おおさか維新の会","三宅　博","24","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 17","おおさか維新の会","矢野　よしあき","18","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","3- 18","おおさか維新の会","渡辺　よしみ","338","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4","公明党","公明党","3,490","2,500"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 1","公明党","よこやま　信一","140","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 2","公明党","長沢　ひろあき","3,057","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 3","公明党","浜田　まさよし","76","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 4","公明党","熊野　せいし","33","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 5","公明党","谷あい　正明","50","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 6","公明党","あきの　公造","67","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 7","公明党","飯塚　栄治","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 8","公明党","栗岡　哲平","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 9","公明党","坂本　道応","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 10","公明党","佐藤　史成","5.500","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 11","公明党","高田　清久","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 12","公明党","高橋　秀明","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 13","公明党","竹内　真二","16.991","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 14","公明党","竹内　秀伸","7.433","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 15","公明党","千葉　宣男","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 16","公明党","星　英一郎","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","4- 17","公明党","宮崎　勝","23","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5","日本共産党","日本共産党","10,801","9,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 1","日本共産党","市田　忠義","122","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 2","日本共産党","田村　智子","203","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 3","日本共産党","大門　みきし","27","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 4","日本共産党","春名　なおあき","9","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 5","日本共産党","いせだ　良子","12","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 6","日本共産党","いわぶち　友","14","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 7","日本共産党","おくだ　智子","17","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 8","日本共産党","椎葉　かずゆき","6","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 9","日本共産党","たけだ　良介","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 10","日本共産党","石山　ひろゆき","7","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 11","日本共産党","和泉　信丈","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 12","日本共産党","伊藤　たつや","7","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 13","日本共産党","いわぶち　彩子","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 14","日本共産党","植本　かんじ","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 15","日本共産党","遠藤　ひでかず","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 16","日本共産党","岡田　正和","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 17","日本共産党","かまい　敏行","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 18","日本共産党","かみむら　泰稔","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 19","日本共産党","亀田　りょうすけ","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 20","日本共産党","唐沢　ちあき","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 21","日本共産党","熊谷　智","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 22","日本共産党","小池　一徳","11","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 23","日本共産党","小路　貴之","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 24","日本共産党","坂口　多美子","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 25","日本共産党","佐藤　こうへい","5.500","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 26","日本共産党","高木　みつひろ","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 27","日本共産党","高橋　わたる","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 28","日本共産党","にしざわ　博","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 29","日本共産党","原口　敏彦","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 30","日本共産党","藤本　ゆり","2","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 31","日本共産党","ふるた　みちよ","4","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 32","日本共産党","まえさと　保","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 33","日本共産党","益田　牧子","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 34","日本共産党","松田　一志","3","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 35","日本共産党","松本　隆","5","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 36","日本共産党","松山　きょうこ","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 37","日本共産党","みかじり　亮子","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 38","日本共産党","宮内　げん","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 39","日本共産党","山下　かい","1","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 40","日本共産党","山田　かずお","0","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 41","日本共産党","吉田　恭子","7","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","5- 42","日本共産党","よしまた　洋","14","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","6","幸福実現党","幸福実現党","419","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","6- 1","幸福実現党","釈　量子","80","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","6- 2","幸福実現党","七海　ひろこ","16","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7","自由民主党","自由民主党","31,688","25,000"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 1","自由民主党","中西　さとし","422","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 2","自由民主党","竹内　いさお","86.574","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 3","自由民主党","青山　繁晴","1,703","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 4","自由民主党","あぜもと　将吾","55","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 5","自由民主党","あだち　まさし","356","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 6","自由民主党","足立　としゆき","203","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 7","自由民主党","伊藤　ようすけ","232","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 8","自由民主党","今井　絵理子","704","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 9","自由民主党","うと　たかし","164","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 10","自由民主党","大江　やすひろ","64","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 11","自由民主党","小川　かつみ","90","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 12","自由民主党","片山　さつき","1,595.576","0"
"平成28年7月10日執行　参議院比例代表選出議員選挙","7- 13","自由民主党","進藤　かねひこ","60","0"
