地域,資源物の収集曜日,燃やすごみの収集曜日,燃やすごみの収集曜日,燃やさないごみの収集曜日,燃やさないごみの収集曜日
吾妻橋,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
石原,火曜日,月曜日,木曜日,第1土曜日,第3土曜日
押上,水曜日,火曜日,金曜日,第1木曜日,第3木曜日
亀沢,火曜日,月曜日,木曜日,第1土曜日,第3土曜日
菊川,金曜日,月曜日,木曜日,第2水曜日,第4水曜日
京島,水曜日,火曜日,金曜日,第1木曜日,第3木曜日
錦糸,金曜日,月曜日,木曜日,第2水曜日,第4水曜日
江東橋,金曜日,月曜日,木曜日,第2水曜日,第4水曜日
墨田一丁目,木曜日,水曜日,土曜日,第1火曜日,第3火曜日
墨田二丁目,木曜日,水曜日,土曜日,第1火曜日,第3火曜日
墨田五丁目,木曜日,水曜日,土曜日,第1火曜日,第3火曜日
墨田三丁目,木曜日,水曜日,土曜日,第2火曜日,第4火曜日
墨田四丁目,木曜日,水曜日,土曜日,第2火曜日,第4火曜日
太平,金曜日,月曜日,木曜日,第1水曜日,第3水曜日
立花,月曜日,水曜日,土曜日,第1金曜日,第3金曜日
立川,火曜日,月曜日,木曜日,第2土曜日,第4土曜日
千歳,火曜日,月曜日,木曜日,第2土曜日,第4土曜日
堤通一丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
堤通二丁目,木曜日,水曜日,土曜日,第1火曜日,第3火曜日
業平,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
東駒形一丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
東駒形二丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
東駒形三丁目,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
東駒形四丁目,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
東墨田,月曜日,水曜日,土曜日,第1金曜日,第3金曜日
東向島一丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
東向島二丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
東向島三丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
東向島四丁目,木曜日,水曜日,土曜日,第1火曜日,第3火曜日
東向島五丁目,木曜日,水曜日,土曜日,第2火曜日,第4火曜日
東向島六丁目,木曜日,水曜日,土曜日,第2火曜日,第4火曜日
文花一丁目,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
文花二丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
文花三丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
本所一丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
本所二丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
本所三丁目,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
本所四丁目,水曜日,火曜日,金曜日,第2木曜日,第4木曜日
緑,火曜日,月曜日,木曜日,第2土曜日,第4土曜日
向島一丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
向島二丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
向島三丁目,土曜日,火曜日,金曜日,第1月曜日,第3月曜日
向島四丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
向島五丁目,土曜日,火曜日,金曜日,第2月曜日,第4月曜日
八広一丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
八広二丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
八広三丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
八広四丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
八広五丁目,月曜日,水曜日,土曜日,第2金曜日,第4金曜日
八広六丁目,木曜日,水曜日,土曜日,第2火曜日,第4火曜日
横網,火曜日,月曜日,木曜日,第1土曜日,第3土曜日
横川,金曜日,月曜日,木曜日,第1水曜日,第3水曜日
両国,火曜日,月曜日,木曜日,第1土曜日,第3土曜日
