月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.10,0.00,-0.01,-0.11,-0.11,26.34,26.29,26.25,26.29,26.24,-0.09
2,-0.10,-0.02,0.00,-0.12,-0.23,26.27,26.27,26.24,26.26,26.26,0.02
3,-0.01,0.02,0.00,0.01,-0.22,26.27,26.28,26.31,26.29,26.30,0.04
4,0.00,-0.07,0.00,-0.07,-0.29,26.30,26.29,26.26,26.28,26.24,-0.06
5,-0.03,-0.02,0.00,-0.05,-0.34,26.21,26.17,26.17,26.18,26.19,-0.05
6,-0.04,0.02,-0.01,-0.03,-0.37,26.16,26.14,26.18,26.16,26.17,-0.02
7,-0.01,0.00,-0.01,-0.02,-0.39,26.17,26.18,26.15,26.16,26.15,-0.02
8,-0.12,-0.18,0.07,-0.23,-0.62,26.16,26.14,26.35,26.22,26.51,0.36
9,0.58,-0.01,0.03,0.60,-0.02,26.54,26.58,26.75,26.62,26.84,0.33
10,0.02,-0.03,-0.27,-0.28,-0.30,26.86,26.82,26.73,26.80,26.66,-0.18
11,-0.21,0.03,-0.11,-0.29,-0.59,26.63,26.58,26.56,26.59,26.52,-0.14
12,0.01,0.00,-0.07,-0.06,-0.65,26.55,26.50,26.47,26.50,26.44,-0.08
1か年累計変動量(mm/年),,,,-0.65,,,,,,,
平成5年4月観測開始以来累計変動量(mm),,,,-49.39,,,,,,,
1か年平均地下水位(m),,,,,,,,,26.36,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.11
