月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,67.97,67.94,67.79,67.90,67.73,-0.13
2,,,,,,67.80,67.88,67.75,67.81,67.81,0.08
3,,,,,,67.76,67.78,67.78,67.77,67.72,-0.09
4,,,,,,67.75,67.77,67.69,67.74,67.67,-0.05
5,,,,,,67.67,67.63,67.63,67.64,67.71,0.04
6,,,,,,67.63,67.63,67.64,67.63,67.62,-0.09
7,,,,,,67.60,67.63,67.58,67.60,67.60,-0.02
8,,,,,,67.57,67.64,67.79,67.67,67.82,0.22
9,,,,,,67.68,67.62,67.69,67.66,67.68,-0.14
10,,,,,,67.75,67.76,67.80,67.77,67.80,0.12
11,,,,,,67.86,67.87,67.87,67.86,67.84,0.04
12,,,,,,67.86,67.82,67.74,67.80,67.67,-0.17
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,67.74,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.19
