月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,18.05,18.21,18.34,18.21,18.50,0.58
2,,,,,,18.62,18.57,18.54,18.58,18.59,0.09
3,,,,,,18.48,17.91,17.31,17.89,17.45,-1.14
4,,,,,,17.47,17.38,17.36,17.40,17.35,-0.10
5,,,,,,17.31,17.17,17.11,17.19,17.11,-0.24
6,,,,,,17.03,16.98,16.93,16.98,16.90,-0.21
7,,,,,,16.89,16.89,16.80,16.86,16.88,-0.02
8,,,,,,16.75,16.75,16.90,16.80,16.97,0.09
9,,,,,,16.93,16.98,17.16,17.02,17.41,0.44
10,,,,,,17.45,17.53,17.76,17.59,17.73,0.32
11,,,,,,18.06,17.96,17.95,17.99,17.95,0.22
12,,,,,,18.19,18.66,18.73,18.53,18.67,0.72
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,17.59,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.75
