月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.26,0.22,-0.05,-0.09,-0.09,-5.81,-5.81,-5.85,-5.82,-5.88,-0.05
2,-0.28,0.21,0.05,-0.02,-0.11,-5.86,-5.85,-5.88,-5.87,-5.87,0.01
3,-0.13,0.04,0.00,-0.09,-0.20,-5.89,-5.86,-5.85,-5.86,-5.86,0.01
4,0.12,-0.20,0.23,0.15,-0.05,-5.84,-5.81,-5.78,-5.81,-5.75,0.11
5,0.05,-0.12,0.24,0.17,0.12,-5.79,-5.78,-5.74,-5.77,-5.70,0.05
6,-0.16,0.09,0.08,0.01,0.13,-5.71,-5.68,-5.66,-5.68,-5.68,0.02
7,-0.03,-0.12,0.03,-0.12,0.01,-5.67,-5.63,-5.66,-5.66,-5.66,0.02
8,0.07,0.17,0.10,0.34,0.35,-5.63,-5.62,-5.57,-5.61,-5.50,0.16
9,-0.07,0.12,-0.14,-0.09,0.26,-5.57,-5.60,-5.57,-5.58,-5.54,-0.04
10,0.08,-0.11,-0.13,-0.16,0.10,-5.54,-5.57,-5.55,-5.56,-5.60,-0.06
11,0.08,0.06,-0.21,-0.07,0.03,-5.58,-5.60,-5.60,-5.59,-5.62,-0.02
12,0.13,-0.05,-0.16,-0.08,-0.05,-5.57,-5.55,-5.57,-5.56,-5.59,0.03
1か年累計変動量(mm/年),,,,-0.05,,,,,,,
昭和49年4月観測開始以来累計変動量(mm),,,,-35.60,,,,,,,
1か年平均地下水位(m),,,,,,,,,-5.70,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.24
