月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.09,0.04,0.01,-0.04,-0.04,36.47,36.50,36.50,36.49,36.51,0.06
2,0.06,0.06,0.04,0.16,0.12,36.52,36.54,36.54,36.53,36.57,0.06
3,0.06,0.10,-0.03,0.13,0.25,36.54,36.58,36.57,36.57,36.57,0.00
4,0.05,0.14,-0.01,0.18,0.43,36.59,36.61,36.63,36.61,36.63,0.06
5,-0.01,0.01,-0.02,-0.02,0.41,36.62,36.61,36.60,36.61,36.62,-0.01
6,-0.10,0.02,-0.05,-0.13,0.28,36.60,36.62,36.63,36.61,36.62,0.00
7,-0.11,0.04,0.01,-0.06,0.22,36.63,36.67,36.67,36.66,36.67,0.05
8,-0.09,-0.07,0.30,0.14,0.36,36.68,36.68,36.75,36.71,36.78,0.11
9,-0.16,0.20,-0.17,-0.13,0.23,36.74,36.75,36.79,36.76,36.78,0.00
10,-0.14,-0.09,-0.09,-0.32,-0.09,36.78,36.76,36.76,36.77,36.74,-0.04
11,-0.14,0.05,0.33,0.24,0.15,36.75,36.76,36.77,36.76,36.74,0.00
12,0.00,-0.01,0.05,0.04,0.19,36.78,36.77,36.77,36.77,36.76,0.02
1か年累計変動量(mm/年),,,,0.19,,,,,,,
平成3年4月観測開始以来累計変動量(mm),,,,-15.91,,,,,,,
1か年平均地下水位(m),,,,,,,,,36.65,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.31
