月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,11.70,12.24,12.73,12.24,12.89,1.30
2,,,,,,13.05,13.13,13.19,13.12,13.42,0.53
3,,,,,,13.46,13.66,13.91,13.68,13.91,0.49
4,,,,,,13.88,13.77,13.67,13.78,13.67,-0.24
5,,,,,,13.65,13.53,13.56,13.58,13.50,-0.17
6,,,,,,13.38,13.32,13.22,13.31,13.15,-0.35
7,,,,,,13.10,13.03,12.87,12.99,12.97,-0.18
8,,,,,,12.34,11.79,11.63,11.94,11.66,-1.31
9,,,,,,11.59,11.60,11.72,11.64,11.75,0.09
10,,,,,,11.81,11.96,12.26,12.02,12.41,0.66
11,,,,,,12.56,12.73,12.98,12.76,13.07,0.66
12,,,,,,13.20,13.29,13.38,13.30,13.48,0.41
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,12.86,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.89
