月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,69.65,69.58,69.71,69.65,69.70,-0.03
2,,,,,,69.68,69.59,69.68,69.65,69.67,-0.03
3,,,,,,69.62,69.72,69.75,69.70,69.69,0.02
4,,,,,,69.65,69.71,69.66,69.67,69.65,-0.04
5,,,,,,69.66,69.76,69.89,69.77,70.04,0.39
6,,,,,,70.13,70.31,70.26,70.23,70.24,0.20
7,,,,,,70.19,70.17,70.38,70.25,70.39,0.15
8,,,,,,70.33,70.32,71.71,70.82,71.98,1.59
9,,,,,,71.95,71.98,72.33,72.09,72.12,0.14
10,,,,,,71.85,71.35,70.64,71.26,70.31,-1.81
11,,,,,,70.06,70.00,69.96,70.01,70.00,-0.31
12,,,,,,69.96,69.90,69.84,69.90,69.79,-0.21
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,70.25,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.06
