月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-3.09,-3.10,-3.07,-3.09,-3.09,0.02
2,,,,,,-3.08,-3.08,-3.09,-3.08,-3.07,0.02
3,,,,,,-3.08,-3.05,-3.04,-3.06,-3.06,0.01
4,,,,,,-3.04,-3.02,-3.00,-3.02,-2.99,0.07
5,,,,,,-3.03,-3.01,-3.00,-3.01,-2.97,0.02
6,,,,,,-2.98,-2.97,-2.96,-2.97,-2.98,-0.01
7,,,,,,-2.98,-2.98,-2.99,-2.98,-2.99,-0.01
8,,,,,,-2.97,-2.95,-2.92,-2.94,-2.88,0.11
9,,,,,,-2.94,-2.99,-2.98,-2.97,-2.97,-0.09
10,,,,,,-2.98,-3.01,-3.01,-3.00,-3.03,-0.06
11,,,,,,-3.02,-3.01,-3.00,-3.01,-3.03,0.00
12,,,,,,-3.00,-3.02,-2.99,-3.01,-3.01,0.02
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.01,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.10
