月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.24,-0.25,-0.08,-0.57,-0.57,-6.42,-6.38,-6.39,-6.39,-6.38,0.06
2,-0.12,-0.12,0.00,-0.24,-0.81,-6.37,-6.37,-6.37,-6.37,-6.33,0.05
3,-0.24,0.03,0.23,0.02,-0.79,-6.36,-6.33,-6.33,-6.34,-6.33,0.00
4,-0.02,-0.02,0.01,-0.03,-0.82,-6.30,-6.29,-6.27,-6.29,-6.27,0.06
5,0.00,0.02,-0.01,0.01,-0.81,-6.27,-6.26,-6.23,-6.25,-6.20,0.07
6,-0.07,-0.02,0.16,0.07,-0.74,-6.23,-6.21,-6.20,-6.21,-6.22,-0.02
7,-0.10,-0.05,-0.03,-0.18,-0.92,-6.22,-6.19,-6.22,-6.21,-6.23,-0.01
8,0.02,0.01,0.04,0.07,-0.85,-6.20,-6.20,-6.17,-6.19,-6.14,0.09
9,-0.05,0.00,0.01,-0.04,-0.89,-6.21,-6.26,-6.25,-6.24,-6.27,-0.13
10,-0.14,-0.24,-0.45,-0.83,-1.72,-6.27,-6.27,-6.27,-6.27,-6.29,-0.02
11,-0.40,0.08,0.05,-0.27,-1.99,-6.26,-6.26,-6.26,-6.26,-6.31,-0.02
12,-0.05,-0.14,-0.02,-0.21,-2.20,-6.25,-6.25,-6.24,-6.24,-6.25,0.06
1か年累計変動量(mm/年),,,,-2.20,,,,,,,
昭和42年1月観測開始以来累計変動量(mm),,,,-575.44,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.27,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.19
