月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-6.20,-6.18,-6.18,-6.19,-6.18,0.03
2,,,,,,-6.17,-6.16,-6.17,-6.16,-6.11,0.07
3,,,,,,-6.15,-6.12,-6.11,-6.13,-6.11,0.00
4,,,,,,-6.09,-6.08,-6.06,-6.08,-6.06,0.05
5,,,,,,-6.06,-6.06,-6.02,-6.04,-5.99,0.07
6,,,,,,-6.02,-6.00,-6.00,-6.01,-6.02,-0.03
7,,,,,,-6.02,-5.99,-6.04,-6.02,-6.05,-0.03
8,,,,,,-6.02,-6.03,-6.01,-6.02,-5.99,0.06
9,,,,,,-6.06,-6.09,-6.09,-6.08,-6.11,-0.12
10,,,,,,-6.12,-6.12,-6.13,-6.12,-6.14,-0.03
11,,,,,,-6.11,-6.11,-6.11,-6.11,-6.15,-0.01
12,,,,,,-6.08,-6.08,-6.06,-6.07,-6.08,0.07
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.09,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.13
