月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.01,0.01,0.02,0.02,0.02,10.18,10.24,10.26,10.23,10.25,0.14
2,-0.01,0.00,0.02,0.01,0.03,10.24,10.24,10.28,10.25,10.33,0.08
3,0.00,0.03,-0.01,0.02,0.05,10.33,10.39,10.36,10.36,10.34,0.01
4,0.02,-0.01,-0.02,-0.01,0.04,10.34,10.31,10.26,10.30,10.25,-0.09
5,-0.02,-0.02,-0.03,-0.07,-0.03,10.25,10.23,10.14,10.20,10.10,-0.15
6,-0.02,0.04,-0.01,0.01,-0.02,10.03,9.95,9.89,9.96,9.87,-0.23
7,-0.05,0.03,-0.01,-0.03,-0.05,9.83,9.80,9.78,9.80,9.76,-0.11
8,-0.04,0.04,0.42,0.42,0.37,9.74,9.73,9.87,9.78,9.91,0.15
9,-0.07,-0.08,0.19,0.04,0.41,9.87,9.90,10.04,9.94,10.07,0.16
10,-0.11,-0.25,-0.14,-0.50,-0.09,10.10,10.18,10.24,10.17,10.26,0.19
11,-0.02,0.00,0.00,-0.02,-0.11,10.30,10.34,10.37,10.34,10.35,0.09
12,0.00,0.00,0.00,0.00,-0.11,10.41,10.48,10.57,10.49,10.63,0.28
1か年累計変動量(mm/年),,,,-0.11,,,,,,,
昭和44年4月観測開始以来累計変動量(mm),,,,8.93,,,,,,,
1か年平均地下水位(m),,,,,,,,,10.15,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.52
