月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-7.04,-7.01,-7.01,-7.02,-7.01,0.05
2,,,,,,-7.00,-7.00,-7.00,-7.00,-6.96,0.05
3,,,,,,-6.99,-6.96,-6.95,-6.96,-6.95,0.01
4,,,,,,-6.93,-6.91,-6.89,-6.91,-6.89,0.06
5,,,,,,-6.88,-6.87,-6.85,-6.87,-6.82,0.07
6,,,,,,-6.85,-6.84,-6.84,-6.84,-6.84,-0.02
7,,,,,,-6.86,-6.85,-6.88,-6.86,-6.89,-0.05
8,,,,,,-6.88,-6.89,-6.86,-6.88,-6.84,0.05
9,,,,,,-6.90,-6.92,-6.91,-6.91,-6.92,-0.08
10,,,,,,-6.93,-6.92,-6.92,-6.92,-6.93,-0.01
11,,,,,,-6.92,-6.91,-6.91,-6.91,-6.94,-0.01
12,,,,,,-6.89,-6.89,-6.88,-6.89,-6.89,0.05
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.91,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.17
