月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,14.84,14.69,14.60,14.71,14.59,-0.18
2,,,,,,14.56,14.65,14.65,14.62,14.62,0.03
3,,,,,,14.72,15.08,15.08,14.96,15.04,0.42
4,,,,,,15.17,15.07,14.75,15.00,14.71,-0.33
5,,,,,,14.81,14.67,14.48,14.65,14.44,-0.27
6,,,,,,14.43,14.36,14.38,14.39,14.39,-0.05
7,,,,,,14.30,14.24,14.43,14.33,14.41,0.02
8,,,,,,14.33,14.38,14.55,14.42,14.55,0.14
9,,,,,,14.54,14.65,14.88,14.69,14.84,0.29
10,,,,,,14.96,15.17,15.19,15.11,15.18,0.34
11,,,,,,15.18,15.26,15.40,15.28,15.38,0.20
12,,,,,,15.46,15.55,15.58,15.53,15.55,0.17
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,14.81,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.78
