月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-6.07,-6.09,-6.11,-6.09,-6.09,0.00
2,,,,,,-6.11,-6.09,-6.12,-6.10,-6.09,0.00
3,,,,,,-6.12,-6.11,-6.11,-6.11,-6.13,-0.04
4,,,,,,-6.11,-6.11,-6.09,-6.10,-6.09,0.04
5,,,,,,-6.08,-6.11,-6.06,-6.08,-6.03,0.06
6,,,,,,-6.04,-6.01,-6.00,-6.02,-6.03,0.00
7,,,,,,-6.02,-5.99,-6.02,-6.01,-6.01,0.02
8,,,,,,-6.02,-5.98,-5.97,-5.99,-5.95,0.06
9,,,,,,-5.99,-5.99,-5.97,-5.99,-5.98,-0.03
10,,,,,,-5.96,-5.97,-5.94,-5.95,-5.96,0.02
11,,,,,,-5.94,-5.92,-5.91,-5.92,-5.95,0.01
12,,,,,,-5.89,-5.89,-5.87,-5.88,-5.85,0.10
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.02,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.24
