月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,69.28,69.20,69.06,69.18,69.07,-0.13
2,,,,,,69.11,69.11,69.15,69.12,69.26,0.19
3,,,,,,69.18,69.18,69.24,69.20,69.19,-0.07
4,,,,,,69.22,69.17,69.11,69.17,69.10,-0.09
5,,,,,,69.12,69.04,69.13,69.10,69.22,0.12
6,,,,,,69.13,69.19,69.20,69.17,69.17,-0.05
7,,,,,,69.12,69.14,69.14,69.13,69.12,-0.05
8,,,,,,69.31,69.42,69.74,69.50,69.87,0.75
9,,,,,,69.94,69.98,70.21,70.04,70.23,0.36
10,,,,,,70.27,70.22,69.95,70.14,69.87,-0.36
11,,,,,,69.80,69.71,69.67,69.73,69.58,-0.29
12,,,,,,69.63,69.56,69.54,69.58,69.49,-0.09
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,69.42,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.29
