月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,54.86,54.89,54.86,54.87,54.83,-0.01
2,,,,,,54.80,54.78,54.76,54.78,54.75,-0.08
3,,,,,,54.72,54.73,54.71,54.72,54.69,-0.06
4,,,,,,54.69,54.70,54.68,54.69,54.70,0.01
5,,,,,,54.67,54.63,54.59,54.63,54.62,-0.08
6,,,,,,54.60,54.61,54.59,54.60,54.57,-0.05
7,,,,,,54.54,54.56,54.52,54.54,54.49,-0.08
8,,,,,,54.48,54.51,54.60,54.53,54.65,0.16
9,,,,,,54.60,54.64,54.73,54.65,54.75,0.10
10,,,,,,54.80,54.85,54.91,54.85,54.91,0.16
11,,,,,,54.95,55.01,55.07,55.01,55.06,0.15
12,,,,,,55.08,55.09,55.07,55.08,55.05,-0.01
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,54.75,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.21
