月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.07,-0.08,0.01,-0.16,-0.16,-4.54,-4.49,-4.50,-4.51,-4.53,0.04
2,-0.01,0.00,-0.01,-0.02,-0.18,-4.50,-4.47,-4.50,-4.49,-4.50,0.03
3,0.02,0.01,-0.01,0.02,-0.16,-4.50,-4.48,-4.46,-4.48,-4.48,0.02
4,0.01,-0.01,0.01,0.01,-0.15,-4.44,-4.42,-4.41,-4.42,-4.37,0.11
5,0.00,0.01,0.02,0.03,-0.12,-4.40,-4.40,-4.40,-4.40,-4.37,0.00
6,-0.02,0.04,0.01,0.03,-0.09,-4.38,-4.37,-4.36,-4.37,-4.38,-0.01
7,-0.04,0.03,-0.01,-0.02,-0.11,-4.39,-4.37,-4.40,-4.39,-4.42,-0.04
8,-0.01,0.04,0.00,0.03,-0.08,-4.39,-4.38,-4.35,-4.37,-4.28,0.14
9,-0.05,0.05,-0.04,-0.04,-0.12,-4.36,-4.40,-4.40,-4.39,-4.39,-0.11
10,-0.02,-0.03,-0.05,-0.10,-0.22,-4.39,-4.40,-4.38,-4.39,-4.40,-0.01
11,-0.03,0.03,0.00,0.00,-0.22,-4.38,-4.36,-4.36,-4.37,-4.37,0.03
12,-0.05,0.00,-0.03,-0.08,-0.30,-4.35,-4.33,-4.33,-4.34,-4.34,0.03
1か年累計変動量(mm/年),,,,-0.30,,,,,,,
昭和27年6月観測開始以来累計変動量(mm),,,,-1214.60,,,,,,,
1か年平均地下水位(m),,,,,,,,,-4.41,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.23
