月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,23.21,23.14,23.04,23.13,23.04,-0.08
2,,,,,,23.02,22.98,22.93,22.98,22.96,-0.08
3,,,,,,22.94,22.93,22.70,22.85,22.62,-0.34
4,,,,,,22.56,22.64,22.63,22.61,22.48,-0.14
5,,,,,,22.38,22.16,22.05,22.19,21.97,-0.51
6,,,,,,21.84,21.75,21.71,21.76,21.74,-0.23
7,,,,,,21.63,21.46,21.35,21.47,21.32,-0.42
8,,,,,,21.31,21.18,21.29,21.26,21.39,0.07
9,,,,,,21.36,21.44,21.66,21.49,21.72,0.33
10,,,,,,21.90,22.15,22.53,22.19,22.67,0.95
11,,,,,,22.82,23.11,23.72,23.21,24.03,1.36
12,,,,,,24.06,23.85,24.26,24.06,24.50,0.47
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,22.43,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,1.38
