月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,42.39,42.37,42.40,42.39,42.38,-0.05
2,,,,,,42.34,42.30,42.38,42.34,42.38,0.00
3,,,,,,42.33,42.42,42.41,42.39,42.38,0.00
4,,,,,,42.41,42.43,42.40,42.41,42.38,0.00
5,,,,,,42.36,42.33,42.29,42.33,42.29,-0.09
6,,,,,,42.25,42.35,42.33,42.31,42.34,0.05
7,,,,,,42.31,42.34,42.42,42.36,42.36,0.02
8,,,,,,42.32,42.31,42.96,42.56,43.08,0.72
9,,,,,,42.80,42.72,43.20,42.91,42.99,-0.09
10,,,,,,42.86,42.71,42.61,42.72,42.58,-0.41
11,,,,,,42.55,42.55,42.55,42.55,42.56,-0.02
12,,,,,,42.54,42.51,42.47,42.50,42.44,-0.12
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,42.48,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.01
