月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-6.51,-6.48,-6.49,-6.49,-6.49,0.04
2,,,,,,-6.49,-6.49,-6.50,-6.49,-6.46,0.03
3,,,,,,-6.49,-6.47,-6.46,-6.47,-6.46,0.00
4,,,,,,-6.44,-6.43,-6.41,-6.42,-6.40,0.06
5,,,,,,-6.40,-6.39,-6.37,-6.38,-6.35,0.05
6,,,,,,-6.37,-6.36,-6.36,-6.36,-6.37,-0.02
7,,,,,,-6.37,-6.35,-6.37,-6.37,-6.38,-0.01
8,,,,,,-6.36,-6.36,-6.31,-6.34,-6.30,0.08
9,,,,,,-6.34,-6.36,-6.34,-6.35,-6.35,-0.05
10,,,,,,-6.35,-6.36,-6.36,-6.36,-6.38,-0.03
11,,,,,,-6.36,-6.36,-6.39,-6.37,-6.42,-0.04
12,,,,,,-6.38,-6.38,-6.37,-6.38,-6.39,0.03
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.40,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.14
