月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.23,-0.33,-0.62,-1.18,-1.18,34.42,34.45,34.42,34.43,34.41,0.01
2,-0.32,-0.20,-0.03,-0.55,-1.73,34.55,34.70,34.64,34.63,34.66,0.25
3,-0.20,-0.12,-0.23,-0.55,-2.28,34.64,34.69,34.62,34.65,34.59,-0.07
4,-0.11,-0.30,-0.01,-0.42,-2.70,34.57,34.53,34.48,34.53,34.45,-0.14
5,-0.02,-0.23,0.01,-0.24,-2.94,34.44,34.47,35.20,34.72,35.29,0.84
6,-0.01,-0.09,-0.09,-0.19,-3.13,35.08,34.86,34.72,34.89,34.66,-0.63
7,-0.03,-0.32,-0.02,-0.37,-3.50,34.60,34.55,34.46,34.53,34.43,-0.23
8,-0.04,-0.13,-0.03,-0.20,-3.70,34.41,34.38,34.48,34.43,34.53,0.10
9,0.00,0.12,0.11,0.23,-3.47,34.52,34.58,34.74,34.60,34.78,0.25
10,0.06,0.85,0.00,0.91,-2.56,34.83,34.89,34.97,34.90,34.98,0.20
11,0.00,-0.01,3.07,3.06,0.50,35.03,35.10,35.18,35.10,35.18,0.20
12,0.00,0.26,-0.31,-0.05,0.45,35.25,35.29,35.35,35.30,35.35,0.17
1か年累計変動量(mm/年),,,,0.45,,,,,,,
昭和57年4月観測開始以来累計変動量(mm),,,,18.99,,,,,,,
1か年平均地下水位(m),,,,,,,,,34.73,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.95
