月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.06,0.35,-0.08,0.21,0.21,-6.44,-6.37,-6.34,-6.38,-6.33,0.15
2,-0.14,0.10,0.01,-0.03,0.18,-6.32,-6.32,-6.32,-6.32,-6.31,0.02
3,0.18,0.05,-0.22,0.01,0.19,-6.34,-6.32,-6.33,-6.33,-6.33,-0.02
4,0.16,-0.13,0.02,0.05,0.24,-6.32,-6.31,-6.28,-6.30,-6.28,0.05
5,-0.10,0.09,0.02,0.01,0.25,-6.27,-6.24,-6.24,-6.25,-6.23,0.05
6,-0.11,0.13,-0.02,0.00,0.25,-6.26,-6.29,-6.33,-6.29,-6.35,-0.12
7,-0.12,0.10,-0.16,-0.18,0.07,-6.38,-6.41,-6.47,-6.42,-6.51,-0.16
8,-0.11,0.19,0.14,0.22,0.29,-6.51,-6.55,-6.53,-6.53,-6.53,-0.02
9,-0.25,0.56,-0.34,-0.03,0.26,-6.56,-6.56,-6.52,-6.55,-6.52,0.01
10,-0.05,0.01,-0.09,-0.13,0.13,-6.51,-6.48,-6.43,-6.47,-6.43,0.09
11,-0.08,0.21,0.01,0.14,0.27,-6.40,-6.38,-6.37,-6.38,-6.38,0.05
12,-0.11,0.06,-0.03,-0.08,0.19,-6.35,-6.33,-6.31,-6.33,-6.31,0.07
1か年累計変動量(mm/年),,,,0.19,,,,,,,
昭和46年6月観測開始以来累計変動量(mm),,,,-33.41,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.38,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.17
