月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-5.69,-5.97,-6.33,-6.01,-6.41,-0.51
2,,,,,,-6.49,-6.50,-6.33,-6.45,-6.40,0.01
3,,,,,,-6.53,-6.44,-6.42,-6.46,-6.48,-0.08
4,,,,,,-6.08,-6.11,-6.18,-6.12,-6.10,0.38
5,,,,,,-6.03,-6.24,-6.50,-6.26,-6.42,-0.32
6,,,,,,-6.49,-6.47,-6.30,-6.42,-6.21,0.21
7,,,,,,-6.29,-6.20,-5.88,-6.11,-5.87,0.34
8,,,,,,-5.95,-5.71,-5.54,-5.73,-5.49,0.38
9,,,,,,-5.72,-5.65,-5.43,-5.60,-5.53,-0.04
10,,,,,,-5.54,-5.76,-5.85,-5.72,-5.81,-0.28
11,,,,,,-5.83,-5.88,-5.81,-5.84,-5.96,-0.15
12,,,,,,-5.97,-6.03,-6.04,-6.01,-6.04,-0.08
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.06,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-0.14
