月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,58.69,58.69,58.65,58.68,58.64,-0.04
2,,,,,,58.67,58.69,58.62,58.66,58.64,0.00
3,,,,,,59.70,60.23,60.23,60.06,59.54,0.90
4,,,,,,59.26,59.15,59.15,59.19,59.17,-0.37
5,,,,,,59.14,59.12,59.11,59.12,59.13,-0.04
6,,,,,,59.08,59.09,59.06,59.08,59.04,-0.09
7,,,,,,59.03,59.05,59.03,59.04,59.02,-0.02
8,,,,,,59.07,59.08,59.21,59.12,59.27,0.25
9,,,,,,59.23,59.26,59.39,59.30,59.43,0.16
10,,,,,,59.43,59.43,59.44,59.43,59.41,-0.02
11,,,,,,59.43,59.44,59.84,59.57,59.59,0.18
12,,,,,,59.55,59.50,59.51,59.52,59.50,-0.09
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,59.23,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.82
