月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-2.77,-2.74,-2.78,-2.77,-2.80,0.01
2,,,,,,-2.81,-2.85,-2.88,-2.85,-2.86,-0.06
3,,,,,,-2.90,-2.89,-2.91,-2.90,-2.91,-0.05
4,,,,,,-2.90,-2.87,-2.84,-2.87,-2.84,0.07
5,,,,,,-2.82,-2.81,-2.82,-2.82,-2.82,0.02
6,,,,,,-2.85,-2.85,-2.84,-2.85,-2.85,-0.03
7,,,,,,-2.85,-2.84,-2.84,-2.84,-2.84,0.01
8,,,,,,-2.82,-2.82,-2.75,-2.80,-2.74,0.10
9,,,,,,-2.77,-2.77,-2.74,-2.76,-2.74,0.00
10,,,,,,-2.73,-2.73,-2.72,-2.73,-2.74,0.00
11,,,,,,-2.72,-2.72,-2.68,-2.71,-2.66,0.08
12,,,,,,-2.61,-2.59,-2.59,-2.60,-2.61,0.05
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-2.79,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.20
