月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,57.58,57.37,57.63,57.53,57.69,-0.06
2,,,,,,57.58,57.40,57.49,57.49,57.43,-0.26
3,,,,,,57.32,57.58,57.50,57.47,57.42,-0.01
4,,,,,,57.41,57.50,57.41,57.44,57.48,0.06
5,,,,,,57.42,57.35,57.19,57.32,57.18,-0.30
6,,,,,,57.04,57.40,57.62,57.35,57.64,0.46
7,,,,,,57.51,57.47,57.74,57.58,57.66,0.02
8,,,,,,57.49,57.56,59.56,58.25,60.01,2.35
9,,,,,,59.70,59.37,59.95,59.67,59.73,-0.28
10,,,,,,59.41,58.95,58.56,58.96,58.42,-1.31
11,,,,,,58.26,58.24,58.23,58.24,58.25,-0.17
12,,,,,,58.20,58.03,57.93,58.05,57.88,-0.37
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,57.95,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.13
