月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,-6.60,-6.66,-6.67,-6.65,-6.66,0.00
2,,,,,,-6.65,-6.63,-6.63,-6.64,-6.59,0.07
3,,,,,,-6.63,-6.62,-6.60,-6.62,-6.61,-0.02
4,,,,,,-6.60,-6.58,-6.57,-6.58,-6.57,0.04
5,,,,,,-6.44,-6.53,-6.53,-6.50,-6.51,0.06
6,,,,,,-6.51,-6.53,-6.53,-6.52,-6.56,-0.05
7,,,,,,-6.55,-6.57,-6.63,-6.59,-6.64,-0.08
8,,,,,,-6.62,-6.63,-6.66,-6.64,-6.67,-0.03
9,,,,,,-6.74,-6.76,-6.70,-6.73,-6.72,-0.05
10,,,,,,-6.71,-6.63,-6.65,-6.66,-6.67,0.05
11,,,,,,-6.65,-6.64,-6.62,-6.64,-6.63,0.04
12,,,,,,-6.58,-6.53,-6.49,-6.53,-6.45,0.18
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,-6.61,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.21
