月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.17,-0.15,0.00,-0.32,-0.32,(-),(-),(-),(-),(-),(-)
2,-0.02,-0.05,0.01,-0.06,-0.38,(-),(-),(-),(-),(-),(-)
3,0.02,0.10,-0.04,0.08,-0.30,(-),(-),(-),(-),(-),(-)
4,0.04,-0.02,0.02,0.04,-0.26,(-),(-),(-),(-),(-),(-)
5,0.02,0.01,0.02,0.05,-0.21,(-),(-),(-),(-),(-),(-)
6,-0.05,0.06,0.02,0.03,-0.18,(-),(-),(-),(-),(-),(-)
7,0.00,0.00,-0.01,-0.01,-0.19,(-),(-),(-),(-),(-),(-)
8,0.01,-0.03,0.20,0.18,-0.01,(-),(-),(-),(-),(-),(-)
9,-0.08,-0.02,0.12,0.02,0.01,(-),(-),(-),(-),(-),(-)
10,-0.14,-0.16,-0.10,-0.40,-0.39,(-),(-),(-),(-),(-),(-)
11,-0.09,0.07,0.02,0.00,-0.39,(-),(-),(-),(-),(-),(-)
12,-0.05,-0.05,-0.02,-0.12,-0.51,(-),(-),(-),(-),(-),(-)
1か年累計変動量(mm/年),,,,-0.51,,,,,,,
昭和49年4月観測開始以来累計変動量(mm),,,,-78.81,,,,,,,
1か年平均地下水位(m),,,,,,,,,(-),,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,(-)
