月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,6.33,5.89,5.52,5.90,5.75,-0.59
2,,,,,,5.56,5.58,5.57,5.57,5.69,-0.06
3,,,,,,5.46,5.77,5.66,5.63,5.36,-0.33
4,,,,,,5.63,5.55,5.40,5.53,5.61,0.25
5,,,,,,6.02,5.49,5.43,5.64,5.25,-0.36
6,,,,,,5.09,5.10,5.05,5.08,5.18,-0.07
7,,,,,,5.21,5.02,5.19,5.14,5.42,0.24
8,,,,,,5.10,5.47,5.35,5.31,5.18,-0.24
9,,,,,,5.43,5.45,5.55,5.48,5.66,0.48
10,,,,,,5.79,5.72,5.71,5.74,5.89,0.23
11,,,,,,5.96,5.69,5.73,5.79,5.51,-0.38
12,,,,,,5.49,5.65,5.91,5.69,6.43,0.92
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,5.54,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.09
