月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,-0.09,0.32,-0.14,0.09,0.09,-3.39,-3.42,-3.39,-3.40,-3.42,0.04
2,-0.11,0.15,-0.07,-0.03,0.06,-3.43,-3.46,-3.42,-3.44,-3.42,0.00
3,0.20,0.01,-0.18,0.03,0.09,-3.43,-3.36,-3.37,-3.38,-3.38,0.04
4,0.14,-0.07,0.00,0.07,0.16,-3.38,-3.34,-3.38,-3.37,-3.44,-0.06
5,-0.09,0.10,0.02,0.03,0.19,-3.39,-3.38,-3.40,-3.39,-3.38,0.06
6,-0.10,0.13,-0.04,-0.01,0.18,-3.42,-3.38,-3.35,-3.38,-3.38,0.00
7,-0.17,0.21,-0.16,-0.12,0.06,-3.45,-3.53,-3.49,-3.49,-3.52,-0.14
8,0.04,0.42,-0.12,0.34,0.40,-3.52,-3.50,-3.37,-3.46,-3.32,0.20
9,-0.26,0.57,-0.40,-0.09,0.31,-3.37,-3.44,-3.27,-3.36,-3.29,0.03
10,-0.05,0.00,-0.14,-0.19,0.12,-3.36,-3.37,-3.38,-3.37,-3.39,-0.10
11,-0.02,0.19,0.04,0.21,0.33,-3.32,-3.24,-3.18,-3.25,-3.17,0.22
12,-0.10,0.03,-0.02,-0.09,0.24,-3.14,-3.14,-3.10,-3.13,-3.11,0.06
1か年累計変動量(mm/年),,,,0.24,,,,,,,
昭和47年4月観測開始以来累計変動量(mm),,,,-24.22,,,,,,,
1か年平均地下水位(m),,,,,,,,,-3.37,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.35
