月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.07,0.01,-0.01,0.07,0.07,33.52,33.35,33.35,33.40,33.34,-0.26
2,-0.03,0.01,0.00,-0.02,0.05,33.37,33.28,33.27,33.31,33.31,-0.03
3,0.02,0.05,-0.01,0.06,0.11,33.25,33.42,33.56,33.41,33.52,0.21
4,0.05,0.02,-0.01,0.06,0.17,33.50,33.55,33.53,33.52,33.50,-0.02
5,0.00,-0.09,0.00,-0.09,0.08,33.43,33.37,33.33,33.38,33.34,-0.16
6,-0.15,-0.03,-0.20,-0.38,-0.30,33.30,33.39,33.54,33.41,33.53,0.19
7,-0.23,-0.62,-0.54,-1.39,-1.69,33.50,33.42,33.45,33.46,33.46,-0.07
8,-1.67,-1.63,0.01,-3.29,-4.98,33.43,33.33,34.41,33.75,34.92,1.46
9,-0.01,-0.14,0.02,-0.13,-5.11,34.81,34.55,35.45,34.94,35.59,0.67
10,0.50,-0.37,-0.48,-0.35,-5.46,35.25,34.72,34.27,34.73,34.08,-1.51
11,-0.19,0.01,0.00,-0.18,-5.64,33.99,33.94,33.91,33.95,33.89,-0.19
12,0.00,0.00,0.00,0.00,-5.64,33.91,33.80,33.74,33.82,33.68,-0.21
1か年累計変動量(mm/年),,,,-5.64,,,,,,,
平成6年4月観測開始以来累計変動量(mm),,,,-37.67,,,,,,,
1か年平均地下水位(m),,,,,,,,,33.76,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.08
