月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,,,,,,95.91,95.80,95.68,95.79,95.62,-0.33
2,,,,,,95.58,95.52,95.47,95.52,95.44,-0.18
3,,,,,,95.43,95.41,95.42,95.42,95.42,-0.02
4,,,,,,95.42,95.42,95.41,95.42,95.40,-0.02
5,,,,,,95.38,95.33,95.25,95.32,95.22,-0.18
6,,,,,,95.18,95.10,95.07,95.12,95.07,-0.15
7,,,,,,95.06,95.05,95.03,95.05,95.02,-0.05
8,,,,,,95.03,95.03,95.17,95.08,95.40,0.38
9,,,,,,95.76,96.35,96.76,96.29,96.93,1.53
10,,,,,,97.08,97.20,97.17,97.15,97.11,0.18
11,,,,,,97.01,96.80,96.59,96.80,96.51,-0.60
12,,,,,,96.43,96.32,96.21,96.32,96.17,-0.34
1か年累計変動量(mm/年),,,,,,,,,,,
観測開始以来累計変動量(mm),,,,,,,,,,,
1か年平均地下水位(m),,,,,,,,,95.77,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,0.22
