月,地盤変動量(mm)1～10日,地盤変動量(mm)11～20日,地盤変動量(mm)21～31日,1か月変動量(mm/月),累計変動量(mm),平均地下水位(m)1～10日,平均地下水位(m)11～20日,平均地下水位(m)21～31日,1か月平均地下水位(m),月末日平均地下水位(m),月末日変動量(m/月)
1,0.19,-0.01,0.01,0.19,0.19,34.21,34.32,34.26,34.26,34.23,0.18
2,-0.02,0.06,0.01,0.05,0.24,34.22,34.24,34.23,34.23,34.26,0.03
3,-0.03,0.07,0.00,0.04,0.28,34.21,34.23,34.25,34.23,34.22,-0.04
4,0.03,0.12,0.02,0.17,0.45,34.20,34.16,34.15,34.17,34.17,-0.05
5,0.00,-0.04,-0.02,-0.06,0.39,34.21,34.18,34.13,34.17,34.15,-0.02
6,-0.01,0.02,-0.01,0.00,0.39,34.16,34.17,34.12,34.15,34.10,-0.05
7,-0.07,-0.03,-0.04,-0.14,0.25,34.06,33.98,33.90,33.98,33.85,-0.25
8,-0.86,-0.64,1.01,-0.49,-0.24,33.66,32.54,31.71,32.61,31.63,-2.22
9,0.04,0.00,0.22,0.26,0.02,31.59,31.59,31.68,31.62,31.70,0.07
10,-0.05,-0.26,-0.38,-0.69,-0.67,31.71,31.45,30.95,31.36,30.52,-1.18
11,-0.09,-0.07,-0.36,-0.52,-1.19,30.46,30.38,29.53,30.12,29.20,-1.32
12,-0.01,-0.08,-0.32,-0.41,-1.60,28.92,28.43,28.14,28.48,28.06,-1.14
1か年累計変動量(mm/年),,,,-1.60,,,,,,,
昭和62年4月観測開始以来累計変動量(mm),,,,-12.75,,,,,,,
1か年平均地下水位(m),,,,,,,,,32.78,,
月末日累計変動量〔月末日比較の1か年変動量〕(m/年),,,,,,,,,,,-5.99
