階層コード,地域コード,地域,人口総数／平成14年２月１日,人口総数／平成14年1月１日,人口総数／平成13年２月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12240520,12238627,12131187,1893,0.02,109333,0.9
1,13100,区部,8301409,8300059,8225338,1350,0.02,76071,0.92
1,13200,市部,3846487,3845894,3812736,593,0.02,33751,0.89
1,13300,郡部,61427,61451,61464,-24,-0.04,-37,-0.06
1,13350,島部,31197,31223,31649,-26,-0.08,-452,-1.43
,,,,,,,,,
住民基本台帳による世帯と人口_平成14年２月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
