階層コード,地域コード,地域,人口総数／平成14年10月１日,人口総数／平成14年9月１日,人口総数／平成13年10月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12330332,12326833,12222490,3499,0.03,107842,0.88
1,13100,区部,8364172,8362066,8290511,2106,0.03,73661,0.89
1,13200,市部,3873772,3872474,3839284,1298,0.03,34488,0.9
1,13300,郡部,61453,61384,61431,69,0.11,22,0.04
1,13350,島部,30935,30909,31264,26,0.08,-329,-1.05
,,,,,,,,,
住民基本台帳による世帯と人口_平成14年10月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
