"科目","金額[百万円]"
"年度","2017"
"決算日","20180331"
"資産の部 固定資産","3448931"
"資産の部 固定資産 有形固定資産","3333030"
"資産の部 固定資産 有形固定資産 事業用資産","639427"
"資産の部 固定資産 有形固定資産 事業用資産 土地","434366"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","38"
"資産の部 固定資産 有形固定資産 事業用資産 建物","331891"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-134420"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","16738"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-9889"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","0"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","703"
"資産の部 固定資産 有形固定資産 インフラ資産","2691994"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2600616"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1412"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-646"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","104085"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-13473"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","0"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","0"
"資産の部 固定資産 有形固定資産 物品","4018"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2409"
"資産の部 固定資産 無形固定資産","2429"
"資産の部 固定資産 無形固定資産 ソフトウェア","2414"
"資産の部 固定資産 無形固定資産 その他","15"
"資産の部 固定資産 投資その他の資産","113472"
"資産の部 固定資産 投資その他の資産 投資及び出資金","409"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","326"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","20"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2762"
"資産の部 固定資産 投資その他の資産 長期貸付金","702"
"資産の部 固定資産 投資その他の資産 基金","110408"
"資産の部 固定資産 投資その他の資産 基金 減債基金","0"
"資産の部 固定資産 投資その他の資産 基金 その他","110408"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-809"
"資産の部 流動資産","71438"
"資産の部 流動資産 現金預金","20451"
"資産の部 流動資産 未収金","3501"
"資産の部 流動資産 短期貸付金","477"
"資産の部 流動資産 基金","46253"
"資産の部 流動資産 基金 財政調整基金","46253"
"資産の部 流動資産 基金 減債基金","0"
"資産の部 流動資産 棚卸資産","1"
"資産の部 流動資産 その他","854"
"資産の部 流動資産 徴収不能引当金","-100"
"資産の部 繰延資産","0"
"資産の部 資産合計","3520370"
"負債の部 固定負債","21173"
"負債の部 固定負債 地方債等","2200"
"負債の部 固定負債 長期未払金","3756"
"負債の部 固定負債 退職手当引当金","15184"
"負債の部 固定負債 損失補償等引当金","0"
"負債の部 固定負債 その他","33"
"負債の部 流動負債","9240"
"負債の部 流動負債 1年内償還予定地方債等","504"
"負債の部 流動負債 未払金","950"
"負債の部 流動負債 未払費用","0"
"負債の部 流動負債 前受金","1"
"負債の部 流動負債 前受収益","0"
"負債の部 流動負債 賞与等引当金","1026"
"負債の部 流動負債 預り金","6743"
"負債の部 流動負債 その他","17"
"負債の部 負債合計","30413"
"純資産の部 固定資産等形成分","3495662"
"純資産の部 余剰分（不足分）","-5707"
"純資産の部 他団体出資等分","3"
"純資産の部 純資産合計","3489957"
"負債及び純資産合計","3520370"

"連結会計財務書類（貸借対照表）(平成30年3月31日現在)","Ver201803"
