"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","ｶｾｯﾄ[組]","ｽﾗｲﾄﾞ[組]","16mm[巻]","ビデオ[組]","その他視聴覚","合計"
"みなと","198126","10654","35064","1422","685","19630","2902","19950","1131","6692","574","84","642","2528","70","300154"
"三田","141794","8466","24279","664","0","8786","295","7774","0","1580","0","0","0","0","0","193638"
"麻布","93759","6847","19506","578","0","3621","266","3382","0","1244","0","0","0","0","0","129203"
"赤坂","127275","8405","28754","831","0","5164","396","5607","0","1419","0","0","0","0","0","177851"
"高輪","112627","5050","37203","966","0","4696","455","8767","2","2103","0","0","0","0","0","171869"
"高輪(分室)","609","23911","31195","600","0","812","829","1732","0","1020","0","0","0","0","0","60708"
"港南","125741","5476","27998","593","0","4239","274","7895","665","1872","0","0","0","0","0","174753"
"合計","799931","68809","203999","5654","685","46948","5417","55107","1798","15930","574","84","642","2528","70","1208176"

"令和元年度港区行政資料集　図書館別資料所蔵状況","Ver201904",,,,,,,,,,,,,,,
