産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.76,2.3,1.58,2.17
"鉱業,採石業,砂利採取業",1.12,0.89,1.12,0.89
建設業,1.38,1.02,1.66,0.96
製造業,1.14,1.1,0.97,0.92
電気・ガス・熱供給・水道業,0.5,0.57,0.24,0.43
情報通信業,0.65,1.11,0.65,1.06
"運輸業,郵便業",1.16,1.8,1.21,1.71
"卸売業,小売業",2.16,1.79,1.87,1.58
"金融業,保険業",1.02,2.54,0.9,2.57
"不動産業,物品賃貸業",1.48,1.65,1.46,1.83
"学術研究,専門・技術サービス業",2,2.09,2.42,2.19
"宿泊業,飲食サービス業",3.62,4.15,3.88,4.63
"生活関連サービス業,娯楽業",2.34,2.98,1.97,1.85
"教育,学習支援業",1.38,5.64,0.9,5.82
"医療,福祉",2.06,2.86,1.89,2.86
複合サービス事業,1.18,1.69,2.52,2.18
サービス業（他に分類されないもの）,2.01,2.85,2.26,2.93
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,
第４表  産業別労働異動率,,,,
