事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
30人以上,TL 調査産業計,平成18,2006,年平均,561232,424531,390813,33718,136701,117843,113939,107819,6120,3904
30人以上,TL 調査産業計,平成19,2007,年平均,551078,417777,385730,32047,133301,121193,116966,111118,5848,4227
30人以上,TL 調査産業計,平成20,2008,年平均,560621,422956,391435,31521,137665,124540,119026,113026,6000,5514
30人以上,TL 調査産業計,平成21,2009,年平均,532432,417138,386883,30255,115294,118812,115409,110450,4959,3403
30人以上,TL 調査産業計,平成22,2010,年平均,535754,417743,387063,30680,118011,119530,115806,110438,5368,3724
30人以上,TL 調査産業計,平成23,2011,年平均,539512,418033,387145,30888,121479,120131,116455,111134,5321,3676
30人以上,TL 調査産業計,平成24,2012,年平均,529841,415869,382508,33361,113972,120346,116469,111474,4995,3877
30人以上,TL 調査産業計,平成24,2012,1月,424388,413127,380516,32611,11261,113667,112573,107654,4919,1094
30人以上,TL 調査産業計,平成24,2012,2月,425627,416692,383310,33382,8935,115125,114483,109790,4693,642
30人以上,TL 調査産業計,平成24,2012,3月,459433,419338,384454,34884,40095,119288,116778,111974,4804,2510
30人以上,TL 調査産業計,平成24,2012,4月,442121,422647,387465,35182,19474,119418,117449,112536,4913,1969
30人以上,TL 調査産業計,平成24,2012,5月,431610,411236,378249,32987,20374,117828,117150,112291,4859,678
30人以上,TL 調査産業計,平成24,2012,6月,855312,415033,381618,33415,440279,127048,117804,113015,4789,9244
30人以上,TL 調査産業計,平成24,2012,7月,564593,414292,381777,32515,150301,125250,118219,112998,5221,7031
30人以上,TL 調査産業計,平成24,2012,8月,427355,413040,380994,32046,14315,117951,116977,111908,5069,974
30人以上,TL 調査産業計,平成24,2012,9月,442062,412973,380963,32010,29089,116523,114835,110184,4651,1688
30人以上,TL 調査産業計,平成24,2012,10月,434116,417157,385127,32030,16959,116839,115530,110436,5094,1309
30人以上,TL 調査産業計,平成24,2012,11月,437637,416070,381600,34470,21567,120657,119493,114347,5146,1164
30人以上,TL 調査産業計,平成24,2012,12月,1014918,418942,384117,34825,595976,134140,116309,110551,5758,17831
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,703499,453691,445099,8592,249808,40074,35852,35852,0,4222
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,678091,473173,440651,32522,204918,102823,99062,98989,73,3761
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,730537,482660,452894,29766,247877,92078,89633,88919,714,2445
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,734124,494185,473764,20421,239939,228941,228672,220351,8321,269
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,725904,492206,468319,23887,233698,297415,288323,280677,7646,9092
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,711980,484653,464182,20471,227327,313567,302425,302406,19,11142
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,746791,513244,488180,25064,233547,187983,186318,178800,7518,1665
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,1月,591034,519742,501378,18364,71292,284222,281333,281111,222,2889
