事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成18,2006,年平均,101.1,95.8,82.6,105.9,70.7,93.8,115,106.4,79.4,－,－,－,－,171,77.4,144.3,－
５人以上,平成19,2007,年平均,101.5,98.5,97,107.4,86.2,96.6,110.7,109.4,96.1,－,－,－,－,139.9,81.8,131.8,－
５人以上,平成20,2008,年平均,102.1,80,109.1,102.6,104,97.7,103.4,113.1,103.3,－,－,－,－,120.4,96.7,85.3,－
５人以上,平成21,2009,年平均,95.9,90.1,101.4,86.6,108,98.3,100,101.4,98.6,－,－,－,－,94.8,95.4,94.2,－
５人以上,平成22,2010,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成23,2011,年平均,99.2,91.3,113.6,103.6,115.2,99.7,98.9,92.7,97,97,98.5,91.8,106,94.7,79.3,84.1,103.7
５人以上,平成24,2012,年平均,102.1,119,134.7,106.3,98.5,96.5,93,96.9,100.7,77.9,113.6,108.2,88.3,80.4,85.5,78.1,110
５人以上,平成24,2012,1月,99.1,103.5,119.9,96.7,94,97.6,90,94.7,94.9,84.8,103.5,115.9,112.8,74.4,86.2,78.5,105.7
５人以上,平成24,2012,2月,102.6,105.6,126.5,110,107.7,100,82.9,97.3,96.2,78.4,123.5,100,102.1,88.4,84.6,68.2,113.1
５人以上,平成24,2012,3月,107.7,109.8,138.4,112.5,114.3,104.4,90,100,108.2,89.6,124.1,114.3,83,86,92.3,81.3,118
５人以上,平成24,2012,4月,106.8,111.9,143.7,111.7,104.9,99,90.5,98.7,104.4,86.4,122.4,115.9,92.6,93,95.4,76.6,119.7
５人以上,平成24,2012,5月,100.9,109.8,138.4,104.2,98.4,93.7,89.6,92,101.9,85.6,111.8,111.1,98.9,83.7,84.6,69.2,109
５人以上,平成24,2012,6月,100.9,107,127.2,107.5,95.6,98.5,91.9,92,99.4,85.6,110.6,104.8,91.5,81.4,84.6,71,111.5
５人以上,平成24,2012,7月,100.9,117.5,135.8,105,98.9,92.7,98.1,97.3,99.4,76,109.4,104.8,87.2,74.4,81.5,78.5,106.6
５人以上,平成24,2012,8月,97.4,211.2,132.5,101.7,87.9,92.2,92.4,92,96.2,72.8,108.2,107.9,85.1,60.5,81.5,57,101.6
５人以上,平成24,2012,9月,96.6,107,136.4,100.8,90.1,90.3,86.7,96,98.1,69.6,105.9,106.3,74.5,62.8,78.5,67.3,101.6
５人以上,平成24,2012,10月,101.7,116.1,141.1,107.5,103.3,97.6,89.1,98.7,103.2,70.4,112.9,101.6,72.3,88.4,81.5,81.3,106.6
５人以上,平成24,2012,11月,105.1,130.1,138.4,110,100.5,97.1,98.6,102.7,105.1,69.6,122.4,103.2,79.8,93,89.2,96.3,113.1
５人以上,平成24,2012,12月,105.1,97.9,138.4,108.3,86.8,95.1,116.6,101.3,101.3,66.4,108.2,112.7,79.8,79.1,86.2,112.1,113.9
５人以上,平成19,2007,年平均（前年比（％））,0.5,2.8,17.5,1.4,21.9,2.9,-3.7,2.8,21,－,－,－,－,-18.2,5.6,-8.7,－
５人以上,平成20,2008,年平均（前年比（％））,0.6,-18.8,12.4,-4.4,20.6,1.1,-6.5,3.4,7.5,－,－,－,－,-14,18.2,-35.3,－
５人以上,平成21,2009,年平均（前年比（％））,-6.1,12.7,-7,-15.6,3.8,0.6,-3.4,-10.3,-4.6,－,－,－,－,-21.2,-1.3,10.6,－
５人以上,平成22,2010,年平均（前年比（％））,4.2,11,-1.4,15.5,-7.5,1.8,0.1,-1.4,1.5,－,－,－,－,5.6,4.8,6.1,－
５人以上,平成23,2011,年平均（前年比（％））,-0.8,-8.7,13.6,3.6,15.2,-0.3,-1.1,-7.2,-3.1,-3.2,-1.2,-7.9,5.3,-5.5,-20.6,-15.9,4.1
５人以上,平成24,2012,年平均（前年比（％））,2.9,30.3,18.6,2.6,-14.5,-3.2,-6,4.5,3.8,-19.7,15.3,17.9,-16.7,-15.1,7.8,-7.1,6.1
５人以上,平成24,2012,1月（前年同月比（％））,2.4,13.2,14.4,2.5,-4.1,0.8,-3.4,-2.9,0.7,-11.8,19,19.4,5.5,-17.2,-5.3,-7.3,2.7
５人以上,平成24,2012,2月（前年同月比（％））,3,9.3,5.3,4.3,4,-2.9,-13.6,-2.8,2.1,-21.7,18.8,10.3,-7.3,-10.7,37.3,-23.3,14.5
５人以上,平成24,2012,3月（前年同月比（％））,7,15,7.2,8.4,-40.5,6.3,-13.3,10,3.2,-13.9,25.7,49.6,-21.6,-15.2,2.9,-19.1,18.4
５人以上,平成24,2012,4月（前年同月比（％））,5,8.5,25.6,12,-29.3,-3.4,-9.4,-3.7,0.2,-18.9,34.4,27.8,-4.7,-20.9,12,-15.5,20.1
５人以上,平成24,2012,5月（前年同月比（％））,6.5,25.5,34.1,13.5,-25.6,-2.6,-0.6,5.9,3.6,-13.8,21.9,39.6,15.7,-17.5,-5.7,-14,7.6
５人以上,平成24,2012,6月（前年同月比（％））,1.7,21.6,28.4,1.7,-20.3,-2.5,-9.3,0,5.1,-15.2,7.6,17.6,-0.4,-23.1,2.3,-5.3,16.6
５人以上,平成24,2012,7月（前年同月比（％））,3.4,25.9,24.8,-0.1,-2.3,-5.5,2.6,7.4,2.9,-18.2,8.2,40.1,-29.7,-17.2,-6.4,8.6,4.4
５人以上,平成24,2012,8月（前年同月比（％））,3.5,149.4,18.9,4.6,-7.5,-4.5,1.2,6.1,7.5,-23,12.2,5.9,-27,31.5,6.5,-12.3,1.9
５人以上,平成24,2012,9月（前年同月比（％））,-0.4,31.9,16.2,-1.3,-7.7,-7.9,-4,7.6,5,-23.1,8.5,19.3,-32.3,-33.5,3.6,-19.5,-2.9
５人以上,平成24,2012,10月（前年同月比（％））,1.1,26.1,13.4,-2.9,3.2,-0.7,-16.3,12.3,5.2,-26.1,7.9,10.1,-34.3,-12.8,37.7,-16.7,-1.8
５人以上,平成24,2012,11月（前年同月比（％））,2.5,39.4,22.5,-4.1,-0.3,-7.6,-3.6,12.1,6.4,-28.2,17.7,1.3,-30.2,-10.3,40.3,12.1,-1.1
５人以上,平成24,2012,12月（前年同月比（％））,-1,10.2,17.6,-4.2,-6.7,-7.3,0.4,4.8,4.4,-23.9,4.6,-4.3,-19.7,-7.2,-4.1,31.9,-2.5
30人以上,平成18,2006,年平均,100.1,96,73.6,107.6,69.3,99.1,108.2,108.1,77.7,－,－,－,－,217.7,77.1,129.2,－
30人以上,平成19,2007,年平均,104.2,98.5,89.7,107.6,84.2,101.5,112.2,117.6,95.1,－,－,－,－,173.5,84.1,114.2,－
30人以上,平成20,2008,年平均,103.2,80,98.9,105.5,104.2,103,102.8,121.4,105.8,－,－,－,－,133.5,87.2,67.5,－
30人以上,平成21,2009,年平均,95.3,90.1,99.7,87.2,109.6,99.8,99.2,106.3,98,－,－,－,－,93,87.2,81.9,－
30人以上,平成22,2010,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
