事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,TL 調査産業計,平成18,2006,年平均,5094527,87873,81476,5101182,1300665,53510,51881,1302036
５人以上,TL 調査産業計,平成19,2007,年平均,5176952,89692,84560,5182289,1305088,56235,53098,1308020
５人以上,TL 調査産業計,平成20,2008,年平均,5257717,91114,82623,5266929,1321579,54731,52131,1323458
５人以上,TL 調査産業計,平成21,2009,年平均,5455496,90028,89842,5455566,1491775,61378,60254,1493014
５人以上,TL 調査産業計,平成22,2010,年平均,5429498,84303,86256,5427949,1480307,55105,55457,1479550
５人以上,TL 調査産業計,平成23,2011,年平均,5363401,79013,83876,5358354,1516992,54130,53548,1517758
５人以上,TL 調査産業計,平成24,2012,年平均,5551294,82331,86444,5547632,1633312,59887,57682,1635066
５人以上,TL 調査産業計,平成24,2012,1月,5542245,38738,55471,5525291,1643149,45307,41751,1646926
５人以上,TL 調査産業計,平成24,2012,2月,5548153,63151,67499,5543586,1622698,50467,55676,1617708
５人以上,TL 調査産業計,平成24,2012,3月,5531761,69651,98116,5503522,1630900,56600,66334,1620940
５人以上,TL 調査産業計,平成24,2012,4月,5508390,307708,204684,5613063,1616072,95745,97439,1612729
５人以上,TL 調査産業計,平成24,2012,5月,5615072,93956,92467,5617113,1610720,66713,60556,1616325
５人以上,TL 調査産業計,平成24,2012,6月,5614116,58252,79653,5592501,1622155,63608,57677,1628300
５人以上,TL 調査産業計,平成24,2012,7月,5594284,64752,87160,5572084,1626517,54589,46255,1634643
５人以上,TL 調査産業計,平成24,2012,8月,5556451,58040,66213,5549802,1650277,52166,58011,1642908
５人以上,TL 調査産業計,平成24,2012,9月,5561029,50857,72701,5540604,1631680,49676,51286,1628651
５人以上,TL 調査産業計,平成24,2012,10月,5524630,84771,96929,5512314,1630541,67741,52029,1646411
５人以上,TL 調査産業計,平成24,2012,11月,5516075,50444,62844,5504602,1648770,61822,52645,1657020
５人以上,TL 調査産業計,平成24,2012,12月,5503325,47646,53595,5497100,1666263,54211,52521,1668229
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,2160,40,38,2163,1,0,0,1
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,2097,30,36,2091,40,1,1,40
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,2064,32,24,2071,37,0,0,38
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,2017,37,33,2022,11,0,1,11
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2094,42,33,2101,5,1,1,6
