産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.32,1.74,1.06,1.7
"鉱業,採石業,砂利採取業",1.39,0.94,1.39,0.94
建設業,0.72,0.87,0.65,0.66
製造業,0.77,1.32,0.78,1.31
電気・ガス・熱供給・水道業,1.77,1.04,1.7,0.92
情報通信業,0.59,1.26,0.47,1.33
"運輸業,郵便業",0.88,2.34,0.85,2.29
"卸売業,小売業",1.31,1.83,0.99,1.87
"金融業,保険業",1.27,1.24,1.28,1.33
"不動産業,物品賃貸業",1.1,1.26,1.1,1.22
"学術研究,専門・技術サービス業",1.05,1.5,0.86,1.5
"宿泊業,飲食サービス業",2.81,3.22,1.42,3.78
"生活関連サービス業,娯楽業",1.47,2.24,1.21,2.4
"教育,学習支援業",0.87,0.97,0.23,0.63
"医療,福祉",1.44,1.39,1.43,1.29
複合サービス事業,0.13,0.33,0.18,0.24
サービス業（他に分類されないもの）,2.28,2.48,2.43,2.78
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,
第４表  産業別労働異動率,,,,
