KEY_CODE,年少人口,都道府県名,小地域,男,女,年少人口割合
13110024001,254,東京都,目黒区中根１丁目,143,111,8.56%
13110024002,298,東京都,目黒区中根２丁目,141,157,8.05%
131100250,1105,東京都,目黒区柿の木坂,574,531,11.87%
13110025001,442,東京都,目黒区柿の木坂１丁目,220,222,10.89%
13110025002,467,東京都,目黒区柿の木坂２丁目,247,220,12.63%
13110025003,196,東京都,目黒区柿の木坂３丁目,107,89,12.66%
131100260,1888,東京都,目黒区八雲,976,912,12.64%
13110026001,268,東京都,目黒区八雲１丁目,140,128,9.58%
13110026002,402,東京都,目黒区八雲２丁目,210,192,11.75%
13110026003,536,東京都,目黒区八雲３丁目,267,269,13.88%
13110026004,261,東京都,目黒区八雲４丁目,133,128,12.57%
13110026005,421,東京都,目黒区八雲５丁目,226,195,15.16%
131100270,818,東京都,目黒区東が丘,432,386,11.09%
13110027001,493,東京都,目黒区東が丘１丁目,258,235,11.56%
13110027002,325,東京都,目黒区東が丘２丁目,174,151,10.43%
