年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,7,6,5,5,3,5,7,5,1,4,5,3,3,4,3,3,5,2,4,4,1,2,2,4,1,6,3,5,3,2,6,8,3,2,3,3,6,8,13,11,9,10,11,14,9,21,12,17,17,21,21,15,20,20,29,22,20,27,22,18,24,17,21,15,20,22,18,15,14,18,12,9,14,11,9,9,12,10,15,9,12,8,19,11,6,5,12,13,10,12,13,6,11,12,10,13,9,8,11,12,14,12,12,13,7,5,9,10,7,2,10,12,10,11,8,8,10,2,6,7,5,0,3,9,7,7,6,5,4,2,2,15,6,13,3,3,10,9,9,7,11,8,5,10,8,9,6,4,2,6,7,7,6,5,6,8,4,6,1,3,3,5,4,8,4,2,4,10,2,5,1,3,0,2,2,3,2,1,0,0,1,1,1,2,0,1,1,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,6,12,6,13,9,5,5,9,8,11,5,12,11,4,5,4,4,4,4,3,3,7,4,4,3,7,5,7,5,3,2,7,3,2,7,7,7,6,5,10,5,7,6,12,10,9,13,8,20,21,25,17,26,23,26,20,30,26,25,28,23,32,28,21,28,22,23,12,36,25,31,22,19,21,20,24,25,21,21,19,20,14,18,17,18,21,26,25,20,6,21,19,19,18,15,22,13,16,14,15,20,8,11,6,12,9,14,4,7,14,8,12,12,13,7,14,13,3,18,13,13,9,7,14,9,8,10,9,9,14,12,9,5,6,11,9,7,8,11,16,10,13,14,15,8,7,8,10,9,12,8,10,7,8,6,10,15,7,8,5,6,5,1,3,2,7,4,6,2,5,5,3,1,6,3,6,1,2,1,3,1,8,2,4,0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
両国三丁目,12,5,9,7,7,6,4,3,4,3,3,1,6,2,10,5,1,1,3,5,4,3,4,6,5,4,4,2,3,7,6,4,1,5,3,5,6,4,4,4,5,4,13,7,11,12,9,12,14,13,18,29,20,20,29,30,29,31,31,33,29,29,21,28,20,22,20,24,23,22,22,24,27,21,13,18,16,19,14,17,30,27,18,27,18,19,13,11,24,13,20,19,20,21,23,11,11,8,15,15,14,16,7,15,10,10,11,16,8,15,14,11,7,12,11,10,7,8,9,7,7,6,8,10,4,5,6,7,9,6,7,4,6,4,6,9,4,8,4,11,11,12,9,12,5,9,5,2,6,3,3,5,7,7,1,8,4,4,4,3,1,7,4,7,1,6,2,5,4,5,4,2,4,3,2,7,2,2,1,3,1,5,1,3,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,6,8,8,10,5,7,7,3,8,3,6,3,8,5,3,3,4,6,7,3,4,3,4,7,4,5,5,4,7,2,5,4,4,6,4,5,4,7,13,9,9,12,15,8,8,10,14,17,14,22,24,21,22,23,27,23,22,22,26,22,34,28,12,21,19,25,23,15,20,23,17,18,23,19,17,13,24,21,19,19,14,10,15,17,13,9,17,19,19,19,15,11,27,17,24,15,13,14,15,12,7,13,18,12,9,13,15,18,13,10,9,9,7,8,14,7,7,9,10,9,6,4,7,10,9,5,4,7,15,10,12,7,9,13,6,8,11,8,8,8,15,13,11,10,2,6,1,8,5,10,4,8,11,8,7,10,5,6,6,5,3,12,2,10,4,11,5,12,4,4,7,5,5,7,4,4,0,4,3,3,2,5,0,1,1,3,0,2,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
千歳一丁目,7,9,7,6,3,6,10,3,13,4,9,1,5,6,3,5,7,3,4,3,7,8,2,6,3,10,6,4,4,2,1,7,7,4,6,6,7,6,6,2,8,10,7,7,3,6,15,9,17,10,13,19,22,19,11,20,19,15,16,12,17,20,20,13,13,16,16,14,22,16,17,20,15,11,15,12,20,10,19,18,17,16,18,18,9,20,12,12,18,17,14,12,14,16,10,10,12,21,22,14,21,10,12,12,10,9,7,12,7,16,11,10,9,11,11,10,9,9,15,7,9,11,6,8,9,16,9,2,4,6,6,5,6,8,6,7,7,8,8,14,11,6,6,13,7,4,5,6,3,8,5,4,9,3,6,7,4,5,4,10,5,1,2,7,2,4,2,3,0,3,1,8,2,3,1,4,1,2,0,0,1,2,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
千歳二丁目,4,6,4,7,4,4,3,1,8,8,2,1,3,4,1,4,4,3,2,4,3,3,6,2,4,3,5,2,1,2,0,4,3,3,2,2,2,3,12,1,8,2,6,5,9,4,9,6,5,8,6,10,9,9,25,23,14,10,5,13,12,10,16,12,12,11,9,6,9,8,9,7,10,7,12,14,14,13,8,15,18,12,13,7,9,10,9,4,13,10,6,9,15,9,12,9,8,7,8,10,6,5,7,8,8,7,9,3,4,5,8,8,6,3,2,9,8,2,6,3,3,2,5,6,6,3,1,1,3,1,3,1,3,4,1,4,1,0,3,3,5,1,8,3,2,3,1,7,0,2,2,5,3,3,3,4,3,1,1,5,2,3,4,5,2,2,0,3,4,1,0,4,2,2,1,2,2,1,1,2,0,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,10,11,12,18,15,11,15,11,7,6,7,9,9,7,8,6,5,8,8,13,8,3,3,4,4,4,7,6,3,1,2,5,4,7,6,4,9,5,5,5,13,7,4,7,15,6,11,14,18,24,17,19,27,27,27,26,31,33,33,21,30,27,25,27,34,32,21,32,27,29,38,36,26,24,38,28,18,31,27,26,30,29,30,20,13,20,32,26,27,28,20,26,24,13,25,14,18,20,9,17,20,23,11,16,11,13,17,11,15,10,7,14,10,10,14,10,14,13,8,11,13,11,8,6,10,7,5,7,6,8,9,14,10,7,11,15,13,7,9,9,8,14,10,12,9,7,4,6,3,6,12,5,6,8,4,10,2,5,4,9,5,5,4,7,3,7,3,4,9,5,3,7,2,3,4,3,1,4,0,6,0,3,2,3,2,2,1,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,18,19,17,8,14,5,15,8,13,13,4,12,10,10,9,6,10,10,9,9,11,10,13,8,10,12,9,8,7,8,8,6,8,4,11,10,8,9,24,10,17,9,19,7,19,9,20,20,20,27,19,29,53,41,36,23,33,35,49,39,39,43,36,32,42,32,41,44,40,29,29,23,39,30,26,23,34,27,41,36,33,26,22,25,23,19,35,25,35,36,34,28,28,25,24,21,22,18,25,25,22,20,18,22,22,12,22,13,21,21,13,10,8,16,20,11,13,9,13,11,13,15,9,11,7,10,15,20,9,7,4,9,10,10,7,10,14,9,12,11,19,9,12,16,8,5,6,8,11,9,5,9,9,8,3,11,3,10,5,3,6,10,5,5,7,5,4,7,3,5,5,8,4,7,1,8,2,6,3,7,0,5,0,5,1,2,2,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑二丁目,23,19,21,16,25,12,16,25,19,7,18,9,16,16,16,15,12,8,16,13,18,13,14,17,21,11,3,11,16,9,16,13,10,15,4,15,16,10,12,9,8,11,12,20,13,22,18,25,26,30,22,31,27,41,38,33,23,37,36,38,27,48,46,32,50,33,32,43,33,35,26,31,32,28,24,22,34,30,30,36,26,35,22,30,23,24,35,33,31,36,36,30,31,35,31,32,27,19,32,31,29,31,26,24,21,20,22,24,18,19,14,17,15,22,14,19,18,9,14,19,14,13,18,10,11,15,12,13,8,6,10,17,14,11,15,7,8,14,14,14,5,10,14,14,6,13,5,10,9,7,12,14,9,16,8,16,10,10,6,8,7,2,7,5,7,7,5,7,3,6,1,7,1,3,3,8,5,4,1,6,2,6,2,6,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
