年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,7,12,3,5,6,4,3,5,7,4,2,3,2,3,2,4,5,1,4,1,5,4,2,1,2,4,2,4,1,5,5,2,5,7,4,4,3,3,4,7,3,9,7,14,14,13,11,18,11,14,16,12,18,24,34,27,22,24,20,27,25,21,22,12,21,13,16,14,17,21,13,13,20,9,9,7,12,9,8,10,11,6,10,10,13,10,13,6,8,11,10,11,15,6,12,8,8,13,14,11,11,15,13,6,12,14,8,3,6,11,5,5,11,10,11,12,10,9,8,4,7,4,2,2,3,6,4,8,8,5,5,3,2,7,5,17,3,7,5,5,11,8,11,5,8,12,8,8,4,5,4,5,2,4,7,7,3,7,7,6,1,3,4,3,3,8,2,3,4,7,2,7,3,5,0,2,1,2,2,2,0,0,0,1,0,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,9,9,9,8,5,8,8,9,5,10,8,7,4,12,11,7,2,5,5,0,3,5,6,10,3,5,2,6,4,8,3,3,4,7,5,4,8,5,6,9,7,7,6,9,16,17,16,18,20,9,25,21,28,18,25,35,25,25,26,22,29,25,21,25,28,25,27,25,22,9,23,27,34,16,12,25,18,24,19,23,21,25,19,14,18,10,11,26,21,23,22,10,17,14,19,18,16,21,12,17,15,8,20,13,14,5,15,5,10,10,6,12,8,13,13,11,9,11,13,3,12,13,15,9,7,11,9,9,6,9,13,10,9,14,3,4,9,8,11,9,8,13,12,10,11,16,12,11,7,9,7,12,10,12,5,8,7,9,13,10,11,4,5,6,2,2,0,4,4,7,1,6,5,1,2,7,3,5,2,3,0,4,2,4,1,6,0,3,0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
両国三丁目,7,9,14,4,7,5,4,5,5,5,5,3,5,1,4,4,10,6,2,0,4,5,4,2,6,9,1,2,6,4,3,5,7,5,2,4,3,9,10,5,5,4,5,5,15,7,14,20,14,17,20,24,21,23,35,32,24,33,28,27,27,29,31,36,24,25,26,21,19,22,21,22,25,24,29,19,14,18,15,20,11,19,25,24,23,28,16,18,11,13,25,18,18,13,24,22,21,15,13,9,13,12,8,18,8,16,9,8,11,16,8,12,16,10,8,14,9,9,10,9,6,6,6,10,7,10,7,5,5,9,7,4,5,7,8,4,4,10,6,9,5,9,10,12,9,12,7,9,3,2,6,4,4,3,7,6,1,7,3,7,3,4,2,3,5,6,1,5,3,4,3,7,4,2,5,0,1,6,2,5,1,2,2,5,0,2,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,14,13,11,6,8,10,7,11,7,3,10,5,8,5,8,5,5,2,4,7,7,8,9,3,5,7,3,6,4,3,7,2,7,3,2,6,5,7,8,7,21,12,6,12,18,8,18,14,20,24,15,28,24,21,28,26,24,24,23,24,21,25,34,25,14,25,20,19,28,15,24,23,19,18,18,18,19,15,20,19,23,19,20,16,15,11,12,15,20,17,18,18,18,12,21,22,29,16,11,14,17,15,10,15,20,7,10,14,14,20,14,7,9,9,8,12,11,6,8,8,6,11,11,5,5,9,7,4,8,7,9,8,17,9,7,10,9,9,9,12,9,5,9,13,15,9,4,8,1,8,3,8,5,10,11,10,8,8,5,9,5,3,3,6,4,11,3,8,5,12,4,9,3,4,5,8,4,4,1,2,2,3,2,3,0,1,0,3,1,2,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
千歳一丁目,5,6,4,6,8,4,3,8,8,2,13,5,11,2,5,3,2,8,6,3,4,3,3,4,5,9,3,10,4,4,4,2,3,6,4,3,5,8,9,6,7,4,4,10,9,8,6,5,14,10,19,17,12,17,18,17,12,19,19,15,11,15,17,21,22,15,13,15,7,17,15,12,20,18,11,13,15,14,20,12,17,13,19,19,19,14,9,19,11,16,18,19,12,11,18,16,10,13,14,22,22,12,16,16,18,6,9,11,7,14,10,10,7,12,10,16,10,8,11,10,7,6,16,7,4,9,8,15,8,6,5,5,5,6,7,7,5,7,5,5,10,14,7,12,9,8,7,6,5,4,3,9,4,5,3,3,7,6,5,4,3,10,4,5,5,4,0,5,3,5,0,3,1,6,2,2,1,4,0,4,0,0,1,2,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
千歳二丁目,8,3,5,6,3,8,2,3,4,1,6,4,3,5,4,4,2,5,3,2,5,2,3,6,3,2,6,1,4,4,1,2,1,4,1,2,6,5,6,3,15,1,8,5,3,3,6,5,9,6,5,7,15,9,8,8,20,21,13,17,10,11,15,8,17,10,12,14,10,7,7,9,8,6,13,9,12,12,13,13,9,11,13,15,12,10,9,8,8,7,14,7,10,10,10,8,13,8,12,8,8,11,6,7,10,9,6,5,10,3,6,4,8,9,4,5,5,5,8,6,7,1,5,2,2,6,5,3,6,2,4,1,1,1,3,2,3,5,1,1,3,3,2,2,9,3,3,3,1,2,0,7,1,3,4,4,2,4,2,2,3,5,2,3,3,4,2,3,1,2,3,2,1,1,0,5,2,0,1,3,1,0,1,2,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,12,14,8,10,13,13,12,8,19,13,9,5,5,8,9,5,7,7,3,6,10,12,5,4,5,6,5,3,7,5,3,5,4,3,2,6,5,8,10,5,5,8,14,6,11,12,18,13,21,19,30,22,28,28,26,29,29,22,40,27,28,27,31,22,21,22,36,36,21,27,24,29,45,33,29,21,36,34,27,24,24,28,29,17,33,25,16,21,28,23,24,28,23,18,18,17,25,14,21,17,12,21,20,22,8,17,11,15,17,9,14,13,9,16,9,10,13,9,12,14,12,11,8,10,8,7,9,6,7,5,4,9,7,12,8,8,10,16,8,9,15,7,8,12,11,13,8,8,5,8,4,4,8,5,7,6,4,8,3,11,2,7,5,3,5,8,3,6,4,5,5,5,3,4,5,4,2,1,2,4,0,7,0,3,2,4,2,1,1,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
緑一丁目,21,16,18,14,17,10,10,5,16,11,11,8,5,14,7,9,12,7,11,8,4,13,14,8,9,9,14,9,11,11,6,7,8,7,7,3,10,8,13,16,15,15,17,15,16,22,20,28,29,23,26,42,39,36,45,53,51,39,39,35,46,44,37,42,33,36,35,35,44,34,40,28,26,25,34,30,24,19,34,28,43,33,37,26,24,27,28,27,29,26,33,35,32,33,36,22,22,21,23,20,25,21,22,23,19,16,20,19,24,15,23,20,19,12,7,12,22,15,10,10,7,7,15,11,8,17,7,7,11,15,11,11,5,10,6,7,7,9,10,10,15,8,13,9,13,17,11,8,7,8,5,10,9,4,8,12,5,7,1,10,3,5,7,7,3,8,6,3,5,8,6,1,4,9,4,10,1,2,2,5,3,8,1,3,0,5,0,1,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
緑二丁目,28,18,23,14,15,12,17,11,20,19,10,10,17,12,16,11,21,14,12,11,11,14,24,12,11,18,17,12,12,8,11,8,18,13,11,14,5,18,12,8,14,17,10,14,14,23,19,28,25,35,33,41,33,30,28,44,44,44,33,36,32,45,32,37,36,38,46,33,38,36,32,32,27,28,36,31,22,24,36,30,36,29,24,36,24,28,22,29,31,29,24,33,30,29,29,40,30,30,28,21,33,24,27,36,24,24,23,20,24,30,19,15,15,22,17,17,10,20,17,15,17,13,14,15,16,10,13,14,10,14,10,6,10,17,12,11,12,8,10,9,10,17,12,10,12,10,10,15,4,9,4,7,15,13,5,19,11,14,7,10,7,9,4,3,9,4,7,6,3,7,5,7,1,6,1,5,2,6,2,4,4,9,1,3,2,6,2,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
