年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,5,6,4,6,6,3,2,3,1,5,6,3,3,3,5,3,2,3,1,5,4,6,3,4,5,5,4,6,0,4,4,4,2,3,3,6,6,4,8,9,10,8,12,8,11,15,20,12,20,15,15,15,16,17,17,21,15,14,21,19,17,15,17,14,12,14,8,10,15,10,15,10,8,5,14,12,9,9,12,7,8,10,12,15,13,7,11,7,12,11,12,11,11,14,11,9,15,15,9,8,7,15,9,5,7,9,8,11,10,12,9,5,12,4,7,7,7,5,3,10,8,6,9,4,3,3,4,16,5,10,7,4,11,9,12,7,8,9,7,10,5,7,8,6,5,7,7,10,5,5,6,7,3,5,4,7,6,8,5,4,5,9,3,8,2,7,1,3,3,1,4,4,0,0,0,3,1,2,1,3,2,1,1,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,8,11,17,6,6,9,10,5,5,6,6,3,6,6,4,8,3,3,4,6,4,4,4,3,2,7,2,5,3,4,4,8,7,6,5,6,2,6,7,7,6,5,9,5,12,11,19,8,13,15,26,17,17,30,29,27,25,24,25,23,27,22,25,25,40,21,22,32,26,21,18,24,25,25,24,7,22,10,19,25,22,20,26,12,20,15,24,16,8,16,11,16,10,12,22,11,15,7,14,3,15,8,8,8,5,12,12,10,10,10,11,7,9,7,13,10,13,12,10,10,6,10,14,14,10,13,5,6,8,9,11,8,8,15,11,15,14,15,15,13,9,9,5,9,13,11,5,7,11,12,10,10,14,3,4,7,5,2,1,4,3,6,6,6,4,3,3,8,3,7,3,5,0,4,3,7,1,7,2,2,0,6,0,1,1,2,1,2,0,1,0,3,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
両国三丁目,7,9,5,5,3,5,4,6,6,4,5,1,1,4,4,2,8,7,1,1,4,5,4,3,4,4,2,5,3,8,6,4,4,5,2,3,7,6,12,5,4,2,6,7,11,5,14,19,10,14,21,23,24,27,31,32,31,35,20,20,19,26,17,23,22,27,34,23,19,18,20,19,19,14,14,21,21,28,25,19,12,15,18,16,13,16,18,21,23,21,16,9,13,11,8,16,10,10,8,10,13,20,12,13,12,14,9,6,10,13,11,11,10,7,7,10,11,8,9,11,4,5,7,7,7,9,9,6,7,8,5,9,7,8,9,14,10,9,6,11,3,3,5,4,6,4,6,6,6,4,2,7,6,5,3,5,4,6,3,6,2,8,4,5,3,3,5,2,2,5,4,7,0,1,4,7,0,2,1,2,0,4,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,14,12,12,7,9,3,6,4,4,5,3,3,5,5,10,4,4,5,0,8,5,2,9,3,5,3,4,7,6,7,5,6,7,5,3,5,8,4,8,6,6,8,4,10,8,11,21,21,13,19,22,18,32,19,26,22,27,17,25,37,23,18,22,19,27,18,25,22,19,16,22,20,20,24,15,15,15,15,17,11,19,9,18,18,15,17,15,18,25,16,13,13,14,13,10,15,10,5,16,13,12,25,12,10,14,14,10,9,8,6,15,9,4,13,9,8,5,6,9,6,8,7,8,6,17,9,8,9,11,7,8,10,7,7,13,11,16,16,4,8,0,6,3,7,8,10,8,8,11,8,4,10,4,1,4,6,4,13,3,11,6,12,3,9,7,7,6,11,8,3,2,7,2,2,2,3,4,5,0,3,1,7,2,6,0,0,0,1,0,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
千歳一丁目,4,3,8,4,8,0,7,0,2,7,5,2,6,5,2,3,7,6,2,10,8,7,6,3,2,2,5,7,4,9,10,6,5,4,3,4,6,6,3,2,4,7,10,2,5,9,14,14,8,10,14,15,7,9,9,15,20,15,13,10,17,19,17,18,18,14,11,13,14,9,23,13,14,13,16,15,23,13,9,17,12,15,15,17,9,8,14,17,13,12,12,19,21,16,19,13,23,9,11,11,8,15,7,12,6,8,11,12,12,9,9,10,8,7,15,11,8,7,9,11,8,6,5,4,5,7,8,4,7,8,3,10,12,11,7,15,9,6,7,9,6,7,4,8,7,7,0,3,11,5,5,5,4,9,4,7,4,6,3,6,2,6,2,4,1,5,2,4,1,3,2,5,2,0,1,2,1,3,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
千歳二丁目,1,5,7,3,2,4,3,2,2,4,2,3,4,2,0,4,5,5,4,1,5,3,2,3,1,5,1,2,6,2,2,3,4,0,3,2,8,2,14,4,5,3,5,3,14,5,11,3,10,6,14,12,9,7,9,8,8,13,5,10,9,7,10,13,7,6,13,6,8,6,14,15,15,12,10,11,12,15,17,9,6,7,13,5,9,9,10,12,8,7,12,7,5,13,6,7,10,7,7,9,9,5,6,3,8,9,8,5,6,5,4,7,8,1,8,3,3,3,8,5,4,3,3,1,2,1,3,2,5,4,3,1,2,4,1,2,9,3,6,5,3,3,1,7,1,4,2,5,7,2,2,4,3,5,2,2,3,5,4,2,2,3,3,2,1,1,0,4,2,2,2,3,1,1,2,3,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,10,9,15,8,4,8,8,9,6,3,4,5,7,6,6,10,2,3,3,4,6,3,3,4,2,2,2,6,5,5,5,3,4,5,8,1,6,3,6,7,4,4,7,5,11,12,9,14,20,25,20,15,23,24,19,28,25,20,26,26,27,32,14,28,30,21,24,19,21,21,29,20,20,28,19,15,20,24,18,18,20,21,24,19,18,19,21,16,19,10,19,11,16,21,11,21,13,15,14,19,11,9,15,11,9,12,8,12,14,8,13,9,10,15,12,10,12,10,13,6,7,9,5,4,10,10,10,14,12,13,11,13,14,5,9,12,9,11,10,12,8,8,4,4,8,4,7,8,5,6,5,11,0,7,6,4,4,8,5,9,4,6,6,3,5,9,6,5,3,3,6,4,1,8,0,2,1,5,1,4,3,4,0,3,1,3,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,22,9,12,12,10,11,9,10,12,14,11,6,7,11,14,8,7,8,15,11,11,9,7,9,7,8,9,3,7,8,14,10,8,4,7,3,18,9,19,7,18,8,12,10,17,15,18,13,31,27,32,31,29,26,39,34,35,33,34,27,46,39,41,29,38,28,34,30,23,25,34,27,34,32,31,36,36,30,28,18,27,21,33,38,33,36,32,25,25,23,21,27,21,18,28,23,20,17,21,21,25,11,24,20,15,11,7,12,18,15,15,11,10,11,17,13,10,17,8,11,12,13,13,15,9,10,14,8,8,12,12,11,14,11,17,12,20,13,18,11,6,9,6,8,11,7,12,10,7,10,4,10,5,7,6,7,5,11,4,5,7,8,5,4,3,10,5,11,2,3,2,8,2,8,4,7,0,6,1,6,3,2,1,1,1,1,0,1,0,6,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
緑二丁目,34,29,22,19,18,13,21,15,19,13,13,12,16,16,19,11,11,17,21,15,13,11,14,11,11,14,15,14,9,18,9,10,15,9,7,14,14,13,9,15,11,16,16,17,21,14,18,22,27,27,31,28,31,31,27,26,38,33,49,45,40,46,35,43,48,45,36,28,28,26,25,29,40,34,31,38,25,31,30,30,29,36,30,32,33,34,32,38,29,29,28,29,33,27,33,38,23,19,20,25,30,28,21,18,15,23,13,19,13,19,20,14,15,16,14,17,11,12,15,14,13,18,13,10,14,12,10,12,15,9,19,15,10,16,14,10,11,9,8,13,8,7,4,8,15,10,7,19,11,13,8,12,6,13,5,5,10,7,11,4,4,9,6,10,3,6,3,6,4,3,3,8,4,5,1,8,2,6,2,5,1,1,1,3,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
