年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,12,7,7,10,4,6,5,4,3,4,8,4,1,3,2,3,3,3,4,1,6,1,5,4,1,2,3,4,1,5,4,5,3,2,6,8,6,3,10,11,5,9,4,11,13,13,15,18,17,20,28,20,22,24,27,26,35,28,28,26,27,26,21,24,29,14,18,13,16,15,16,18,13,19,19,9,14,11,7,7,15,12,9,9,10,13,17,11,9,3,11,13,10,9,14,8,13,13,13,15,10,7,11,12,13,7,11,12,8,6,8,11,5,2,9,13,13,11,9,8,9,1,6,6,3,0,3,8,6,6,6,5,4,2,1,12,6,13,2,4,9,9,9,6,10,7,6,8,7,10,5,4,2,5,5,6,5,4,6,8,3,6,1,2,2,4,3,7,3,2,4,7,2,5,1,3,0,2,2,3,1,1,0,0,0,1,1,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,5,5,8,10,3,8,8,7,7,5,5,9,6,9,5,11,10,4,3,6,3,5,4,4,3,8,3,6,3,6,4,8,3,3,5,6,4,4,9,5,11,9,8,10,6,11,17,19,19,15,26,17,30,23,24,25,20,28,23,22,26,25,23,25,21,25,20,20,27,18,17,16,23,21,25,17,15,22,14,20,20,19,23,23,22,17,15,16,17,19,17,25,19,9,23,16,17,17,15,21,14,16,14,11,17,9,13,4,11,10,13,5,8,15,9,12,13,13,6,10,14,3,16,14,13,9,6,12,9,8,10,7,9,14,9,9,4,6,12,8,7,8,11,16,10,11,14,14,8,8,8,9,7,13,8,11,6,8,6,11,13,7,7,6,6,4,1,2,2,7,2,5,2,4,5,3,1,6,3,7,1,1,1,2,1,7,1,3,0,3,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0
両国三丁目,10,10,8,6,10,2,6,8,6,5,3,2,4,3,4,1,6,6,9,5,2,1,4,3,4,4,4,7,4,3,1,1,2,7,6,4,3,5,5,6,14,6,8,7,7,6,20,13,17,17,21,24,26,28,23,34,33,32,30,29,27,30,29,26,30,27,22,18,23,17,22,20,25,25,21,23,26,17,14,15,12,18,15,16,28,23,18,31,12,18,13,12,24,13,20,18,17,22,22,10,12,8,14,16,13,16,7,12,8,10,9,15,8,12,17,11,7,11,11,9,8,8,8,7,4,8,9,9,5,6,2,7,7,8,6,4,5,4,6,12,6,8,4,11,11,11,9,11,4,8,5,2,6,3,3,5,7,7,1,8,4,4,2,3,1,5,5,6,1,5,3,4,4,6,3,1,3,3,0,6,2,2,1,2,1,4,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,8,7,14,7,7,7,10,12,6,10,10,4,10,5,6,4,9,3,3,2,5,9,6,5,8,4,5,7,3,5,5,4,7,2,6,4,5,6,11,8,5,11,9,9,13,10,19,9,16,18,21,34,20,35,26,30,27,26,32,18,21,25,23,23,27,17,18,25,20,19,32,17,24,18,16,17,24,24,20,13,20,20,21,14,18,12,14,15,15,10,16,18,22,19,15,14,25,18,24,15,11,16,13,12,10,16,21,12,8,13,16,19,13,9,10,13,8,7,12,6,7,9,9,9,7,4,8,10,10,4,4,9,15,8,12,7,9,13,7,9,13,9,8,7,11,12,12,10,2,5,1,8,5,11,5,8,12,9,6,10,4,5,6,5,2,9,1,9,4,10,4,12,4,4,4,5,5,6,3,4,0,3,2,3,2,3,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
千歳一丁目,7,6,3,2,6,8,6,6,3,5,11,2,11,4,9,2,4,6,4,5,5,3,4,6,6,6,2,9,3,10,7,5,5,2,1,7,7,4,5,6,9,6,6,3,4,12,10,9,6,9,11,15,22,18,12,20,21,17,10,21,17,13,14,16,15,18,19,13,12,13,9,14,20,14,15,19,12,15,12,12,22,13,19,16,16,13,19,18,7,22,12,14,18,18,14,12,20,14,9,12,11,20,22,14,19,12,13,11,9,9,7,11,8,15,9,12,9,12,12,8,7,9,15,7,9,10,4,8,8,16,9,3,4,4,6,5,6,8,5,8,7,8,8,15,10,6,5,13,7,2,5,5,2,7,4,4,7,2,5,6,4,5,3,10,5,1,2,7,1,4,3,3,0,3,0,6,2,3,1,5,0,2,0,0,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
千歳二丁目,7,11,3,5,4,5,3,5,2,2,2,1,7,7,2,1,3,4,2,4,4,3,3,4,3,3,5,2,4,3,5,3,1,2,0,3,3,4,10,6,3,5,12,1,9,3,6,6,6,7,11,10,6,11,14,15,9,9,26,22,14,17,9,11,12,9,15,8,12,8,6,6,7,10,5,6,9,7,13,9,13,12,6,10,14,13,11,7,6,13,10,4,14,10,7,10,13,6,12,9,5,8,9,9,7,7,9,8,7,5,7,4,3,5,8,8,7,4,3,9,9,2,6,1,5,2,5,6,6,3,2,1,4,1,4,1,3,4,1,3,0,0,3,4,5,1,7,3,2,3,1,7,0,2,2,5,3,3,4,4,3,1,1,4,2,3,4,4,2,2,0,3,4,1,0,4,1,2,1,2,2,1,1,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,12,9,12,12,10,9,10,16,14,9,16,12,6,3,6,7,8,6,8,6,3,7,10,13,7,3,6,6,4,4,8,6,4,2,2,5,3,6,6,6,10,7,8,7,14,10,11,16,28,22,18,17,26,26,26,23,32,27,38,22,26,22,23,29,29,18,27,26,34,34,21,30,30,29,44,30,37,25,42,32,16,27,20,28,30,24,30,21,14,20,32,26,26,28,19,24,20,13,29,16,20,19,11,19,20,24,9,19,10,11,19,9,14,9,8,16,9,10,14,12,13,11,7,9,10,11,7,5,10,8,4,6,6,7,8,14,9,7,9,17,12,6,9,7,8,14,9,10,10,7,3,7,3,5,11,5,5,7,2,10,2,6,4,8,5,5,4,6,3,8,3,3,8,3,3,6,2,2,3,3,1,3,0,6,0,2,2,1,2,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,19,10,16,13,19,14,18,7,13,9,11,6,13,11,5,10,11,11,9,7,10,9,10,13,9,8,11,9,10,13,10,8,10,6,7,6,7,4,21,10,11,15,13,14,17,19,29,24,29,33,32,29,40,52,46,48,61,57,49,32,52,42,39,45,32,45,33,35,45,30,36,39,39,24,23,27,33,23,32,30,34,28,52,35,27,29,24,31,27,20,40,28,34,39,36,29,29,25,23,20,23,18,25,26,23,18,19,22,23,12,20,12,25,23,14,10,10,16,20,10,9,9,12,10,11,13,9,12,8,9,13,19,8,6,4,8,8,11,6,8,13,7,10,11,14,9,12,16,8,6,6,7,10,8,4,9,8,7,4,10,2,10,4,3,4,9,5,5,7,5,4,7,3,5,4,8,3,6,1,4,0,4,3,4,0,3,0,3,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
緑二丁目,22,14,21,14,21,16,12,7,22,10,13,23,14,7,19,10,15,14,18,16,13,8,13,13,18,13,15,17,20,10,4,8,16,9,16,13,11,16,4,15,15,13,11,14,10,16,14,30,21,27,30,42,41,33,27,35,33,40,47,40,27,40,38,35,34,38,41,32,34,26,34,36,31,25,26,30,31,28,23,25,38,26,30,33,26,34,24,28,20,24,30,29,26,38,29,33,28,35,33,32,30,20,34,32,28,29,25,25,22,20,23,23,17,19,15,18,15,22,15,16,18,9,13,18,14,13,17,10,10,15,12,12,7,6,9,18,15,11,14,7,9,13,13,14,5,10,14,13,7,13,5,8,7,8,10,14,7,15,8,15,9,8,7,8,5,2,6,5,6,7,4,6,2,6,1,7,1,3,1,8,5,4,1,4,2,5,1,5,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
