年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,8,3,3,6,5,6,2,6,5,2,1,4,5,4,3,1,5,5,1,1,2,4,1,4,3,7,4,2,5,7,3,4,1,2,4,9,7,7,9,10,9,9,11,21,7,11,15,21,15,18,22,23,26,20,22,22,21,20,19,16,22,16,24,18,19,22,14,10,15,14,8,8,14,12,12,10,15,11,13,8,14,9,11,9,7,12,11,15,12,8,13,8,9,13,12,10,12,15,13,10,13,15,10,4,8,11,8,6,12,9,10,12,9,8,9,4,9,5,5,3,4,6,5,8,8,6,5,3,2,8,6,18,4,6,7,5,13,8,12,7,8,13,8,7,4,6,4,6,4,5,9,9,4,7,7,6,1,3,4,6,5,8,3,3,3,7,2,7,3,6,0,2,2,2,3,2,0,0,0,2,1,1,1,1,3,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,4,14,10,11,5,8,10,7,5,13,12,5,3,5,7,1,2,5,4,8,3,3,3,5,4,7,3,3,4,7,3,5,8,5,4,6,6,7,7,8,4,10,8,7,13,9,14,23,23,18,23,23,24,22,24,26,23,24,26,32,27,23,24,16,23,12,39,29,32,19,28,23,21,26,25,25,23,19,16,12,16,12,14,29,25,21,25,10,21,19,22,20,16,20,13,19,12,9,22,11,11,6,14,5,13,8,6,11,9,14,12,11,9,13,11,4,13,12,16,9,8,13,9,10,6,10,13,12,11,15,4,5,8,9,11,9,8,13,13,12,12,17,14,11,8,8,7,11,10,12,4,7,8,11,12,10,12,3,6,6,2,2,0,5,4,8,3,6,5,2,2,9,3,5,3,3,0,4,2,5,1,7,1,2,0,2,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
両国三丁目,8,6,9,8,5,6,5,3,5,2,3,1,12,6,3,0,2,3,3,2,6,7,3,1,5,4,2,5,6,4,1,4,3,10,5,4,3,6,3,4,11,6,12,7,9,11,8,13,13,18,18,22,19,25,21,29,27,33,35,30,25,28,23,23,20,22,19,22,27,21,28,21,20,21,16,18,14,16,21,25,24,27,19,18,14,12,19,16,15,13,21,20,24,16,15,8,14,13,13,13,6,15,10,9,12,17,9,14,12,12,10,15,8,8,10,8,7,6,7,10,9,10,5,5,6,9,7,4,6,6,9,4,4,7,6,9,5,10,12,12,8,13,7,9,3,2,6,4,4,4,8,5,2,7,3,7,4,4,2,5,4,7,1,5,2,6,3,6,4,2,6,1,1,6,3,6,1,2,2,5,0,2,1,3,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,9,6,5,12,6,4,10,3,8,3,7,6,5,2,3,6,6,4,7,3,4,7,2,6,4,3,7,3,7,3,3,7,5,6,3,6,7,6,5,13,12,4,10,8,11,12,11,24,15,22,26,22,22,20,18,27,27,21,32,27,13,25,20,26,20,14,22,24,18,18,19,14,21,17,19,21,20,22,21,14,13,13,14,13,17,15,18,19,16,14,19,18,28,17,13,15,18,15,8,12,18,6,10,14,14,21,14,9,11,11,8,10,12,7,8,8,7,10,9,6,6,9,7,6,8,5,9,8,18,10,7,10,8,8,8,10,8,5,14,16,14,10,4,9,1,8,3,8,6,9,11,9,8,9,5,8,5,3,3,8,4,12,3,9,5,12,4,10,7,5,6,9,5,4,1,5,3,3,3,3,1,4,0,4,1,4,1,3,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
千歳一丁目,9,6,4,8,7,2,12,5,10,1,6,3,2,8,7,3,4,4,5,5,5,7,3,11,5,4,4,3,3,6,3,3,6,8,8,6,6,2,5,5,8,8,4,3,8,7,22,12,10,10,20,18,11,13,19,20,15,13,17,21,20,15,13,14,10,19,22,17,20,18,12,12,18,14,24,13,15,14,20,17,18,15,8,16,15,13,18,17,11,9,14,16,7,12,13,19,22,12,17,13,20,7,8,11,7,15,8,11,8,11,13,15,9,8,12,11,7,6,15,7,7,9,8,13,9,4,5,6,5,6,7,7,4,6,3,6,12,13,8,12,9,8,7,7,6,6,4,9,4,6,5,2,7,6,6,4,3,9,4,5,5,4,2,5,3,6,0,3,1,7,2,3,2,4,0,3,2,0,1,3,0,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
千歳二丁目,3,11,4,4,4,0,5,5,3,5,3,3,1,5,3,2,3,2,2,6,4,2,6,1,4,3,1,2,1,5,2,2,5,3,1,2,8,1,8,2,7,6,5,4,5,4,4,5,9,5,7,6,14,15,14,17,7,8,10,6,16,10,11,13,5,5,7,8,6,9,12,7,13,15,15,11,9,15,15,11,10,9,11,7,8,5,11,7,9,9,9,9,12,6,12,8,7,11,6,6,8,8,6,6,9,5,4,3,11,9,4,5,4,5,6,6,7,2,4,3,3,6,7,3,4,1,3,2,2,1,3,2,2,5,3,1,3,2,3,2,10,4,3,3,1,2,0,7,1,3,4,4,2,4,2,2,3,5,2,3,3,4,2,3,1,2,3,3,1,1,0,5,3,0,1,3,1,1,1,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,16,17,12,12,17,13,11,5,8,12,9,6,7,8,3,6,11,13,6,6,4,5,4,3,6,5,4,4,3,4,3,7,4,5,10,4,5,5,12,2,8,7,10,7,11,10,15,12,15,21,21,27,25,19,32,25,32,27,30,27,21,22,37,37,28,34,28,27,41,31,23,22,36,34,27,28,28,32,26,22,31,24,15,23,32,23,25,27,24,19,19,18,25,15,17,16,12,22,20,24,9,13,14,17,15,10,16,14,9,14,9,11,15,11,12,12,9,10,10,10,11,8,10,7,7,5,4,10,9,13,10,8,11,16,9,9,15,7,7,12,12,13,8,9,6,7,4,4,9,6,8,7,5,9,4,11,2,7,5,3,5,10,3,7,5,5,5,6,5,5,5,5,4,1,2,4,0,8,0,3,2,5,2,3,1,2,1,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,18,17,13,7,19,9,11,7,4,14,8,10,13,8,9,8,5,11,15,9,9,8,14,9,10,11,6,8,7,8,8,5,9,8,10,8,11,4,16,10,16,12,16,8,19,12,16,28,21,26,35,32,40,32,39,30,44,39,27,35,34,33,44,33,48,38,37,35,31,25,37,29,21,18,33,28,38,31,36,34,25,24,30,21,31,24,35,31,28,34,35,20,24,20,26,23,24,23,22,24,18,16,20,19,25,13,21,19,16,11,5,11,22,17,13,8,10,7,17,13,10,17,7,8,12,14,11,12,8,12,9,8,8,10,11,12,15,9,16,8,17,16,12,8,8,9,5,10,10,4,10,12,5,8,2,10,4,6,7,9,3,8,6,3,5,8,6,1,4,10,4,11,1,3,2,7,3,9,3,5,1,9,0,4,2,2,1,1,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑二丁目,20,22,27,17,24,24,16,13,17,11,16,14,18,13,13,12,14,15,23,11,9,18,17,13,11,9,12,9,17,14,12,12,5,17,12,7,10,10,12,11,13,19,13,25,11,21,25,27,25,23,23,31,33,39,27,28,35,35,22,33,37,36,45,37,34,43,32,45,37,35,32,28,21,21,36,37,37,29,25,37,22,25,23,28,36,32,25,38,34,27,31,40,28,29,26,20,33,24,30,38,23,22,21,23,23,28,19,14,15,21,17,16,10,20,21,14,15,15,14,14,14,10,13,16,13,16,12,6,9,15,12,11,13,8,11,11,12,17,12,10,12,11,9,13,4,8,4,7,16,13,6,19,11,13,7,11,6,10,5,3,11,5,9,6,3,7,6,7,1,6,2,5,2,6,3,5,4,9,1,5,3,7,2,2,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
