年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,6,7,7,8,7,9,5,5,6,4,3,4,8,3,1,2,2,3,4,3,4,1,6,1,6,3,2,2,3,4,1,5,4,5,2,1,8,8,5,2,6,10,3,8,7,15,15,21,17,16,15,14,32,22,23,29,31,18,33,31,30,25,24,26,20,22,26,17,17,15,17,15,13,15,12,18,15,9,15,10,10,9,13,16,8,9,8,13,16,12,12,3,11,13,9,10,16,11,12,12,13,11,9,9,12,13,14,7,10,12,9,6,6,11,5,2,9,12,13,10,9,7,8,2,7,6,3,0,4,8,6,6,6,5,4,2,1,12,5,13,2,4,8,9,9,6,9,7,7,8,7,10,5,4,1,5,4,6,5,4,6,8,2,5,1,2,2,3,2,6,3,2,4,7,2,5,0,2,0,2,2,3,0,1,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,2,7,3,1,7,8,5,8,7,6,8,3,5,9,4,10,6,11,10,5,3,7,3,4,5,3,2,8,3,7,3,6,5,8,3,3,5,8,4,4,13,6,10,8,13,11,10,17,12,17,23,19,36,20,28,26,25,24,17,24,19,19,25,21,16,25,20,20,22,19,21,16,14,13,21,20,23,19,17,18,14,20,19,19,18,22,23,24,15,16,18,20,19,26,19,8,22,17,19,15,13,20,16,15,14,10,17,10,14,9,11,10,12,5,8,13,7,11,12,11,6,13,13,2,17,15,12,8,7,13,8,8,9,7,9,14,9,9,4,5,12,8,7,8,9,16,10,11,13,14,8,8,9,8,7,13,8,10,5,7,5,10,14,7,7,6,6,5,1,1,3,5,2,4,2,4,4,2,1,3,2,5,1,1,0,2,1,7,1,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
両国三丁目,12,10,5,5,7,6,6,2,3,7,4,5,2,2,4,2,4,1,5,5,9,5,2,1,4,4,4,3,4,7,4,4,1,2,2,6,5,4,4,5,3,6,14,8,13,5,12,8,21,19,23,25,28,26,29,31,29,35,36,28,29,24,30,28,31,21,25,25,19,14,20,12,25,18,22,24,17,21,26,18,13,16,12,17,12,12,26,20,15,32,13,16,18,10,25,15,19,20,19,21,18,14,11,8,13,15,14,16,7,15,8,8,10,13,7,11,17,11,7,13,11,9,8,7,7,8,4,7,9,9,5,6,2,8,7,6,6,5,6,4,6,12,7,8,4,9,9,11,8,11,4,8,5,2,6,3,3,5,7,6,1,8,4,5,1,3,1,6,5,6,1,5,3,4,3,6,3,1,2,3,0,7,2,0,1,2,1,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,13,8,10,8,14,8,7,6,10,11,5,10,11,4,10,5,6,4,9,3,3,2,6,9,6,6,7,5,5,7,3,4,5,5,7,2,6,4,3,6,11,9,7,9,8,7,17,21,18,13,14,30,16,41,24,44,34,27,22,29,33,21,19,24,28,22,30,20,17,21,22,17,32,19,25,23,18,16,27,25,19,12,18,20,18,13,16,12,15,15,17,11,13,15,22,19,13,13,22,16,22,13,12,14,12,13,8,16,22,14,8,13,17,19,13,9,11,12,8,6,13,6,8,11,9,8,9,4,7,10,10,5,4,8,15,7,12,6,8,13,8,10,13,9,8,8,9,11,11,10,1,5,0,8,4,13,5,8,12,9,6,10,4,5,6,4,2,9,1,8,4,9,4,12,4,4,4,5,4,6,2,4,0,3,1,3,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
千歳一丁目,2,4,6,3,3,1,6,5,8,3,3,5,10,1,10,4,9,2,5,5,3,5,5,3,4,6,7,7,2,9,3,10,7,7,5,1,1,7,6,4,7,5,9,7,8,5,10,21,14,9,6,8,17,11,19,19,15,20,24,18,13,20,22,17,15,17,15,18,21,11,10,13,11,19,20,18,14,16,9,19,11,12,21,13,17,15,16,11,19,15,8,21,11,15,18,16,13,14,18,17,9,12,10,19,22,14,19,11,16,10,10,7,9,12,7,13,9,12,8,14,10,10,7,8,16,7,9,10,4,8,8,16,10,2,4,4,6,5,5,8,5,7,6,8,8,15,10,7,4,13,5,2,5,4,2,7,4,4,7,2,5,6,4,4,3,9,4,1,2,7,1,4,3,3,0,4,0,5,1,3,1,5,0,2,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
千歳二丁目,7,2,9,7,3,4,4,6,3,5,2,2,4,2,7,6,2,1,3,3,2,4,4,3,4,4,3,3,4,2,3,3,5,3,0,2,2,3,8,6,9,6,10,5,11,4,10,8,8,11,6,11,12,18,7,12,18,14,10,8,22,22,11,16,7,14,12,7,11,9,15,7,7,5,9,9,3,7,9,6,13,10,12,10,10,10,14,15,10,7,5,14,9,5,14,9,6,10,12,8,12,9,5,9,8,10,8,7,9,8,5,5,7,4,3,4,9,7,5,4,2,9,8,2,5,1,4,1,5,6,4,2,2,1,3,1,4,1,3,4,1,3,0,0,3,4,3,1,8,3,2,3,1,7,0,2,2,5,3,3,3,4,3,1,1,4,2,3,4,4,2,2,0,4,3,0,0,4,1,2,1,2,2,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,9,9,12,7,12,10,10,8,9,16,15,8,17,8,6,5,6,7,9,6,8,6,4,5,10,12,7,4,6,5,4,5,7,5,4,2,2,5,5,8,8,5,10,7,11,12,18,17,19,19,26,29,22,17,22,28,25,32,34,28,36,30,31,24,25,28,24,13,20,25,35,36,15,22,28,31,41,21,37,23,38,32,16,29,23,27,30,21,29,18,18,19,28,27,24,27,19,24,19,14,25,18,20,19,11,19,20,24,10,17,10,10,19,11,15,11,10,16,10,10,15,11,12,11,7,10,9,11,7,5,11,8,4,6,7,7,7,13,9,7,8,16,11,6,9,7,8,13,8,10,10,7,3,7,3,5,11,6,5,8,2,10,2,6,4,8,5,4,4,6,3,8,3,3,5,3,3,6,2,2,3,2,1,3,0,5,0,2,2,0,2,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
緑一丁目,13,16,14,11,15,8,16,12,18,6,12,9,13,5,15,12,8,11,13,9,9,5,9,10,10,14,10,9,11,8,9,13,10,7,9,7,7,7,9,6,16,12,8,12,16,21,27,29,36,31,36,39,34,49,44,48,49,51,65,54,39,40,52,33,41,38,33,43,32,37,41,32,31,33,40,24,24,21,35,24,31,26,32,26,48,38,29,31,27,32,29,19,38,27,35,40,36,28,28,31,22,22,23,20,28,25,24,17,18,20,20,13,20,12,25,24,13,11,10,15,19,12,9,10,11,10,12,13,8,12,8,8,13,20,8,6,4,8,7,10,6,8,10,7,10,11,12,9,12,16,8,6,5,7,10,8,4,9,7,7,4,10,1,10,4,2,4,9,4,5,5,5,4,6,4,4,3,6,3,5,1,4,0,5,3,4,0,3,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
緑二丁目,25,16,19,12,21,12,18,16,11,6,18,11,11,18,12,7,19,9,15,15,18,16,13,8,13,13,18,12,13,17,20,10,4,9,16,9,16,14,14,17,9,16,16,13,12,17,13,20,19,32,24,40,38,51,48,41,27,42,34,44,50,42,34,39,34,32,33,40,41,32,30,24,31,36,29,24,26,28,26,25,20,19,35,23,32,33,23,34,21,28,21,23,30,26,23,39,28,35,31,34,32,30,30,20,33,33,25,28,25,24,23,20,23,23,16,18,14,17,15,23,16,16,18,9,11,17,12,13,17,10,11,15,12,13,6,6,9,18,15,11,13,6,9,13,13,14,5,10,15,13,7,13,5,9,7,8,10,14,8,13,8,16,8,8,5,7,4,2,4,5,6,5,4,6,2,5,1,7,1,3,1,8,4,4,1,4,1,4,1,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
