年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,4,6,4,7,4,6,6,2,1,5,5,6,3,1,6,5,2,1,2,5,1,4,3,6,5,4,5,7,3,4,2,3,2,5,1,5,3,7,12,6,13,14,7,7,14,16,10,13,16,19,26,23,19,18,18,22,21,19,19,14,18,14,19,17,16,11,18,13,9,9,14,12,12,10,13,12,13,13,12,6,10,8,5,13,10,14,14,8,15,6,9,13,11,11,12,15,11,8,12,17,10,4,7,11,8,7,11,8,8,12,9,8,9,4,10,5,5,4,5,6,6,8,10,6,5,3,2,7,6,19,4,6,6,6,13,8,12,8,7,13,8,7,4,6,6,6,5,5,8,8,4,8,7,7,1,4,4,6,6,8,5,4,4,8,3,7,3,6,0,3,2,2,4,2,0,0,0,3,1,2,1,1,3,1,0,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,11,14,9,7,12,6,5,12,10,6,3,5,8,1,4,5,4,9,4,2,2,5,5,5,2,3,4,7,2,5,7,5,4,6,7,5,9,7,2,11,8,8,6,12,12,11,21,12,20,13,17,18,24,23,20,23,20,30,24,24,22,17,24,20,38,30,26,21,27,29,26,24,20,25,26,17,21,10,18,14,17,30,24,19,26,10,20,16,20,19,12,19,12,17,12,10,22,10,11,6,15,6,11,6,5,9,8,14,11,12,10,11,9,4,12,12,17,9,7,13,9,10,7,10,13,12,9,15,4,5,9,11,11,8,9,16,13,11,13,15,13,11,9,9,7,11,10,12,6,7,12,9,11,10,12,3,6,5,3,2,0,5,4,9,3,6,5,2,2,9,3,7,3,4,0,4,2,6,1,7,2,3,0,3,0,1,1,2,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
両国三丁目,10,8,4,7,5,6,3,2,3,4,7,4,3,1,2,4,3,2,6,8,2,1,5,4,2,3,5,4,1,4,3,10,6,4,3,4,2,3,11,4,9,5,8,5,7,11,10,10,18,17,15,21,22,25,29,32,39,37,23,31,23,20,18,25,15,23,27,26,31,20,21,19,18,18,11,15,21,23,23,30,19,16,9,13,16,19,13,16,21,19,22,16,14,8,13,14,11,15,6,14,9,9,12,16,11,14,12,12,9,14,9,9,8,10,9,5,7,10,12,10,6,6,5,9,7,4,6,6,10,7,4,8,6,9,6,10,13,12,9,13,6,9,3,2,6,5,4,4,8,5,3,8,4,7,4,4,2,5,5,7,2,5,3,6,3,6,4,2,5,2,1,6,3,7,1,2,2,5,0,2,1,3,0,3,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,6,12,7,8,12,4,6,3,5,7,5,2,3,5,6,4,9,3,4,7,3,6,4,3,7,3,7,3,4,6,5,6,3,6,8,5,6,7,9,4,7,6,8,10,7,16,14,15,26,17,14,17,24,28,32,21,29,26,20,20,24,30,20,16,26,20,23,20,16,13,23,15,21,22,19,22,17,14,12,14,17,12,16,13,17,20,18,15,19,17,28,14,8,16,16,15,8,11,17,6,10,17,15,22,12,8,12,11,9,10,13,8,9,8,9,12,9,6,6,10,7,6,8,4,9,8,17,9,6,10,9,8,7,9,8,5,13,16,14,10,4,8,2,8,3,7,7,9,10,9,9,10,3,7,6,3,3,8,4,12,3,9,5,12,4,10,8,5,6,10,5,4,1,5,3,3,3,3,1,4,0,4,1,6,1,3,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
千歳一丁目,3,7,6,1,9,5,9,1,5,1,2,9,6,2,4,4,4,4,6,7,3,12,6,3,4,2,2,5,5,4,6,8,8,6,6,3,4,5,7,6,2,1,4,7,22,8,7,9,18,11,10,13,14,20,15,11,16,13,20,15,11,11,15,17,17,17,17,15,11,10,16,14,24,18,16,12,18,16,20,12,7,16,16,15,13,16,11,9,13,15,9,11,14,19,24,13,16,15,20,6,9,11,6,15,7,10,7,12,12,13,9,7,11,12,7,6,14,8,7,8,8,14,9,4,4,6,5,6,7,6,6,7,3,7,11,13,9,13,9,7,7,8,6,6,4,9,4,6,5,3,7,6,5,4,3,10,4,5,5,5,2,6,3,6,0,3,1,7,2,3,2,4,0,3,2,0,1,4,1,1,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
千歳二丁目,4,5,4,1,6,5,3,2,3,3,1,4,3,2,3,2,2,6,5,2,5,1,4,4,1,2,1,5,2,2,6,3,1,2,5,1,5,4,11,5,9,3,2,5,5,4,13,5,7,4,8,10,11,15,7,5,13,7,10,12,7,12,6,7,8,10,7,8,14,5,12,12,15,13,7,14,13,11,10,11,12,8,7,5,10,6,9,10,9,10,10,6,10,8,7,12,7,6,8,10,6,7,10,5,6,3,12,9,4,5,4,5,9,6,7,1,4,3,4,7,7,3,4,1,3,1,2,1,4,2,2,5,3,1,3,3,3,2,9,5,4,3,1,3,1,8,1,3,4,4,4,4,2,3,4,4,2,3,3,4,2,3,1,2,3,3,1,1,0,5,3,1,1,3,1,1,2,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,8,10,12,7,14,6,6,8,8,7,5,3,4,5,10,11,4,4,3,4,4,3,5,3,4,3,3,4,3,7,3,4,7,4,3,5,9,1,4,5,4,5,5,4,10,9,14,11,19,25,25,22,27,20,25,22,22,28,25,18,26,31,22,28,19,22,39,26,14,17,27,26,23,19,21,28,18,15,26,23,13,20,26,19,23,21,19,17,18,15,20,12,18,12,12,21,19,21,9,15,12,15,14,10,13,13,9,12,11,11,15,11,10,12,9,10,10,9,12,9,10,6,5,5,4,8,11,13,10,8,11,16,10,10,14,7,6,11,13,13,7,9,7,7,5,4,8,7,8,6,4,9,5,11,2,6,5,3,4,10,4,7,5,5,6,6,6,6,6,5,5,1,3,4,1,8,0,3,2,5,2,5,1,2,1,3,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,14,10,17,11,11,7,7,15,9,10,14,8,11,7,5,13,15,8,8,8,13,9,10,11,6,7,7,8,8,5,9,8,11,8,6,4,13,7,21,8,19,9,16,10,13,22,22,18,28,22,35,27,33,27,35,33,27,30,36,35,39,29,46,33,33,30,31,25,34,26,20,21,32,29,36,33,34,36,31,26,29,23,29,26,32,31,30,35,34,22,24,23,25,23,25,23,26,24,17,16,22,19,24,14,22,19,16,11,5,11,21,16,12,9,9,8,17,14,10,17,9,8,12,15,12,14,9,12,9,8,9,10,12,12,16,11,16,8,19,16,12,8,6,8,5,10,11,4,13,12,7,7,3,10,4,7,7,11,3,8,5,4,5,8,5,3,4,10,4,11,1,3,2,7,3,11,3,5,1,8,1,4,2,2,1,1,0,1,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
緑二丁目,28,20,26,23,18,14,19,12,18,14,18,12,13,12,15,16,23,11,10,18,19,13,12,10,13,12,17,14,12,16,6,17,12,7,11,11,14,13,13,16,13,23,8,16,23,22,26,18,21,26,35,29,26,22,32,32,19,32,36,34,51,42,37,39,39,45,33,40,36,32,24,19,35,35,37,32,25,40,25,27,24,33,37,32,26,39,31,29,34,42,29,32,28,22,33,26,29,39,23,20,21,25,25,29,19,18,13,22,18,17,10,21,19,13,15,15,14,17,14,10,14,18,13,16,14,6,12,15,13,11,14,8,12,14,12,16,13,10,11,13,9,12,5,8,4,7,15,12,7,18,11,13,7,12,6,11,5,4,10,6,9,6,3,9,7,9,1,5,4,5,3,6,3,5,3,9,1,5,3,7,2,2,0,2,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
緑三丁目,13,14,13,17,12,11,12,8,13,12,12,8,11,4,13,7,10,4,9,9,15,10,10,19,7,5,7,5,11,12,4,8,10,5,11,7,9,5,4,9,15,17,8,6,15,17,20,15,29,18,18,22,24,26,27,22,30,27,30,34,39,28,31,28,33,28,29,23,32,22,27,30,25,24,29,21,27,29,36,21,28,32,26,27,24,24,26,28,30,36,27,29,21,19,22,25,24,17,24,25,19,14,18,9,16,14,16,15,15,12,13,12,16,15,17,13,16,14,16,14,6,8,13,17,13,8,14,14,22,11,10,13,9,14,13,15,10,11,16,14,8,6,9,5,8,10,8,12,11,9,7,12,10,6,9,7,4,5,6,5,4,2,5,2,5,3,4,3,2,3,5,5,2,6,1,5,2,3,2,3,0,3,0,2,0,1,0,4,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
緑四丁目,28,21,31,29,26,21,13,15,20,21,20,16,17,15,11,18,8,17,13,17,12,10,10,9,14,6,12,11,9,11,9,11,14,11,7,11,16,17,22,21,21,26,20,13,21,29,27,48,38,40,47,38,55,39,50,45,62,49,54,60,62,51,49,48,59,47,55,58,60,49,41,33,64,46,35,34,48,50,47,38,49,33,44,43,38,37,54,40,32,39,40,32,35,41,41,37,33,42,34,33,25,20,30,19,29,18,15,20,13,11,19,15,20,17,22,10,21,8,18,12,10,15,13,10,13,8,12,17,18,19,21,10,14,16,15,14,17,18,19,17,14,10,8,6,12,12,10,10,13,14,10,14,10,9,7,17,4,17,6,6,5,12,7,13,2,5,6,4,5,3,6,9,1,3,3,3,4,6,1,3,2,4,2,2,3,1,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
立川一丁目,3,7,4,4,2,1,3,3,2,4,6,1,0,0,2,3,2,2,2,3,5,2,0,1,1,2,1,1,3,2,2,1,4,2,4,2,3,2,2,6,2,2,4,7,7,3,7,19,14,11,18,23,10,24,27,26,23,27,19,14,20,19,23,14,15,20,12,17,19,19,8,19,15,9,11,11,10,8,10,11,12,20,11,3,11,8,11,13,11,10,10,11,6,7,15,5,6,10,8,7,6,4,9,7,6,2,7,4,5,6,2,8,4,1,4,5,7,5,4,3,7,6,6,6,6,8,4,2,6,4,8,5,4,7,9,6,3,8,7,3,7,3,5,3,1,4,2,6,8,4,4,5,1,5,6,5,2,3,4,4,3,5,5,6,3,5,1,0,3,2,1,5,0,4,2,6,1,3,3,1,1,3,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立川二丁目,6,7,8,0,9,6,0,3,3,6,1,5,3,1,2,1,6,2,3,0,4,1,2,2,2,2,1,5,3,1,1,5,2,4,3,2,4,3,9,4,4,6,14,4,8,9,11,7,9,11,16,25,16,21,27,20,21,14,27,18,16,13,26,19,28,13,11,12,15,14,9,13,8,17,13,10,11,19,13,11,12,7,8,7,16,8,15,11,7,6,7,10,11,9,14,7,10,8,10,5,3,10,6,4,10,5,4,6,6,5,9,5,4,7,4,1,3,4,6,7,5,8,4,8,2,10,8,5,9,10,14,6,7,8,9,9,12,8,6,5,7,7,5,2,7,4,6,9,3,12,13,13,4,3,3,9,2,5,5,4,5,4,3,6,4,4,3,5,2,6,3,2,1,1,0,2,1,1,1,0,0,2,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立川三丁目,7,3,4,7,6,10,4,5,5,7,8,5,2,8,5,5,7,5,2,2,6,5,7,2,4,3,3,5,3,4,0,5,2,4,3,2,4,4,7,7,8,8,10,5,12,5,7,18,15,11,21,19,19,16,28,19,30,22,14,24,27,17,18,22,25,22,20,20,20,17,13,21,12,5,17,18,22,24,15,14,11,12,13,16,9,13,15,11,21,10,10,17,13,12,12,6,14,16,11,6,11,8,10,13,15,8,7,11,9,11,9,10,14,11,5,7,7,8,4,5,5,6,9,12,8,12,14,8,11,4,8,10,10,10,8,8,12,6,8,8,4,6,5,10,6,5,4,7,9,10,8,11,4,8,4,5,6,3,8,6,6,5,5,8,2,4,1,6,1,4,1,3,3,1,2,3,1,2,1,1,0,2,1,2,0,2,1,4,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
立川四丁目,8,12,7,5,4,2,9,6,4,2,1,4,3,8,2,2,3,2,7,6,1,2,2,4,1,4,3,2,3,3,3,1,3,3,1,4,2,4,4,10,8,3,9,7,10,6,43,7,11,12,15,10,18,13,19,19,24,21,16,25,23,23,26,22,17,20,13,18,21,12,19,12,12,15,13,14,11,10,17,7,7,14,13,11,14,12,14,6,10,7,8,8,8,8,4,7,14,5,8,6,9,4,6,6,8,5,6,8,8,4,7,8,3,3,7,5,4,9,7,6,11,6,5,4,10,3,9,6,7,5,8,7,15,5,5,9,7,6,7,9,7,8,4,3,5,4,6,7,4,9,7,3,4,5,2,5,6,5,5,6,3,7,4,3,3,4,4,5,1,7,2,2,0,4,2,2,1,2,2,2,0,3,1,1,0,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菊川一丁目,9,11,9,9,10,4,5,12,9,7,2,5,7,9,8,7,1,2,5,6,2,4,2,6,4,3,2,3,2,5,2,7,3,5,7,1,9,6,6,9,4,11,6,4,7,9,6,13,6,8,11,9,16,18,12,17,18,13,25,21,18,22,21,18,9,12,15,19,20,27,19,12,18,12,19,24,14,22,15,12,16,11,19,14,11,11,10,9,12,11,15,11,10,8,12,10,8,7,8,10,6,7,12,12,9,10,15,13,7,6,9,4,9,10,9,10,7,10,4,8,15,10,4,10,8,14,6,12,12,9,8,6,8,7,9,10,12,7,13,9,6,7,4,3,4,11,6,9,4,7,7,7,6,7,3,2,5,8,7,4,4,6,2,6,5,2,6,2,1,4,2,5,2,6,0,5,3,4,0,3,0,2,3,0,0,0,0,4,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菊川二丁目,12,7,8,5,4,8,5,7,3,7,3,6,9,6,7,5,5,6,9,5,5,3,5,4,8,11,7,10,6,9,5,1,8,7,3,9,3,8,6,6,7,12,11,11,13,14,14,38,15,24,27,17,14,20,23,26,25,24,28,25,20,19,31,20,25,33,16,27,20,23,23,23,14,21,20,15,21,20,14,20,12,19,24,25,23,20,21,18,19,23,25,8,20,25,18,22,17,22,19,13,21,20,18,13,16,20,19,15,11,11,14,12,12,18,14,15,13,12,10,6,10,7,14,8,7,12,9,16,10,11,10,8,9,10,19,15,5,14,10,9,13,5,7,3,7,7,6,10,7,13,4,10,10,11,7,5,6,8,9,6,4,9,11,10,5,7,8,5,2,1,3,4,1,5,1,6,2,3,2,2,1,1,0,1,1,3,0,2,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
