年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,5,10,3,5,7,2,1,4,5,6,2,1,6,5,2,1,3,5,3,4,3,6,5,4,5,7,3,5,1,3,4,6,3,4,2,4,6,4,10,7,11,9,10,11,8,12,13,12,20,13,16,15,12,16,17,18,19,14,17,18,20,12,13,16,13,13,11,10,13,11,10,9,11,7,12,14,13,6,9,9,9,11,11,14,14,10,15,7,10,11,9,10,12,14,11,9,14,16,10,4,7,14,7,7,12,8,7,13,9,9,9,5,13,7,6,6,5,7,7,9,9,6,5,3,3,4,7,18,4,6,7,6,12,8,12,8,8,13,8,7,5,6,6,5,5,7,8,8,4,8,7,7,3,4,4,6,6,8,5,5,4,9,3,7,3,6,0,3,3,3,4,4,0,0,0,4,1,2,1,2,3,1,0,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,11,11,14,6,8,10,9,4,3,5,7,3,5,5,3,9,4,3,3,5,5,5,2,3,3,6,1,5,4,6,4,5,7,6,5,4,1,9,9,5,4,5,9,8,16,9,17,11,14,18,28,20,15,25,24,29,28,26,26,19,28,26,33,27,33,18,25,33,25,25,21,27,27,19,23,9,23,13,17,27,24,18,25,9,21,16,19,16,8,16,12,17,12,10,21,9,12,5,16,5,10,5,5,10,9,11,13,11,11,9,9,4,10,11,15,8,10,13,9,10,7,10,14,11,9,15,4,5,9,10,10,8,9,17,13,12,12,15,14,11,9,9,7,11,10,13,5,7,12,10,11,10,12,3,5,5,4,2,0,5,4,8,5,6,5,1,1,9,3,7,3,4,0,4,3,7,1,7,2,3,0,4,0,1,1,3,2,2,0,2,0,3,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
両国三丁目,6,9,5,6,3,4,5,5,6,2,4,2,3,3,4,2,7,7,2,1,5,6,2,3,5,4,1,6,5,9,7,4,3,4,2,3,7,6,8,3,7,2,7,8,9,5,13,15,9,12,19,22,23,30,29,30,27,24,18,16,17,22,16,25,22,24,30,27,18,18,20,19,12,11,21,21,25,28,18,21,10,13,19,17,16,18,17,22,23,17,12,6,12,15,10,14,6,12,12,9,11,18,13,14,13,11,9,11,8,9,8,9,10,5,9,10,12,12,6,6,5,9,8,5,6,8,10,8,5,8,7,9,6,9,12,12,9,13,6,7,3,2,6,5,4,4,10,5,3,6,4,7,4,4,2,5,5,6,2,4,3,7,3,6,4,2,6,2,1,6,3,7,1,2,3,5,0,2,1,4,0,3,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,11,10,13,5,8,3,5,6,5,3,1,5,7,4,9,4,3,7,3,6,4,3,7,3,7,3,4,6,7,6,3,6,8,5,3,7,7,2,8,3,8,8,4,11,10,10,25,17,9,15,24,23,29,16,27,23,18,22,33,32,20,21,25,14,23,26,25,14,24,19,18,22,24,24,16,14,15,13,16,10,18,13,15,20,18,15,16,17,24,15,9,16,15,13,8,12,15,6,10,17,14,21,13,8,13,16,8,10,14,8,9,9,7,10,9,7,4,8,7,6,8,4,10,8,17,8,6,10,11,8,7,9,8,6,13,15,14,11,2,7,2,8,4,7,7,8,10,9,9,11,3,7,6,4,3,8,4,12,4,8,6,13,5,11,8,6,7,10,4,4,3,6,3,2,4,4,1,4,0,4,1,7,2,5,0,1,0,1,0,1,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
千歳一丁目,5,1,8,5,10,0,4,1,2,8,5,2,5,4,4,4,6,7,3,12,7,3,5,2,2,5,5,5,6,8,8,7,6,3,4,5,6,7,1,1,3,6,11,4,4,8,15,10,8,12,12,12,10,13,9,13,20,17,12,14,17,18,17,19,19,13,8,11,16,14,25,17,14,10,17,16,20,13,8,16,15,16,12,16,11,10,13,17,11,13,14,20,24,13,17,15,22,7,11,11,6,15,8,10,7,11,11,12,10,8,10,12,7,6,14,9,6,7,9,13,9,4,4,6,5,6,7,6,7,9,4,7,12,13,9,13,8,7,7,8,6,6,4,9,6,6,4,3,8,6,5,4,3,11,4,6,5,5,2,7,3,6,1,3,1,7,2,3,2,4,1,3,2,0,1,4,1,1,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
千歳二丁目,3,2,5,4,3,2,2,2,1,4,3,2,2,2,1,7,5,2,5,1,4,4,1,2,1,5,2,2,4,3,1,4,5,1,3,4,7,2,12,3,4,3,4,2,22,7,10,2,11,7,11,12,9,5,10,10,7,6,4,15,6,8,8,10,10,7,12,5,11,11,13,10,9,11,11,11,14,13,16,8,6,5,10,5,9,12,11,10,11,6,11,8,7,14,6,6,9,10,6,6,11,5,6,3,12,9,4,5,4,6,8,6,8,1,4,3,4,6,7,4,5,1,3,1,2,1,3,2,4,4,3,2,3,4,2,2,9,5,5,3,1,3,1,8,1,3,4,4,5,4,2,2,3,5,3,3,3,4,4,3,2,2,3,2,1,1,0,5,3,1,1,4,1,1,2,2,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,10,8,15,10,5,10,7,8,5,2,3,4,10,10,4,6,1,4,4,2,5,3,4,3,2,4,3,5,3,3,5,5,3,5,10,1,5,6,6,7,4,4,8,6,9,12,16,17,17,20,25,20,21,17,20,26,28,23,21,29,24,39,17,22,38,20,18,17,28,24,25,19,23,29,18,14,23,22,13,22,24,18,25,20,20,15,19,15,18,10,21,13,13,20,19,21,7,16,13,14,14,10,12,13,9,11,9,11,17,11,12,12,9,11,9,9,16,10,12,6,6,7,5,8,11,13,10,8,13,14,9,10,15,7,7,12,12,13,7,9,7,7,4,4,8,6,8,7,4,9,5,11,1,6,6,3,4,10,4,7,6,6,5,6,6,7,6,5,5,2,3,4,1,8,0,5,2,5,2,5,1,2,1,3,0,3,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,20,12,14,8,9,16,10,11,15,10,13,6,5,12,13,8,9,8,12,9,12,11,6,7,7,8,9,4,9,8,10,8,6,4,10,6,11,9,13,7,16,11,7,11,19,8,15,11,34,20,27,28,35,31,30,29,38,39,36,29,44,38,40,34,35,26,34,29,23,22,38,30,32,30,34,35,33,27,29,20,31,26,32,36,28,33,31,25,23,25,22,23,24,22,27,24,19,15,22,19,26,13,21,19,17,11,5,11,21,17,13,9,8,11,19,14,10,18,9,9,13,14,14,16,10,11,10,9,10,12,12,12,15,12,18,8,19,16,14,8,7,10,6,11,11,4,13,13,7,7,3,11,5,6,7,11,3,8,5,4,6,9,5,3,5,10,5,12,2,3,2,8,3,10,3,5,1,8,1,3,2,2,2,2,0,1,0,1,0,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
緑二丁目,33,29,22,16,21,14,18,15,17,12,11,13,14,16,23,11,10,19,19,12,12,10,13,12,17,15,11,16,6,17,12,7,12,11,10,13,11,12,12,16,7,15,17,16,21,14,17,22,29,30,30,27,29,28,27,27,40,37,54,42,38,44,42,43,35,49,37,32,20,20,34,33,42,29,24,42,32,26,25,34,41,34,27,37,29,28,35,40,28,32,28,21,31,27,31,39,23,20,21,25,29,28,18,17,15,23,18,17,10,20,19,13,13,15,14,18,13,11,14,19,13,16,14,6,12,15,15,11,14,8,13,14,14,15,13,10,11,13,10,12,3,8,4,6,17,12,6,18,11,14,7,12,6,12,5,5,11,6,9,6,4,10,7,9,1,5,4,5,3,6,3,5,5,9,2,5,3,7,2,3,0,2,1,3,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
緑三丁目,15,21,12,11,12,8,11,11,14,9,11,5,13,6,13,5,10,8,15,14,11,18,6,5,7,6,12,12,4,10,10,5,10,5,11,4,8,8,11,8,9,2,12,8,12,10,20,14,11,13,19,24,17,17,20,19,23,20,34,20,20,21,31,28,28,24,30,22,22,28,25,16,32,25,26,27,34,22,30,34,28,27,24,24,23,25,32,37,26,28,22,20,23,23,24,16,23,25,16,15,17,10,16,13,16,14,13,12,13,11,13,14,17,13,16,14,15,16,6,8,12,18,14,8,13,16,21,12,11,12,9,14,14,16,11,12,17,13,8,7,10,6,8,9,8,12,10,9,7,13,10,5,9,7,4,5,6,5,4,2,4,2,4,3,4,3,2,4,5,5,2,7,1,5,2,2,2,3,0,3,0,3,0,2,0,6,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
