年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,3,9,7,6,8,12,3,2,6,8,4,1,6,2,1,2,3,4,4,2,4,1,6,2,6,2,2,2,2,5,1,5,6,4,3,4,6,5,4,6,8,9,5,8,7,15,16,22,16,16,16,17,29,20,22,31,37,16,24,32,27,21,26,27,15,19,26,19,21,14,14,16,13,12,15,18,18,10,14,12,10,9,8,12,10,13,8,11,19,9,9,7,10,11,11,11,13,8,14,17,12,9,11,10,12,10,13,12,14,7,3,11,6,6,6,7,10,9,12,11,8,6,9,2,4,5,4,3,3,9,8,5,4,2,5,5,1,12,6,11,4,4,7,9,11,7,7,7,11,9,4,7,3,5,2,5,6,6,5,4,5,7,1,5,1,2,3,6,3,3,4,4,2,6,2,5,0,2,0,2,2,3,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,5,5,4,3,6,7,6,8,6,8,7,6,7,7,2,11,9,11,7,3,3,5,3,7,6,6,1,5,3,6,5,7,3,6,3,4,5,6,8,4,9,8,9,9,9,11,14,23,15,14,25,21,36,21,29,25,21,28,21,18,21,20,22,24,18,19,26,21,20,18,24,13,14,18,22,18,21,22,17,21,12,21,20,21,25,22,19,17,13,16,20,25,18,19,19,9,24,15,13,16,17,19,11,13,15,12,17,8,13,7,10,11,11,7,10,12,8,14,9,9,7,12,14,7,15,10,11,11,9,13,7,6,11,10,11,11,6,9,7,5,11,10,5,8,14,13,12,12,11,17,7,5,7,8,9,11,6,12,6,8,7,12,15,4,2,6,6,6,1,2,3,5,2,4,4,3,2,4,1,3,2,5,1,2,1,4,0,4,1,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
両国三丁目,10,9,4,6,8,5,9,2,2,8,3,6,3,0,4,2,4,2,7,5,7,4,2,4,5,2,5,4,2,5,4,5,2,1,3,5,5,4,3,5,9,7,13,10,9,3,15,11,26,18,17,24,29,31,31,27,34,35,38,28,24,25,26,29,33,28,25,16,23,14,25,17,22,17,22,20,21,23,17,17,17,15,14,21,19,13,19,21,18,28,12,17,24,15,18,11,19,19,19,19,19,15,14,6,6,20,14,10,9,12,11,14,8,9,9,12,14,11,9,14,11,7,7,10,6,7,5,5,8,11,5,6,2,9,7,5,7,4,7,6,5,11,5,8,7,10,8,10,6,12,4,5,4,3,7,3,5,5,4,6,1,7,4,4,1,4,1,6,5,5,1,5,3,4,3,5,4,1,2,3,0,6,2,0,1,5,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,12,5,9,9,15,7,5,5,9,14,8,7,13,4,8,6,8,5,5,2,5,3,5,8,8,4,7,7,3,7,2,2,6,5,7,3,6,4,5,10,10,9,8,5,8,10,20,20,18,18,12,30,21,39,28,38,32,35,25,33,34,18,18,26,30,13,27,23,20,17,23,19,33,24,27,17,17,18,25,21,22,15,15,17,18,16,19,13,14,16,14,10,17,17,20,14,18,15,20,18,21,14,11,13,13,17,13,11,20,13,10,19,15,15,14,10,9,11,7,6,14,8,7,11,11,4,5,9,9,6,10,6,8,7,12,8,11,7,8,10,8,12,11,8,9,9,11,13,8,9,1,6,0,9,6,12,7,8,12,8,3,9,4,3,5,5,3,9,2,10,5,8,2,11,3,4,4,6,4,6,2,4,0,3,2,2,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
千歳一丁目,2,4,8,3,4,2,5,5,6,4,3,4,11,5,11,0,8,3,5,6,5,4,4,5,2,5,7,8,3,8,4,12,7,5,3,1,3,7,4,6,9,6,9,3,5,8,13,19,13,9,10,7,10,15,21,22,16,17,19,14,20,20,16,18,18,20,21,14,17,8,9,21,11,14,20,18,14,18,10,17,12,12,19,12,20,17,16,10,17,17,7,19,16,17,12,17,16,15,17,16,9,16,13,12,22,12,20,12,12,10,11,8,10,15,5,9,11,13,6,14,11,7,7,8,14,10,10,8,7,12,6,10,7,4,4,4,5,3,7,10,3,6,9,11,7,15,8,6,5,12,7,3,3,3,5,9,2,3,7,2,5,5,3,7,5,7,2,2,2,7,2,3,2,3,0,4,1,4,1,3,1,5,0,2,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
千歳二丁目,7,4,8,8,4,3,4,8,2,2,1,2,5,3,5,6,4,0,2,4,2,4,5,2,4,4,1,4,5,2,4,3,3,2,0,5,4,3,10,7,10,5,10,5,9,3,9,6,7,13,4,11,10,13,11,11,14,13,13,14,20,18,9,14,8,15,13,5,12,7,13,10,5,6,10,7,5,7,10,6,13,10,16,12,5,12,15,12,9,10,6,11,11,5,13,10,8,11,9,6,12,9,5,8,7,13,11,6,8,6,4,6,6,3,3,5,9,8,5,3,1,8,8,2,7,2,2,0,7,6,6,3,2,1,2,0,4,3,3,4,1,1,1,1,2,3,4,1,8,5,1,1,1,7,1,3,1,5,4,3,3,4,3,0,1,5,2,4,3,2,2,4,1,1,2,1,0,4,1,1,1,3,2,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,12,9,11,6,11,12,9,6,11,16,17,9,13,8,5,7,6,6,13,6,3,5,8,6,7,10,8,4,5,4,5,4,5,6,4,2,2,6,7,7,8,7,10,7,11,14,19,14,20,21,24,24,21,19,23,20,27,29,36,34,41,27,26,19,20,27,22,17,32,35,28,26,19,31,31,29,42,21,32,25,35,31,22,28,20,30,32,16,27,21,19,22,24,27,27,23,20,25,21,10,27,19,20,21,9,24,20,18,11,17,14,10,13,11,18,14,11,11,11,10,12,12,12,12,11,11,4,8,10,4,8,8,5,5,7,8,7,14,8,9,9,15,10,5,10,6,6,14,9,11,10,7,4,5,4,6,10,5,4,7,2,8,2,8,3,6,7,7,5,8,2,4,3,5,5,4,4,4,2,1,3,3,0,4,0,4,0,2,2,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
緑一丁目,12,15,18,9,15,12,21,9,10,7,12,10,14,9,15,10,7,10,14,12,5,5,11,11,11,11,10,8,12,10,10,13,8,8,8,6,7,6,11,7,15,11,12,16,21,17,27,35,35,30,27,42,42,56,45,43,57,52,58,50,42,42,55,36,32,40,34,44,34,33,43,40,33,34,38,20,26,22,31,25,33,29,34,29,50,38,22,29,32,28,21,21,44,31,35,41,32,27,31,24,22,25,25,19,25,23,24,17,20,24,18,10,23,18,20,20,14,11,14,15,15,11,9,12,14,6,11,16,4,11,11,12,13,16,5,8,7,8,5,7,6,9,11,7,11,10,15,11,9,14,8,8,6,8,8,4,6,11,5,6,3,13,2,6,4,3,4,10,4,4,6,4,5,6,2,4,3,10,3,2,1,5,1,4,2,4,0,4,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
緑二丁目,16,17,27,19,19,13,16,13,14,4,18,15,10,17,12,10,21,8,15,17,19,10,10,13,16,11,15,12,20,16,12,9,7,8,16,10,15,16,14,18,13,12,16,16,11,14,10,24,20,31,24,40,42,40,44,44,23,48,38,36,45,41,34,39,34,34,31,42,42,26,32,28,29,42,33,19,27,32,25,27,20,19,31,21,38,35,19,31,29,30,15,24,33,25,24,40,28,39,29,31,35,21,35,27,26,31,27,27,23,23,26,20,22,20,15,22,14,16,15,23,16,13,18,12,11,16,13,13,17,10,10,15,10,11,8,9,12,14,11,11,15,8,7,16,14,12,6,9,14,16,7,9,3,9,8,11,11,16,7,12,8,14,7,9,5,4,4,3,7,4,5,5,3,6,2,6,1,8,0,1,2,9,4,5,1,4,0,3,1,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
