年齢,0歳,0歳,1歳,1歳,2歳,2歳,3歳,3歳,4歳,4歳,5歳,5歳,6歳,6歳,7歳,7歳,8歳,8歳,9歳,9歳,10歳,10歳,11歳,11歳,12歳,12歳,13歳,13歳,14歳,14歳,15歳,15歳,16歳,16歳,17歳,17歳,18歳,18歳,19歳,19歳,20歳,20歳,21歳,21歳,22歳,22歳,23歳,23歳,24歳,24歳,25歳,25歳,26歳,26歳,27歳,27歳,28歳,28歳,29歳,29歳,30歳,30歳,31歳,31歳,32歳,32歳,33歳,33歳,34歳,34歳,35歳,35歳,36歳,36歳,37歳,37歳,38歳,38歳,39歳,39歳,40歳,40歳,41歳,41歳,42歳,42歳,43歳,43歳,44歳,44歳,45歳,45歳,46歳,46歳,47歳,47歳,48歳,48歳,49歳,49歳,50歳,50歳,51歳,51歳,52歳,52歳,53歳,53歳,54歳,54歳,55歳,55歳,56歳,56歳,57歳,57歳,58歳,58歳,59歳,59歳,60歳,60歳,61歳,61歳,62歳,62歳,63歳,63歳,64歳,64歳,65歳,65歳,66歳,66歳,67歳,67歳,68歳,68歳,69歳,69歳,70歳,70歳,71歳,71歳,72歳,72歳,73歳,73歳,74歳,74歳,75歳,75歳,76歳,76歳,77歳,77歳,78歳,78歳,79歳,79歳,80歳,80歳,81歳,81歳,82歳,82歳,83歳,83歳,84歳,84歳,85歳,85歳,86歳,86歳,87歳,87歳,88歳,88歳,89歳,89歳,90歳,90歳,91歳,91歳,92歳,92歳,93歳,93歳,94歳,94歳,95歳,95歳,96歳,96歳,97歳,97歳,98歳,98歳,99歳,99歳,100歳,100歳,101歳,101歳,102歳,102歳,103歳,103歳,104歳以上,104歳以上
性別,男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人],男[人],女[人]
両国一丁目,5,6,4,4,5,3,2,4,5,7,4,3,7,3,1,3,3,5,4,7,7,4,4,6,4,4,1,6,3,3,1,4,6,6,2,1,7,8,9,5,10,7,11,14,11,5,11,14,18,11,12,14,15,22,13,12,26,16,17,17,20,16,12,14,12,10,16,11,14,10,8,5,14,13,8,6,14,10,5,11,12,15,12,5,16,11,12,11,9,11,10,12,10,8,13,15,13,9,6,13,10,7,7,9,13,9,10,13,9,8,13,5,9,8,6,5,5,10,10,8,7,2,6,3,4,13,7,12,6,4,10,8,12,9,11,10,8,9,5,6,7,6,5,6,7,9,7,5,6,10,4,6,4,7,3,6,6,6,6,8,3,8,3,7,1,3,1,3,6,5,1,1,0,2,2,3,1,3,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
両国二丁目,16,6,10,12,8,5,6,4,4,6,4,5,6,5,2,6,5,3,3,7,4,2,2,5,1,6,3,2,4,10,7,3,3,7,5,9,4,4,7,4,5,6,8,7,13,8,14,14,25,23,25,27,20,23,22,20,29,26,21,28,24,24,38,22,28,31,30,21,23,24,24,25,24,13,22,12,23,20,23,23,23,14,25,9,23,17,10,15,9,17,10,12,16,13,20,4,11,4,14,6,6,4,6,12,11,12,12,10,8,9,10,7,13,8,12,8,9,16,9,7,14,12,11,12,5,10,6,8,10,9,6,12,14,17,12,14,14,15,8,7,7,9,12,11,8,11,10,7,8,14,16,4,4,5,6,5,1,3,2,6,5,7,5,3,3,6,1,6,4,9,1,4,2,6,2,4,3,4,0,6,0,3,0,2,3,2,0,0,0,3,0,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国三丁目,5,4,5,6,2,6,4,3,5,2,4,4,5,2,7,5,2,2,5,6,4,2,3,5,2,6,7,5,9,7,3,5,4,3,4,5,7,5,4,2,5,4,8,3,10,10,7,12,11,17,15,22,14,30,35,25,14,23,21,19,16,23,17,31,28,23,27,22,14,16,21,19,16,14,26,26,23,22,14,20,18,11,15,17,18,18,18,25,18,10,17,9,8,20,12,9,9,11,11,17,13,12,9,15,11,8,10,9,9,9,8,8,9,9,10,7,11,13,5,4,5,9,9,7,9,6,6,9,7,8,7,8,9,11,11,11,6,14,4,3,4,3,7,4,6,6,8,5,1,7,6,4,4,4,1,6,7,6,2,7,3,4,5,4,4,1,3,3,2,8,2,3,3,7,1,2,1,3,0,4,0,3,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
両国四丁目,12,4,6,3,8,3,1,5,4,2,3,4,9,2,5,5,1,7,4,3,6,3,8,4,4,7,7,9,4,7,6,4,5,4,5,5,8,3,5,3,6,6,4,13,19,9,10,13,12,13,29,22,27,17,18,21,24,26,21,21,22,15,25,17,21,21,22,13,24,22,24,23,10,21,21,15,18,14,16,9,17,17,15,14,18,16,18,13,17,15,14,13,15,15,7,7,17,11,8,21,15,13,14,16,15,11,6,7,16,10,6,10,11,7,5,10,5,8,9,7,6,7,15,9,11,7,10,9,8,9,9,8,11,8,15,18,8,9,1,5,4,8,6,10,7,6,14,9,3,9,6,5,5,6,4,13,4,11,6,9,3,12,7,7,7,10,7,6,4,6,2,7,4,2,3,8,1,1,1,7,1,6,1,1,0,1,0,2,0,2,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
千歳一丁目,8,5,9,0,6,1,3,5,3,4,4,4,2,3,6,6,5,6,5,11,7,3,2,1,4,8,6,8,8,7,7,4,3,2,4,7,6,3,3,4,6,3,8,4,11,10,12,8,10,12,5,13,9,14,14,12,17,19,13,18,18,17,16,16,9,13,13,4,20,17,15,15,15,14,17,13,19,14,8,17,17,11,8,12,13,14,13,13,11,18,14,14,26,13,18,14,14,11,9,12,6,15,6,9,12,11,8,12,13,4,7,11,12,11,11,8,10,10,6,9,6,2,4,6,6,3,9,11,4,7,11,11,6,14,10,6,6,12,9,6,3,5,6,10,2,4,9,3,6,6,3,7,5,9,3,4,2,8,3,4,3,3,2,4,1,6,2,3,1,4,3,2,0,1,2,4,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
千歳二丁目,8,2,5,5,2,0,2,5,1,3,3,3,2,5,3,4,5,2,5,3,3,2,2,5,1,2,3,3,2,3,4,2,3,2,3,4,9,4,4,2,8,4,13,2,16,3,9,1,12,8,8,10,8,7,10,7,10,10,4,9,10,10,7,4,12,9,8,7,9,11,16,10,6,9,10,18,19,9,9,7,8,3,13,11,9,10,12,9,13,8,4,7,7,13,10,6,9,8,6,7,7,2,8,7,9,8,5,4,3,8,8,3,8,3,1,1,11,6,4,4,3,1,1,0,3,3,3,3,1,2,2,3,2,3,5,2,9,6,1,2,2,8,1,3,1,5,5,3,4,4,3,2,1,4,2,4,5,3,3,4,3,2,2,2,1,4,2,1,1,4,2,1,2,3,0,1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千歳三丁目,14,8,7,11,4,9,8,5,7,3,4,5,7,10,4,3,3,4,4,2,3,5,3,1,3,6,4,5,4,5,5,7,5,1,8,2,1,8,7,5,6,3,9,7,8,11,12,15,14,12,25,21,20,17,18,23,27,30,26,35,17,30,28,18,28,22,18,17,32,18,21,26,15,22,21,19,24,24,19,18,23,20,24,15,17,18,20,9,21,12,15,22,10,18,19,19,11,16,13,12,9,11,15,13,11,12,12,10,11,10,12,15,13,9,9,12,12,3,7,9,7,7,10,9,11,15,10,8,15,16,14,6,10,7,8,15,9,13,9,7,5,4,3,7,11,7,5,8,4,9,3,8,4,5,6,8,4,9,5,5,4,6,8,6,6,7,3,2,6,4,2,7,0,6,0,4,2,6,3,4,0,2,1,3,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
緑一丁目,19,14,16,10,10,10,14,17,8,7,11,8,13,8,10,9,12,9,11,13,10,9,6,6,9,4,9,5,9,8,9,8,8,3,9,9,16,7,10,6,12,8,6,6,15,7,19,14,29,27,27,22,34,27,32,35,31,31,37,37,44,37,33,27,35,26,35,24,29,34,38,25,38,39,29,31,29,24,24,24,39,33,35,37,30,26,27,24,24,26,23,20,26,22,24,21,23,23,20,8,25,19,17,16,13,11,13,13,15,12,13,11,15,11,12,20,7,10,12,15,13,17,9,10,14,10,6,9,10,11,18,11,17,11,23,12,14,14,9,8,8,10,11,6,9,12,11,8,4,12,5,8,6,7,7,11,4,4,8,8,4,8,2,7,7,12,4,6,1,10,3,6,5,9,0,5,1,7,2,1,2,3,1,1,1,0,0,7,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
緑二丁目,26,26,18,15,25,17,17,17,17,11,14,15,16,11,14,14,17,18,15,11,8,12,16,11,14,18,10,14,9,12,13,10,9,8,6,16,11,11,11,9,13,17,14,13,16,17,19,22,20,23,23,31,24,20,42,29,39,43,49,49,32,39,40,44,36,34,32,31,24,30,37,29,47,35,26,35,33,33,22,30,42,33,27,40,27,36,34,30,30,29,32,28,27,30,28,29,21,24,25,21,28,23,20,24,12,17,17,20,16,15,15,13,13,17,13,16,16,12,13,17,13,13,11,8,16,12,14,11,19,13,12,14,14,12,8,10,13,15,7,7,3,9,12,8,10,17,8,12,9,15,7,14,7,6,8,6,11,4,5,8,6,10,5,8,3,7,2,1,5,8,4,7,3,7,2,7,2,5,1,3,2,2,0,5,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
